,name,year,month,uri,bio,rank,listUri,finalWorth,otherCompensation,countryRank,person,visible,personName,age,country,state,city,source,industries,countryOfCitizenship,timestamp,version,moneyRank,tvRadioRank,pressRank,webRank,socialRank,naturalId,position,imageExists,selfMade,gender,birthDate,countryId,lastName,firstName,listDescription,shortUri,galleryShortUri,listShortUri,date,wealthList,familyList,thumbnail,squareImage,bioSuppress,factivaHits,webHits,tvRadio,recentEarnings,recentSales,recentBudget,gdp,budget,assets,totalCompensation,salary,bonus,stockOptions,population,audienceWeb,audiencePrint,audienceTv,employees,following,category,change,changePercent,csfDisplayFields,suppressOnProfiles,organization,title,employment
0,Billionaires,2001,7,bill-gates,"Despite losing an historic antitrust ruling last year the Microsoft cofounder is still the wealthiest man in the world. The software company is appealing the ruling, and Gates is moving on: He has returned to the programming trenches as the company's chief software architect.",1,billionaires,58700.0,0.0,1.0,"{'name': 'Bill Gates', 'uri': 'bill-gates', 'imageExists': True, 'squareImage': 'https://specials-images.forbesimg.com/imageserve/62d599ede3ff49f348f9b9b4/416x416.jpg?background=000000&cropX1=155&cropX2=976&cropY1=340&cropY2=1161'}",True,Bill Gates,45.0,United States,Washington,Medina,,['Technology'],United States,1337117062734,1337117108771,0.0,0.0,0.0,0.0,0,faris/5/2001/5772,1,True,False,M,-447451200000.0,225.0,Gates,William,The World's Billionaires,http://onforb.es/1IR6Yer,http://onforb.es/1zwslMH,http://onforb.es/1IR71XC,993960000000,False,False,http://specials-images.forbesimg.com/imageserve/62d599ede3ff49f348f9b9b4/280x425.jpg?fit=scale&background=000000,https://specials-images.forbesimg.com/imageserve/62d599ede3ff49f348f9b9b4/416x416.jpg?background=000000&cropX1=155&cropX2=976&cropY1=340&cropY2=1161,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Billionaires,2001,7,warren-buffett,"""We have embraced the 21st century by entering such cutting-edge industries as brick, carpet, insulation and paint,"" Buffett told his Berkshire Hathaway shareholders this year. ""Try to control your excitement."" More exciting is the holding's company's stock price in the last year, up 14.4%.",2,billionaires,32300.0,,,"{'name': 'Warren Buffett', 'uri': 'warren-buffett', 'squareImage': '//specials-images.forbesimg.com/imageserve/5babb7f1a7ea4342a948b79a/416x416.jpg?background=000000&cropX1=748&cropX2=3075&cropY1=1753&cropY2=4082'}",True,Warren Buffett,70.0,United States,Nebraska,Omaha,,['Finance'],United States,1309538167960,1309538202947,,,,,0,faris/5/2001/5381,3,,,,,,,,,http://onforb.es/1IR6Yer,http://onforb.es/1zwsorO,http://onforb.es/1IR71XC,993960000000,False,False,http://specials-images.forbesimg.com/imageserve/5babb7f1a7ea4342a948b79a/280x425.jpg?fit=scale&background=000000,//specials-images.forbesimg.com/imageserve/5babb7f1a7ea4342a948b79a/416x416.jpg?background=000000&cropX1=748&cropX2=3075&cropY1=1753&cropY2=4082,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2,Billionaires,2001,7,paul-allen,"The Microsoft cofounder has sold millions of the software giant's shares to finance his wired-world investment strategy: a portfolio of dozens of Internet, media and technology companies. Despite breaking out on his own, almost a third of Allen's wealth still stems from his remaining stake in Microsoft.",3,billionaires,30400.0,0.0,3.0,"{'name': 'Paul Allen', 'uri': 'paul-allen', 'imageExists': True, 'squareImage': 'http://specials-images.forbesimg.com/imageserve/57f4fbeb4bbe6f75c4fda22d/416x416.jpg?background=000000&cropX1=82&cropX2=675&cropY1=8&cropY2=601'}",True,Paul Allen,48.0,United States,Washington,Mercer Island,,['Technology'],United States,1337117317250,1337117369674,0.0,0.0,0.0,0.0,0,faris/5/2001/5729,5,True,False,M,-534711600000.0,225.0,Allen,Paul,The World's Billionaires,http://onforb.es/1IR6Yer,http://onforb.es/1zwswYd,http://onforb.es/1IR71XC,993960000000,False,False,http://specials-images.forbesimg.com/imageserve/57f4fbeb4bbe6f75c4fda22d/280x425.jpg?fit=scale&background=000000,http://specials-images.forbesimg.com/imageserve/57f4fbeb4bbe6f75c4fda22d/416x416.jpg?background=000000&cropX1=82&cropX2=675&cropY1=8&cropY2=601,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Billionaires,2001,7,larry-ellison,"Last fall the founder of the world's second-largest software company looked like he might become the world's richest man, but Oracle stock has since plunged. Ellison still has enough in the bank to pay for his high-profile, high-risk boat and plane adventures.",4,billionaires,26000.0,,,"{'name': 'Lawrence Ellison', 'uri': 'larry-ellison', 'squareImage': '//specials-images.forbesimg.com/imageserve/5e8b62cfc095010007bffea0/416x416.jpg?background=000000&cropX1=0&cropX2=4529&cropY1=652&cropY2=5184'}",True,Lawrence Ellison,56.0,United States,California,Atherton,,['Software'],United States,1309538165687,1309538200700,,,,,0,faris/5/2001/5574,7,,,,,,,,,http://onforb.es/1IR6Yer,http://onforb.es/1zwskbB,http://onforb.es/1IR71XC,993960000000,False,False,http://specials-images.forbesimg.com/imageserve/5e8b62cfc095010007bffea0/280x425.jpg?fit=scale&background=000000,//specials-images.forbesimg.com/imageserve/5e8b62cfc095010007bffea0/416x416.jpg?background=000000&cropX1=0&cropX2=4529&cropY1=652&cropY2=5184,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
4,Billionaires,2001,6,christoph-henkel,"80 family members from three clans share an 80% interest in Henkel KGaA, maker of everything from adhesives to dish soap and producers of the Persil and Fa brands. Henkel, which has stakes in Clorox, Ecolab and a joint venture with Dial, posted record net profits of over $440 million on revenues of $11.2 billion in 2000.",5,billionaires,5600.0,0.0,4.0,"{'name': 'Christoph Henkel', 'uri': 'christoph-henkel', 'imageExists': True, 'squareImage': '//specials-images.forbesimg.com/imageserve/5e761fffd8e1ae0007b71988/416x416.jpg?background=000000&cropX1=279&cropX2=2452&cropY1=352&cropY2=2527'}",True,Christoph Henkel,,United Kingdom,,London,,['Fashion & Retail'],Germany,1491252072837,19,0.0,,0.0,,0,faris/5/2001/4579,10,True,False,,-375130800000.0,125.0,Henkel,,The World's Billionaires,,,,993096000000,False,False,http://specials-images.forbesimg.com/imageserve/5e761fffd8e1ae0007b71988/280x425.jpg?fit=scale&background=000000,//specials-images.forbesimg.com/imageserve/5e761fffd8e1ae0007b71988/416x416.jpg?background=000000&cropX1=279&cropX2=2452&cropY1=352&cropY2=2527,False,,,,,,,,,,,,,,,,,,,,Fashion & Retail,1100.0,24.444444444444443,"['rank', 'finalWorth', 'personName', 'bios', 'bio']",False,,,
5,Billionaires,2001,7,prince-alwaleed-bin-talal-alsaud,"The man: High-energy investor who searches out undervalued stocks saw some of them become even less valuable this year. The fortune: Prices plummeted on Internet picks Priceline.com and Amazon.com as well as holdings like Motorola and Compaq. Lucky for him, these are small pieces of a big pie. The biggest slice, his 3.9% of Citigroup, accounts for half his fortune and was up 12% since last year. Passions: Long walks near his weekend desert retreat; watching CNBC.",6,billionaires,20000.0,,,"{'name': 'Prince Alwaleed Bin Talal Alsaud', 'uri': 'prince-alwaleed-bin-talal-alsaud', 'squareImage': '//specials-images.forbesimg.com/imageserve/5e779508d8e1ae0007b72f3e/416x416.jpg?background=000000&cropX1=950&cropX2=4271&cropY1=14&cropY2=3334'}",True,Prince Alwaleed Bin Talal Alsaud,44.0,Saudi Arabia,,Riyadh,,['Investments'],Saudi Arabia,1309539711497,1309539731049,,,,,0,faris/5/2001/4268,11,,,,,,,,,http://onforb.es/1IR6Yer,http://onforb.es/1rodoJU,http://onforb.es/1IR71XC,993960000000,False,False,http://specials-images.forbesimg.com/imageserve/5e779508d8e1ae0007b72f3e/280x425.jpg?fit=scale&background=000000,//specials-images.forbesimg.com/imageserve/5e779508d8e1ae0007b72f3e/416x416.jpg?background=000000&cropX1=950&cropX2=4271&cropY1=14&cropY2=3334,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
6,Billionaires,2001,7,jim-walton,"Son of Sam Walton (d. 1992), founder of Wal-Mart store chain, now world's biggest retailer. Jim is now chief executive of Arvest Group, a collection of community banks.",7,billionaires,18800.0,,,"{'name': 'Jim Walton', 'uri': 'jim-walton', 'squareImage': '//specials-images.forbesimg.com/imageserve/5c7ef2fea7ea434b351bca5a/416x416.jpg?background=000000&cropX1=49&cropX2=934&cropY1=65&cropY2=951'}",True,Jim Walton,53.0,United States,Arkansas,Bentonville,,['Retail'],United States,1309538263710,1309538440403,,,,,0,faris/5/2001/5720,14,,,,,,,,,http://onforb.es/1IR6Yer,http://onforb.es/1zwsnnU,http://onforb.es/1IR71XC,993960000000,False,False,http://specials-images.forbesimg.com/imageserve/5c7ef2fea7ea434b351bca5a/280x425.jpg?fit=scale&background=000000,//specials-images.forbesimg.com/imageserve/5c7ef2fea7ea434b351bca5a/416x416.jpg?background=000000&cropX1=49&cropX2=934&cropY1=65&cropY2=951,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
7,Billionaires,2001,7,david-sainsbury,"In a year when most stock market returns have been dismal, the dozen or so Sainsburys who share in the fortune have reason to cheer. Sales at the eponymous family grocery business increased 6%, and the market has responded generously to the ongoing restructuring. Credit goes to nonfamily member and J.Sainsbury plc chief exec Sir Peter Davis. Meanwhile David Sainsbury, continues to focus on his political career, most recently as minister of science.",8,billionaires,4700.0,,,"{'name': 'David Sainsbury', 'uri': 'david-sainsbury'}",True,David Sainsbury,60.0,United Kingdom,,London,,['Retail'],United Kingdom,1309541910001,1309541929638,,,,,0,faris/5/2001/4900,15,,,,,,,,,http://onforb.es/1IR6Yer,http://onforb.es/1zwxVP2,http://onforb.es/1IR71XC,993960000000,False,False,,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
8,Billionaires,2001,7,rob-walton,"Son of Sam Walton (d. 1992), founder of Wal-Mart store chain. Rob helped plan 1970 IPO, and has been a director since 1978. Now serves as chairman.",9,billionaires,18600.0,,,"{'name': 'S. Robson Walton', 'uri': 'rob-walton', 'imageExists': True, 'squareImage': '//specials-images.forbesimg.com/imageserve/59d50a9e4bbe6f37dd9ff712/416x416.jpg?background=000000&cropX1=244&cropX2=1841&cropY1=60&cropY2=1658'}",True,S. Robson Walton,57.0,United States,Arkansas,Bentonville,,['Retail'],United States,1309538607205,1309538635061,,,,,0,faris/5/2001/5716,18,True,,,,,,,,http://onforb.es/1IR6Yer,http://onforb.es/1zwsorQ,http://onforb.es/1IR71XC,993960000000,False,False,http://specials-images.forbesimg.com/imageserve/59d50a9e4bbe6f37dd9ff712/280x425.jpg?fit=scale&background=000000,//specials-images.forbesimg.com/imageserve/59d50a9e4bbe6f37dd9ff712/416x416.jpg?background=000000&cropX1=244&cropX2=1841&cropY1=60&cropY2=1658,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
9,Billionaires,2001,7,alice-walton,"The daughter of Wal-Mart founder Sam Walton (d. 1992) shares in family's massive stock holding. An active horsewoman, she lives on a Texas ranch and avoids publicity.",10,billionaires,18500.0,,,"{'name': 'Alice Walton', 'uri': 'alice-walton', 'squareImage': '//specials-images.forbesimg.com/imageserve/5c7ef270a7ea434b351bca52/416x416.jpg?background=000000&cropX1=232&cropX2=998&cropY1=222&cropY2=988'}",True,Alice Walton,52.0,United States,Texas,Fort Worth,,['Retail'],United States,1309538200300,1309538218928,,,,,0,faris/5/2001/5722,21,,,,,,,,,http://onforb.es/1IR6Yer,http://onforb.es/1zwsm32,http://onforb.es/1IR71XC,993960000000,False,False,http://specials-images.forbesimg.com/imageserve/5c7ef270a7ea434b351bca52/280x425.jpg?fit=scale&background=000000,//specials-images.forbesimg.com/imageserve/5c7ef270a7ea434b351bca52/416x416.jpg?background=000000&cropX1=232&cropX2=998&cropY1=222&cropY2=988,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
