,name,year,month,uri,bio,rank,listUri,finalWorth,otherCompensation,countryRank,person,visible,personName,age,country,state,city,source,industries,countryOfCitizenship,timestamp,version,moneyRank,tvRadioRank,pressRank,webRank,socialRank,naturalId,position,imageExists,change,changePercent,selfMade,status,gender,birthDate,countryId,lastName,firstName,listDescription,shortUri,galleryShortUri,listShortUri,date,wealthList,familyList,thumbnail,squareImage,bioSuppress,factivaHits,webHits,tvRadio,recentEarnings,recentSales,recentBudget,gdp,budget,assets,totalCompensation,salary,bonus,stockOptions,population,audienceWeb,audiencePrint,audienceTv,employees,following,category,previousRank,csfDisplayFields,suppressOnProfiles,organization,title,employment,portraitImage,landscapeImage
0,Billionaires,2003,3,bill-gates,"Microsoft founder no doubt sleeping easier after settling pesky federal antitrust suit. This year the world&#8217;s richest man will even get a little extra pocket change &#8211; about $100 million &#8211; from company&#8217;s first shareholder dividend. Microsoft no longer the torrid growth machine it once was, but is weathering tech storm better than most. Having kicked himself upstairs to more cerebral job of chief software architect, Gates is busy working with developers to push Microsoft beyond the desktop into devices like tablet PCs, cell phones, TVs.  Maintaining secrecy on next version of Windows (dubbed Longhorn, set for release in 2005), claims it&#39s not just an upgrade. Meanwhile tackling global health and education with $24 billion Bill &#38; Melinda Gates Foundation. Funds flowing to disease prevention (polio, AIDS), vaccine development; lately buying drug stocks. Diversifies own wealth via Cascade Investments: Corbis, stakes in Republic Services, Canadian National Railway, Gabelli Asset Management.",1,billionaires,40700.0,0.0,1.0,"{'name': 'Bill Gates', 'uri': 'bill-gates', 'imageExists': True, 'squareImage': 'https://specials-images.forbesimg.com/imageserve/62d599ede3ff49f348f9b9b4/416x416.jpg?background=000000&cropX1=155&cropX2=976&cropY1=340&cropY2=1161'}",True,Bill Gates,47.0,United States,Washington,Medina,,['Technology'],United States,1337117050171,1337117108615,0.0,0.0,0.0,0.0,0,faris/5/2003/5772,1,True,-12100.0,-22.916666666666657,False,D,M,-447451200000.0,225.0,Gates,William,The World's Billionaires,http://onforb.es/1IR6Yer,http://onforb.es/1zwslMH,http://onforb.es/1IR71XC,1046494800000,False,False,http://specials-images.forbesimg.com/imageserve/62d599ede3ff49f348f9b9b4/280x425.jpg?fit=scale&background=000000,https://specials-images.forbesimg.com/imageserve/62d599ede3ff49f348f9b9b4/416x416.jpg?background=000000&cropX1=155&cropX2=976&cropY1=340&cropY2=1161,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Billionaires,2003,3,warren-buffett,"Omaha oracle&#8217;s Berkshire Hathaway back on track and profitable again after posting substantial losses on reinsurance business last year in wake of World Trade Center attacks. This year, Buffet&#8217;s buying into bankrupt mobile home maker Oakwood Homes.  But value investor also dipped into telecom: Last year bought $100 million in high-yield paper from Level 3. Also picking through scraps of fallen energy giants: $900 million plus debt to Dynegy for gas pipelines, helped pump $2 billion into troubled Williams Co., said to be looking for bargains among Enron&#39s assets. Heart of portfolio leans toward blue chips: Gillette, Coca-Cola. Says he&#39s ""disgusted"" by corporate bosses who tout their companies while selling shares: ""These business leaders view shareholders as patsies, not partners."" Buffett has never sold a share of Berkshire Hathaway.",2,billionaires,30500.0,,,"{'name': 'Warren Buffett', 'uri': 'warren-buffett', 'squareImage': '//specials-images.forbesimg.com/imageserve/5babb7f1a7ea4342a948b79a/416x416.jpg?background=000000&cropX1=748&cropX2=3075&cropY1=1753&cropY2=4082'}",True,Warren Buffett,72.0,United States,Nebraska,Omaha,,['Investments'],United States,1309538157691,1309538201712,,,,,0,faris/5/2003/5381,2,,,,,,,,,,,,http://onforb.es/1IR6Yer,http://onforb.es/1zwsorO,http://onforb.es/1IR71XC,1046494800000,False,False,http://specials-images.forbesimg.com/imageserve/5babb7f1a7ea4342a948b79a/280x425.jpg?fit=scale&background=000000,//specials-images.forbesimg.com/imageserve/5babb7f1a7ea4342a948b79a/416x416.jpg?background=000000&cropX1=748&cropX2=3075&cropY1=1753&cropY2=4082,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2,Billionaires,2003,3,paul-allen,"Microsoft cofounder finding it harder to cling to ""wired world"" vision: Struggling under $20 billion in debt, accounting probes and a plummeting stock price, his Charter Communications cable company is likely facing bankruptcy or restructuring. Luckily, didn't completely turn his back on Microsoft: still thought to hold 213 million shares. Claims to have liquidated 75% of the diverse equity holdings in private investment firm Vulcan Ventures, reinvesting much in Treasury paper. Sports enthusiast owns football's Seattle Seahawks, basketball's Portland Trailblazers.",4,billionaires,20100.0,0.0,3.0,"{'name': 'Paul Allen', 'uri': 'paul-allen', 'imageExists': True, 'squareImage': 'http://specials-images.forbesimg.com/imageserve/57f4fbeb4bbe6f75c4fda22d/416x416.jpg?background=000000&cropX1=82&cropX2=675&cropY1=8&cropY2=601'}",True,Paul Allen,50.0,United States,Washington,Mercer Island,,['Technology'],United States,1337117313640,1337117369510,0.0,0.0,0.0,0.0,0,faris/5/2003/5729,4,True,-5100.0,-20.238095238095227,False,D,M,-534711600000.0,225.0,Allen,Paul,The World's Billionaires,http://onforb.es/1IR6Yer,http://onforb.es/1zwswYd,http://onforb.es/1IR71XC,1046494800000,False,False,http://specials-images.forbesimg.com/imageserve/57f4fbeb4bbe6f75c4fda22d/280x425.jpg?fit=scale&background=000000,http://specials-images.forbesimg.com/imageserve/57f4fbeb4bbe6f75c4fda22d/416x416.jpg?background=000000&cropX1=82&cropX2=675&cropY1=8&cropY2=601,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Billionaires,2003,3,prince-alwaleed-bin-talal-alsaud,"The Syracuse University-educated Saudi prince is still the wealthiest single investor outside the U.S., despite a drop in value of many of his American-based holdings. Clearly a thrill-seeker, Alwaleed says this past year he sank another $1 billion into Citigroup stock (down 22% since last year). Says his stock losses were offset by the rise in value of real estate in Riyadh and Kingdom Center, a tony shopping center he opened there in late 2001.",5,billionaires,17700.0,,,"{'name': 'Prince Alwaleed Bin Talal Alsaud', 'uri': 'prince-alwaleed-bin-talal-alsaud', 'squareImage': '//specials-images.forbesimg.com/imageserve/5e779508d8e1ae0007b72f3e/416x416.jpg?background=000000&cropX1=950&cropX2=4271&cropY1=14&cropY2=3334'}",True,Prince Alwaleed Bin Talal Alsaud,46.0,Saudi Arabia,,Riyadh,,['Investments'],Saudi Arabia,1309539706303,1309539731071,,,,,0,faris/5/2003/4268,5,,,,,,,,,,,,http://onforb.es/1IR6Yer,http://onforb.es/1rodoJU,http://onforb.es/1IR71XC,1046494800000,False,False,http://specials-images.forbesimg.com/imageserve/5e779508d8e1ae0007b72f3e/280x425.jpg?fit=scale&background=000000,//specials-images.forbesimg.com/imageserve/5e779508d8e1ae0007b72f3e/416x416.jpg?background=000000&cropX1=950&cropX2=4271&cropY1=14&cropY2=3334,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
4,Billionaires,2003,3,larry-ellison,"Brash founder of database maker Oracle focusing on government as dot-com clients evaporate. Salespeople may have tried too hard to please their demanding boss: $95 million deal with California nixed after audit found that Oracle sold state more software than it needed. Now promoting national security database (donated by Oracle) as answer to terrorism. With Oracle sales down 12% this past year EllisonOs fortune is suffering, too: down from $23 billion last year, $58 billion in 2000. That still leaves enough to float an America's Cup entry in February (see story, p. 296). Took Oracle public one day before Microsoft in 1986; remains second-largest software maker behind Gates' shop. Rivalry with Bill goes on: now making Oracle machines compatible with Windows alternative Linux, calling for open-source competitor to ubiquitous MS Office suite.",6,billionaires,16600.0,,,"{'name': 'Lawrence Ellison', 'uri': 'larry-ellison', 'squareImage': '//specials-images.forbesimg.com/imageserve/5e8b62cfc095010007bffea0/416x416.jpg?background=000000&cropX1=0&cropX2=4529&cropY1=652&cropY2=5184'}",True,Lawrence Ellison,58.0,United States,California,Atherton,,['Software'],United States,1309538156772,1309538199904,,,,,0,faris/5/2003/5574,6,,,,,,,,,,,,http://onforb.es/1IR6Yer,http://onforb.es/1zwskbB,http://onforb.es/1IR71XC,1046494800000,False,False,http://specials-images.forbesimg.com/imageserve/5e8b62cfc095010007bffea0/280x425.jpg?fit=scale&background=000000,//specials-images.forbesimg.com/imageserve/5e8b62cfc095010007bffea0/416x416.jpg?background=000000&cropX1=0&cropX2=4529&cropY1=652&cropY2=5184,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
5,Billionaires,2003,3,alice-walton,"Child of Sam Walton (d. 1992), founder of world's largest retailer Wal-Mart. Started with general store in Arkansas in 1962. Now 4,300 stores worldwide, serving 100 million customers a week. Wal-Mart considering bid for British supermarket chain Safeway. Family no longer in day-to-day control but still owns 38 percent of stock. Rob is chairman of board, also vintage auto enthusiast. Vietnam vet John is major backer of education causes, school choice, founded Children's Scholarship Fund with Ted Forstmann. Jim heads family's banking activities, heads Arvest, Arkansas' largest bank. Horse enthusiast Alice lives on Texas ranch. Family foundation recently donated $300 million to U. of Arkansas, largest-ever gift to U.S. public university. Money will go to graduate education and honors college for undergrads.",7,billionaires,16500.0,,,"{'name': 'Alice Walton', 'uri': 'alice-walton', 'squareImage': '//specials-images.forbesimg.com/imageserve/5c7ef270a7ea434b351bca52/416x416.jpg?background=000000&cropX1=232&cropX2=998&cropY1=222&cropY2=988'}",True,Alice Walton,54.0,United States,Texas,Fort Worth,,['Retail'],United States,1309538196132,1309538216809,,,,,0,faris/5/2003/5722,7,,,,,,,,,,,,http://onforb.es/1IR6Yer,http://onforb.es/1zwsm32,http://onforb.es/1IR71XC,1046494800000,False,False,http://specials-images.forbesimg.com/imageserve/5c7ef270a7ea434b351bca52/280x425.jpg?fit=scale&background=000000,//specials-images.forbesimg.com/imageserve/5c7ef270a7ea434b351bca52/416x416.jpg?background=000000&cropX1=232&cropX2=998&cropY1=222&cropY2=988,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
6,Billionaires,2003,3,jim-walton,"Child of Sam Walton (d. 1992), founder of world's largest retailer Wal-Mart. Started with general store in Arkansas in 1962. Now 4,300 stores worldwide, serving 100 million customers a week. Wal-Mart considering bid for British supermarket chain Safeway. Family no longer in day-to-day control but still owns 38 percent of stock. Rob is chairman of board, also vintage auto enthusiast. Vietnam vet John is major backer of education causes, school choice, founded Children's Scholarship Fund with Ted Forstmann. Jim heads family's banking activities, heads Arvest, Arkansas' largest bank. Horse enthusiast Alice lives on Texas ranch. Family foundation recently donated $300 million to U. of Arkansas, largest-ever gift to U.S. public university. Money will go to graduate education and honors college for undergrads.",7,billionaires,16500.0,,,"{'name': 'Jim Walton', 'uri': 'jim-walton', 'squareImage': '//specials-images.forbesimg.com/imageserve/5c7ef2fea7ea434b351bca5a/416x416.jpg?background=000000&cropX1=49&cropX2=934&cropY1=65&cropY2=951'}",True,Jim Walton,55.0,United States,Arkansas,Bentonville,,['Retail'],United States,1309538253289,1309538392170,,,,,0,faris/5/2003/5720,9,,,,,,,,,,,,http://onforb.es/1IR6Yer,http://onforb.es/1zwsnnU,http://onforb.es/1IR71XC,1046494800000,False,False,http://specials-images.forbesimg.com/imageserve/5c7ef2fea7ea434b351bca5a/280x425.jpg?fit=scale&background=000000,//specials-images.forbesimg.com/imageserve/5c7ef2fea7ea434b351bca5a/416x416.jpg?background=000000&cropX1=49&cropX2=934&cropY1=65&cropY2=951,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
7,Billionaires,2003,3,rob-walton,"Child of Sam Walton (d. 1992), founder of world's largest retailer Wal-Mart. Started with general store in Arkansas in 1962. Now 4,300 stores worldwide, serving 100 million customers a week. Wal-Mart considering bid for British supermarket chain Safeway. Family no longer in day-to-day control but still owns 38 percent of stock. Rob is chairman of board, also vintage auto enthusiast. Vietnam vet John is major backer of education causes, school choice, founded Children's Scholarship Fund with Ted Forstmann. Jim heads family's banking activities, heads Arvest, Arkansas' largest bank. Horse enthusiast Alice lives on Texas ranch. Family foundation recently donated $300 million to U. of Arkansas, largest-ever gift to U.S. public university. Money will go to graduate education and honors college for undergrads.",7,billionaires,16500.0,,,"{'name': 'S. Robson Walton', 'uri': 'rob-walton', 'imageExists': True, 'squareImage': '//specials-images.forbesimg.com/imageserve/59d50a9e4bbe6f37dd9ff712/416x416.jpg?background=000000&cropX1=244&cropX2=1841&cropY1=60&cropY2=1658'}",True,S. Robson Walton,59.0,United States,Arkansas,Bentonville,,['Retail'],United States,1309538602897,1309538633188,,,,,0,faris/5/2003/5716,11,True,,,,,,,,,,,http://onforb.es/1IR6Yer,http://onforb.es/1zwsorQ,http://onforb.es/1IR71XC,1046494800000,False,False,http://specials-images.forbesimg.com/imageserve/59d50a9e4bbe6f37dd9ff712/280x425.jpg?fit=scale&background=000000,//specials-images.forbesimg.com/imageserve/59d50a9e4bbe6f37dd9ff712/416x416.jpg?background=000000&cropX1=244&cropX2=1841&cropY1=60&cropY2=1658,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
8,Billionaires,2003,3,liliane-bettencourt,"France&#8217;s richest person is a billion dollars richer this year, thanks mostly to the impressive resilience of her principle holding, L&#8217;Or&#233;al. The company continues to thrive under its English chief executive, Lindsay Owen-Jones, who boosted profits 1.8% to 713 million euros in the first half of 2002. Bettencourt inherited a controlling stake in L&#8217;Or&#233;al in 1957 from her father, the company&#8217;s founder. As discreet as she is rich, Bettencourt shuns the press. Part of the reason may be an impressive number of skeletons in the family closet, most relating to the family&#8217;s intimate association with extreme-right political groups in Vichy France. Only daughter and heir apparent Fran&#231;oise Bettencourt Meyers sits on L&#8217;Or&#233;al&#8217;s board of directors.",12,billionaires,14500.0,,,"{'name': 'Liliane Bettencourt', 'uri': 'liliane-bettencourt', 'squareImage': '//specials-images.forbesimg.com/imageserve/58a1bdd131358e1a35ab3fc5/416x416.jpg?background=000000&cropX1=66&cropX2=713&cropY1=93&cropY2=741'}",True,Liliane Bettencourt,80.0,France,,Paris,,['Manufacturing'],France,1309539262357,1309539279850,,,,,0,faris/5/2003/4570,12,,,,,,,,,,,,http://onforb.es/1IR6Yer,http://onforb.es/1zwskbt,http://onforb.es/1IR71XC,1046494800000,False,False,http://specials-images.forbesimg.com/imageserve/58a1bdd131358e1a35ab3fc5/280x425.jpg?fit=scale&background=000000,//specials-images.forbesimg.com/imageserve/58a1bdd131358e1a35ab3fc5/416x416.jpg?background=000000&cropX1=66&cropX2=713&cropY1=93&cropY2=741,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
9,Billionaires,2003,3,ingvar-kamprad,"Despite a bout with prostate cancer last year, the 76-year-old founder of home furnishings giant IKEA has no intention of retiring.  Entrepreneurial from the start, Kamprad sold matches, fish, pens and Christmas cards by bicycle as a teenager. Outside of work, he travels coach, carries his own bags and is often seen doing his own shopping at the local supermarket. And he continues to cycle.",14,billionaires,13000.0,,,"{'name': 'Ingvar Kamprad & family', 'uri': 'ingvar-kamprad'}",True,Ingvar Kamprad & family,76.0,Switzerland,,Lausanne,,['Retail'],Sweden,1309540625775,1309540656201,,,,,0,faris/5/2003/4516,14,,,,,,,,,,,,http://onforb.es/1IR6Yer,http://onforb.es/1BOU2I2,http://onforb.es/1IR71XC,1046494800000,False,False,,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
