,name,year,month,uri,bio,rank,listUri,finalWorth,otherCompensation,countryRank,person,visible,personName,age,country,state,city,source,industries,countryOfCitizenship,timestamp,version,moneyRank,tvRadioRank,pressRank,webRank,socialRank,naturalId,position,imageExists,change,changePercent,selfMade,status,gender,birthDate,countryId,lastName,firstName,listDescription,shortUri,galleryShortUri,listShortUri,date,wealthList,familyList,thumbnail,squareImage,bioSuppress,factivaHits,webHits,tvRadio,recentEarnings,recentSales,recentBudget,gdp,budget,assets,totalCompensation,salary,bonus,stockOptions,population,audienceWeb,audiencePrint,audienceTv,employees,following,previousRank,csfDisplayFields,suppressOnProfiles,category,title,organization,employment,portraitImage,landscapeImage
0,Billionaires,2004,3,bill-gates,"Does the Comcast bid for Disney signal Gates&#39 entry in big media? That&#39s what some are speculating, given Microsoft&#39s 7% stake in the cable giant. Any new media deal by Comcast would likely involve Microsoft, if only to draw on the software maker&#39s $50 billion in capital. Lately, Microsoft acting more mature, paying out dividends and nixing stock options, but no less formidable: &#8220;We&#8217;re just at the beginning of what we can do with software,&#8221; proclaimed Gates at company meeting last July. Microsoft&#8217;s chief software architect pushing to move company beyond PCs into TVs, cell phones, cars, even wristwatches. Flagship Windows operating system runs 94% of the world&#8217;s desktop computers, but company facing heated pressure from Linux, whose open-source system for servers is growing more quickly than Microsoft&#8217;s. Expectations high for Windows successor, dubbed Longhorn, which might surface in 2005. Outside the office, world&#8217;s biggest philanthropist devoting billions to eradicating infectious diseases (polio, AIDS) and developing vaccines through $24 billion Bill &#38; Melinda Gates Foundation. Methodically diversifying: sells 20 million shares a quarter, reinvests via Cascade Investments with stakes in Cox Communications, Canadian National Railway, Republic Services.",1,billionaires,46600.0,0.0,1.0,"{'name': 'Bill Gates', 'uri': 'bill-gates', 'imageExists': True, 'squareImage': 'https://specials-images.forbesimg.com/imageserve/62d599ede3ff49f348f9b9b4/416x416.jpg?background=000000&cropX1=155&cropX2=976&cropY1=340&cropY2=1161'}",True,Bill Gates,48.0,United States,Washington,Medina,,['Technology'],United States,1337117044093,1337117108767,0.0,0.0,0.0,0.0,0,faris/5/2004/5772,1,True,5900.0,14.496314496314497,False,U,M,-447451200000.0,225.0,Gates,William,The World's Billionaires,http://onforb.es/1IR6Yer,http://onforb.es/1zwslMH,http://onforb.es/1IR71XC,1078117200000,False,False,http://specials-images.forbesimg.com/imageserve/62d599ede3ff49f348f9b9b4/280x425.jpg?fit=scale&background=000000,https://specials-images.forbesimg.com/imageserve/62d599ede3ff49f348f9b9b4/416x416.jpg?background=000000&cropX1=155&cropX2=976&cropY1=340&cropY2=1161,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Billionaires,2004,3,warren-buffett,"Oracle of Omaha assumed Delphic role as Arnold&#8217;s economic adviser in California governorship race. Maybe because he was so dismayed with governance in the corporate sphere: &#8220;Accountability and stewardship withered in the last decade.&#8221; Takes some of the blame personally. &#8220;Too often I was silent when management made proposals that I judged to be counter to the interests of shareholders.&#8221; Otherwise an impeccable track record. Studied under investment guru Benjamin Graham at Columbia. Applied value investing principles to build Berkshire Hathaway into $116 billion (market cap) holding company: insurance (General Re, Geico), substantial stakes in American Express, Coca-Cola, Gillette, Wells Fargo. Also wide assortment of operating companies that tickle Warren&#8217;s fancy: Fruit of the Loom, Pampered Chef, NetJet. Believes Berkshire should be a &#8220;fortress of financial strength.&#8221; Has been just that: stock up nearly 50% in the past year.",2,billionaires,42900.0,,,"{'name': 'Warren Buffett', 'uri': 'warren-buffett', 'squareImage': '//specials-images.forbesimg.com/imageserve/5babb7f1a7ea4342a948b79a/416x416.jpg?background=000000&cropX1=748&cropX2=3075&cropY1=1753&cropY2=4082'}",True,Warren Buffett,73.0,United States,Nebraska,Omaha,,['Investments'],United States,1309538155506,1309538201951,,,,,0,faris/5/2004/5381,2,,,,,,,,,,,,http://onforb.es/1IR6Yer,http://onforb.es/1zwsorO,http://onforb.es/1IR71XC,1078117200000,False,False,http://specials-images.forbesimg.com/imageserve/5babb7f1a7ea4342a948b79a/280x425.jpg?fit=scale&background=000000,//specials-images.forbesimg.com/imageserve/5babb7f1a7ea4342a948b79a/416x416.jpg?background=000000&cropX1=748&cropX2=3075&cropY1=1753&cropY2=4082,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2,Billionaires,2004,3,karl-albrecht,"The undisputed supermarket king, along with younger brother, Theo. His 6,500-store Aldi chain began as a single grocery in the Ruhr Valley run until the end of WWII by their mother. The formula: Customers would rather scuttle fancy decor and services in exchange for lower prices. Despite a flagging retail sector, Aldi&#8217;s total sales in 2002 reached $49 billion&#8212;still just a fifth the size of Wal-Mart&#8217;s sales. The arrangement had Karl manage the southern, more profitable half of Germany, while younger Theo minded the north. Karl has since retired, leaving the company in the hands of nonfamily members. (His two children do not work at Aldi.) Both brothers fiercely guard their privacy, though now and again information emerges. Word is Karl raises orchids and enjoys a round of golf on his own 27-hole course.",3,billionaires,23000.0,,,"{'name': 'Karl Albrecht', 'uri': 'karl-albrecht', 'imageExists': False}",True,Karl Albrecht,84.0,Germany,,Donaueschingen,,['Retail'],Germany,1309538331538,1309538415357,,,,,0,faris/5/2004/7450,3,False,,,,,,,,,,,http://onforb.es/1IR6Yer,http://onforb.es/1kMFbAp,http://onforb.es/1IR71XC,1078117200000,False,False,,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
3,Billionaires,2004,3,prince-alwaleed-bin-talal-alsaud,"The jet-setting prince is transforming himself into a businessman-cum-political-activist. Sure, he&#8217;s still got his $10 billion stake in Citigroup. But in Saudi Arabia this nephew of the king has called for a range of reforms: elections, women&#8217;s rights and job creation. And he&#8217;s publicly criticized the state-owned oil company, Saudi Aramco.  Plus, he&#8217;s a vocal supporter of the U.S.&#8212;and has set up centers at universities in Cairo and Beirut to teach the American political system. On his latest spin through the U.S., in January, he met with former U.S. Presidents Carter, Clinton and Bush to talk about what he calls &#8220;narrowing the gap between the U.S. and Saudi Arabia.&#8221;",4,billionaires,21500.0,,,"{'name': 'Prince Alwaleed Bin Talal Alsaud', 'uri': 'prince-alwaleed-bin-talal-alsaud', 'squareImage': '//specials-images.forbesimg.com/imageserve/5e779508d8e1ae0007b72f3e/416x416.jpg?background=000000&cropX1=950&cropX2=4271&cropY1=14&cropY2=3334'}",True,Prince Alwaleed Bin Talal Alsaud,47.0,Saudi Arabia,,Riyadh,,['Investments'],Saudi Arabia,1309539703878,1309539731072,,,,,0,faris/5/2004/4268,4,,,,,,,,,,,,http://onforb.es/1IR6Yer,http://onforb.es/1rodoJU,http://onforb.es/1IR71XC,1078117200000,False,False,http://specials-images.forbesimg.com/imageserve/5e779508d8e1ae0007b72f3e/280x425.jpg?fit=scale&background=000000,//specials-images.forbesimg.com/imageserve/5e779508d8e1ae0007b72f3e/416x416.jpg?background=000000&cropX1=950&cropX2=4271&cropY1=14&cropY2=3334,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
4,Billionaires,2004,3,paul-allen,"Microsoft cofounder&#8217;s &#8220;wired world&#8221; vision not looking visionary just yet. At Vulcan Ventures, his private investment vehicle, recently replaced longtime head William Savoy with younger sister Jody Patton. Also unloaded big stake in RCN at a big loss. Still has plenty of room for risk thanks to $5 billion Microsoft stake. Increased stake in cable company Charter Communications despite indictment of four former senior execs for inflating results; dumped big investment in drug company Vaxgen, maker of failed AIDS vaccine. Dozens of other technology projects not quite ready for prime time. Perhaps better luck in bricks and mortar. Plans to develop 50-acre &#8220;bioscience hub&#8221; in Seattle with commercial, residential space; Merck already signed on as tenant. Other projects: science fiction museum alongside his Experience Music Project in Seattle. Among the collection: the original captain&#8217;s chair from Star Trek television show. Collector of vintage military airplanes, including WWII-era Spitfire, Zero. Joined Bill Gates in 1975 to start Microsoft, left in 1983 to fight Hodgkin&#8217;s disease. Slow but steady seller of big Microsoft stake ever since.",5,billionaires,21000.0,0.0,3.0,"{'name': 'Paul Allen', 'uri': 'paul-allen', 'imageExists': True, 'squareImage': 'http://specials-images.forbesimg.com/imageserve/57f4fbeb4bbe6f75c4fda22d/416x416.jpg?background=000000&cropX1=82&cropX2=675&cropY1=8&cropY2=601'}",True,Paul Allen,51.0,United States,Washington,Mercer Island,,['Technology'],United States,1337117311890,1337117369155,0.0,0.0,0.0,0.0,0,faris/5/2004/5729,5,True,900.0,4.477611940298502,False,U,M,-534711600000.0,225.0,Allen,Paul,The World's Billionaires,http://onforb.es/1IR6Yer,http://onforb.es/1zwswYd,http://onforb.es/1IR71XC,1078117200000,False,False,http://specials-images.forbesimg.com/imageserve/57f4fbeb4bbe6f75c4fda22d/280x425.jpg?fit=scale&background=000000,http://specials-images.forbesimg.com/imageserve/57f4fbeb4bbe6f75c4fda22d/416x416.jpg?background=000000&cropX1=82&cropX2=675&cropY1=8&cropY2=601,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Billionaires,2004,3,alice-walton,"Daughter of Sam Walton (d. 1992), who opened his first general store in Rogers, Ark. in 1962. Wal-Mart now world&#8217;s largest retailer: 4,000-plus stores around the globe. Family controls 38% of Wal-Mart, but prefers a passive role; Alice raises horses on Texas ranch. Family last year donated $750 million-plus, much to education, including $300 million to U. of Arkansas. But family largesse not enough to quell accusations that Wal-Mart wields too much clout. If Sam were alive today, he would be worth twice as much as Bill Gates.",6,billionaires,20000.0,,,"{'name': 'Alice Walton', 'uri': 'alice-walton', 'squareImage': '//specials-images.forbesimg.com/imageserve/5c7ef270a7ea434b351bca52/416x416.jpg?background=000000&cropX1=232&cropX2=998&cropY1=222&cropY2=988'}",True,Alice Walton,55.0,United States,Texas,Fort Worth,,['Retail'],United States,1309538193048,1309538215411,,,,,0,faris/5/2004/5722,6,,,,,,,,,,,,http://onforb.es/1IR6Yer,http://onforb.es/1zwsm32,http://onforb.es/1IR71XC,1078117200000,False,False,http://specials-images.forbesimg.com/imageserve/5c7ef270a7ea434b351bca52/280x425.jpg?fit=scale&background=000000,//specials-images.forbesimg.com/imageserve/5c7ef270a7ea434b351bca52/416x416.jpg?background=000000&cropX1=232&cropX2=998&cropY1=222&cropY2=988,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
6,Billionaires,2004,3,jim-walton,"Youngest son of Sam Walton (d. 1992), who opened his first general store in Rogers, Ark. in 1962. Wal-Mart now world&#8217;s largest retailer: 4,000-plus stores around the globe. Family controls 38% of Wal-Mart, but prefers a passive role. Jim: president of Arvest, state&#8217;s biggest bank. Family last year donated $750 million-plus, much to education, including $300 million to U. of Arkansas. But family largesse not enough to quell accusations that Wal-Mart wields too much clout. If Sam were alive today, he would be worth twice as much as Bill Gates.",6,billionaires,20000.0,,,"{'name': 'Jim Walton', 'uri': 'jim-walton', 'squareImage': '//specials-images.forbesimg.com/imageserve/5c7ef2fea7ea434b351bca5a/416x416.jpg?background=000000&cropX1=49&cropX2=934&cropY1=65&cropY2=951'}",True,Jim Walton,56.0,United States,Arkansas,Bentonville,,['Retail'],United States,1309538250752,1309538371604,,,,,0,faris/5/2004/5720,8,,,,,,,,,,,,http://onforb.es/1IR6Yer,http://onforb.es/1zwsnnU,http://onforb.es/1IR71XC,1078117200000,False,False,http://specials-images.forbesimg.com/imageserve/5c7ef2fea7ea434b351bca5a/280x425.jpg?fit=scale&background=000000,//specials-images.forbesimg.com/imageserve/5c7ef2fea7ea434b351bca5a/416x416.jpg?background=000000&cropX1=49&cropX2=934&cropY1=65&cropY2=951,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
7,Billionaires,2004,3,rob-walton,"Eldest son of Sam Walton (d. 1992), who opened his first general store in Rogers, Ark. in 1962. Wal-Mart now world&#8217;s largest retailer: 4,000-plus stores around the globe. Family controls 38% of Wal-Mart; Robson serves as chairman. Family last year donated $750 million-plus, much to education, including $300 million to U. of Arkansas. But family largesse not enough to quell accusations that Wal-Mart wields too much clout. If Sam were alive today, he would be worth twice as much as Bill Gates.",6,billionaires,20000.0,,,"{'name': 'S. Robson Walton', 'uri': 'rob-walton', 'imageExists': True, 'squareImage': '//specials-images.forbesimg.com/imageserve/59d50a9e4bbe6f37dd9ff712/416x416.jpg?background=000000&cropX1=244&cropX2=1841&cropY1=60&cropY2=1658'}",True,S. Robson Walton,60.0,United States,Arkansas,Bentonville,,['Retail'],United States,1309538600187,1309538634288,,,,,0,faris/5/2004/5716,10,True,,,,,,,,,,,http://onforb.es/1IR6Yer,http://onforb.es/1zwsorQ,http://onforb.es/1IR71XC,1078117200000,False,False,http://specials-images.forbesimg.com/imageserve/59d50a9e4bbe6f37dd9ff712/280x425.jpg?fit=scale&background=000000,//specials-images.forbesimg.com/imageserve/59d50a9e4bbe6f37dd9ff712/416x416.jpg?background=000000&cropX1=244&cropX2=1841&cropY1=60&cropY2=1658,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
8,Billionaires,2004,3,liliane-bettencourt,"France&#8217;s richest resident is some $4 billion richer this year, thanks mostly to the rising euro and the continued strength of her holdings in L&#39Or&#233;al and Nestl&#233;. Inherited a controlling stake in L&#8217;Or&#233;al in 1957 from her father, the company&#8217;s founder. As discreet as she is rich, Bettencourt shuns the press. Part of the reason may be an impressive number of skeletons in the family closet, most relating to the family&#8217;s intimate association with extreme-right political groups in Vichy France. Only daughter and heir apparent Fran&#231;oise Bettencourt Meyers sits on L&#8217;Or&#233;al&#8217;s board of directors.",11,billionaires,18800.0,,,"{'name': 'Liliane Bettencourt', 'uri': 'liliane-bettencourt', 'squareImage': '//specials-images.forbesimg.com/imageserve/58a1bdd131358e1a35ab3fc5/416x416.jpg?background=000000&cropX1=66&cropX2=713&cropY1=93&cropY2=741'}",True,Liliane Bettencourt,81.0,France,,Paris,,['Manufacturing'],France,1309539261347,1309539279854,,,,,0,faris/5/2004/4570,11,,,,,,,,,,,,http://onforb.es/1IR6Yer,http://onforb.es/1zwskbt,http://onforb.es/1IR71XC,1078117200000,False,False,http://specials-images.forbesimg.com/imageserve/58a1bdd131358e1a35ab3fc5/280x425.jpg?fit=scale&background=000000,//specials-images.forbesimg.com/imageserve/58a1bdd131358e1a35ab3fc5/416x416.jpg?background=000000&cropX1=66&cropX2=713&cropY1=93&cropY2=741,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
9,Billionaires,2004,3,larry-ellison,"Oracle CEO upping ante in prolonged bid to buy business-software rival PeopleSoft, headed by former Oracle executive Craig Conway. Chicago native took Oracle public 1986, one day before Microsoft. Still feuding with Gates: formed alliance with Sun Microsystems to run Oracle software on Sun's Linux machines. Ellison's fortune peaked at $58 billion in 2000; he finds no irony prophesying massive consolidation for computer industry.",12,billionaires,18700.0,,,"{'name': 'Lawrence Ellison', 'uri': 'larry-ellison', 'squareImage': '//specials-images.forbesimg.com/imageserve/5e8b62cfc095010007bffea0/416x416.jpg?background=000000&cropX1=0&cropX2=4529&cropY1=652&cropY2=5184'}",True,Lawrence Ellison,59.0,United States,California,Redwood Shores,,['Software'],United States,1309538154525,1309538200340,,,,,0,faris/5/2004/5574,12,,,,,,,,,,,,http://onforb.es/1IR6Yer,http://onforb.es/1zwskbB,http://onforb.es/1IR71XC,1078117200000,False,False,http://specials-images.forbesimg.com/imageserve/5e8b62cfc095010007bffea0/280x425.jpg?fit=scale&background=000000,//specials-images.forbesimg.com/imageserve/5e8b62cfc095010007bffea0/416x416.jpg?background=000000&cropX1=0&cropX2=4529&cropY1=652&cropY2=5184,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
