,name,year,month,uri,bio,rank,listUri,finalWorth,otherCompensation,countryRank,person,visible,personName,age,country,state,city,source,industries,countryOfCitizenship,timestamp,version,moneyRank,tvRadioRank,pressRank,webRank,socialRank,naturalId,position,imageExists,change,changePercent,selfMade,status,gender,birthDate,countryId,lastName,firstName,listDescription,shortUri,galleryShortUri,listShortUri,date,wealthList,familyList,thumbnail,squareImage,bioSuppress,factivaHits,webHits,tvRadio,recentEarnings,recentSales,recentBudget,gdp,budget,assets,totalCompensation,salary,bonus,stockOptions,population,audienceWeb,audiencePrint,audienceTv,employees,following,category,title,csfDisplayFields,suppressOnProfiles,previousRank,organization,employment,residenceStateRegion,residenceMsa,parentListUri,premiumProfile,selfMadeRank,portraitImage,landscapeImage,numberOfSiblings,numberOfSiblingsEst
0,Billionaires,2007,3,bill-gates,"After numerous delays, Microsoft visionary released latest operating system, Vista, in January. Last June announced his retirement from company he cofounded 31 years ago. The Harvard dropout who promised &#8220;a computer on every desk and in every home&#8221; now focusing time and talents on tackling diseases (hepatitis B, AIDS, malaria) in Africa, boosting America&#8217;s lackluster high school graduation rate and helping women abroad start small businesses. This summer bridge buddy Warren Buffett pledged majority of his Berkshire Hathaway stock to Bill &#38; Melinda Gates Foundation over the next 20 years, potentially doubling foundation&#8217;s endowment. Sells 20 million Microsoft shares a quarter, plows proceeds into personal investment vehicle Cascade. Today more than half of net worth invested outside Microsoft.",1,billionaires,56000.0,0.0,1.0,"{'name': 'Bill Gates', 'uri': 'bill-gates', 'imageExists': True, 'squareImage': 'https://specials-images.forbesimg.com/imageserve/62d599ede3ff49f348f9b9b4/416x416.jpg?background=000000&cropX1=155&cropX2=976&cropY1=340&cropY2=1161'}",True,Bill Gates,51.0,United States,Washington,Medina,,['Technology'],United States,1337117029781,1337117108114,0.0,0.0,0.0,0.0,0.0,faris/5/2007/5772,1,True,6000.0,12.000000000000014,False,U,M,-447451200000.0,225.0,Gates,William,The World's Billionaires,http://onforb.es/1IR6Yer,http://onforb.es/1zwslMH,http://onforb.es/1IR71XC,1172725200000,False,False,http://specials-images.forbesimg.com/imageserve/62d599ede3ff49f348f9b9b4/280x425.jpg?fit=scale&background=000000,https://specials-images.forbesimg.com/imageserve/62d599ede3ff49f348f9b9b4/416x416.jpg?background=000000&cropX1=155&cropX2=976&cropY1=340&cropY2=1161,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Billionaires,2007,3,warren-buffett,"Nation&#8217;s most beloved investor married longtime girlfriend Astrid Menks on his 76th birthday last August. Had long promised to give away his fortune posthumously. Then last June announced he had irrevocably earmarked the majority of his Berkshire Hathaway shares to charity. At the time the gift was worth $31 billion; believed to be the largest gift in history, it will go mostly to the Gates Foundation. Son of Nebraska politician delivered newspapers as a boy. Filed first tax return at age 13; claimed $35 deduction for bicycle. Studied under value-investing guru Benjamin Graham at Columbia, learned to hunt for undervalued stocks. Bought control of textile firm Berkshire Hathaway 1965; added insurance underwriting for the investable float. Today holding company has insurance (Geico, General Re), apparel (Fruit of the Loom), utilities (MidAmerican Energy), home furnishings (R.C. Willey). Also has noncontrolling stakes in Anheuser-Busch, Coca-Cola, Wells Fargo. Despite gifts, the Oracle of Omaha is $10 billion richer than last year: Berkshire stock up 22% in past 12 months.",2,billionaires,52000.0,,,"{'name': 'Warren Buffett', 'uri': 'warren-buffett', 'squareImage': '//specials-images.forbesimg.com/imageserve/5babb7f1a7ea4342a948b79a/416x416.jpg?background=000000&cropX1=748&cropX2=3075&cropY1=1753&cropY2=4082'}",True,Warren Buffett,76.0,United States,Nebraska,Omaha,,['Investments'],United States,1309538148051,1309538201893,,,,,0.0,faris/5/2007/5381,2,,,,,,,,,,,,http://onforb.es/1IR6Yer,http://onforb.es/1zwsorO,http://onforb.es/1IR71XC,1172725200000,False,False,http://specials-images.forbesimg.com/imageserve/5babb7f1a7ea4342a948b79a/280x425.jpg?fit=scale&background=000000,//specials-images.forbesimg.com/imageserve/5babb7f1a7ea4342a948b79a/416x416.jpg?background=000000&cropX1=748&cropX2=3075&cropY1=1753&cropY2=4082,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
2,Billionaires,2007,3,carlos-slim-helu,"The world&#8217;s third-richest man is $19 billion richer this year and catching up with Americans Bill Gates and Warren Buffett thanks to a strong Mexican equities market and the performance of his wireless telephone company, America Movil. The son of a Lebanese immigrant, Slim made his first fortune in 1990 when he bought fixed line operator Tel&#233;fonos de M&#233;xico (Telmex) in a privatization. Last year he spent $3.7 billion to buy the Latin American operations of Verizon Communications, expanding his empire into Puerto Rico and the Dominican Republic. A widower and father of 6, Slim is a baseball fan and art collector. He keeps his art collection in Mexico City&#39s Museo Soumaya, which he named after his late wife. In recent years he has donated close to $4 billion to education and health projects, and to the revitalization of downtown Mexico City&#8217;s historical district.",3,billionaires,49000.0,,,"{'name': 'Carlos Slim Helu & family', 'uri': 'carlos-slim-helu', 'squareImage': '//specials-images.forbesimg.com/imageserve/5c76ba144bbe6f24ad99c613/416x416.jpg?background=000000&cropX1=0&cropX2=3005&cropY1=389&cropY2=3395'}",True,Carlos Slim Helu & family,67.0,Mexico,,Mexico City,,,Mexico,1309538140094,1309538162748,,,,,0.0,faris/5/2007/4466,3,,,,,,,,,,,,http://onforb.es/1IR6Yer,http://onforb.es/1zwsjo9,http://onforb.es/1IR71XC,1172725200000,False,False,http://specials-images.forbesimg.com/imageserve/5c76ba144bbe6f24ad99c613/280x425.jpg?fit=scale&background=000000,//specials-images.forbesimg.com/imageserve/5c76ba144bbe6f24ad99c613/416x416.jpg?background=000000&cropX1=0&cropX2=3005&cropY1=389&cropY2=3395,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
3,Billionaires,2007,3,ingvar-kamprad,"Peddled matches, fish, pens, Christmas cards and other items by bicycle as a teenager. Started selling furniture in 1947. Now his company Ikea, which sells hip designs for the cost conscious, is one of the most beloved retailers in the world, with an almost cultlike following. Ikea, which has stores in 34 countries, continues to expand into new markets such as Chengdu, China and opened its first store in Japan last April. As egalitarian as his brand, Kamprad avoids wearing suits, flies economy class and frequents cheap restaurants. Has been quoted as saying that his luxuries are the occasional nice cravat and Swedish fish roe. Says his home is furnished mostly with his own Ikea products.",4,billionaires,33000.0,,,"{'name': 'Ingvar Kamprad & family', 'uri': 'ingvar-kamprad'}",True,Ingvar Kamprad & family,80.0,Switzerland,,Lausanne,,['Retail'],Sweden,1309540613250,1309540656280,,,,,0.0,faris/5/2007/4516,4,,,,,,,,,,,,http://onforb.es/1IR6Yer,http://onforb.es/1BOU2I2,http://onforb.es/1IR71XC,1172725200000,False,False,,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
4,Billionaires,2007,3,lakshmi-mittal,"Steel titan known for his dealmaking won six-month battle for rival Arcelor. The $34 billion merger created an industry behemoth that now accounts for 10% of world&#39s production, putting it well ahead of Japan&#8217;s Nippon Steel. Mittal owns 44% of combined $80 billion (sales) Arcelor-Mittal and is its chief executive. Mittal began his career working in the family&#39s steelmaking business in India. Today Arcelor-Mittal operations span more than 60 countries and employ 330,000. Not content to dominate the steel industry, Mittal is branching out. Among his latest deals: spent $980 million for a 50% stake in Kazakh oil firm Caspian Investment Resources, a subsidiary of Russia&#39s Lukoil. This Londoner is the UK&#39s richest resident.",5,billionaires,32000.0,,,"{'name': 'Lakshmi Mittal', 'uri': 'lakshmi-mittal', 'squareImage': 'https://specials-images.forbesimg.com/imageserve/6345b68ac253491e1cb3f62c/416x416.jpg?background=000000&cropX1=492&cropX2=1966&cropY1=36&cropY2=1509'}",True,Lakshmi Mittal,56.0,United Kingdom,,London,,['Manufacturing'],India,1309538175056,1309538202989,,,,,0.0,faris/5/2007/4861,5,,,,,,,,,,,,http://onforb.es/1IR6Yer,http://onforb.es/1zwsxeJ,http://onforb.es/1IR71XC,1172725200000,False,False,http://specials-images.forbesimg.com/imageserve/6345b68ac253491e1cb3f62c/280x425.jpg?fit=scale&background=000000,https://specials-images.forbesimg.com/imageserve/6345b68ac253491e1cb3f62c/416x416.jpg?background=000000&cropX1=492&cropX2=1966&cropY1=36&cropY2=1509,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
5,Billionaires,2007,3,sheldon-adelson,"Son of a Boston cabdriver borrowed $200 from his uncle to sell newspapers at age 12. Made first fortune in trade shows. Created computer industry&#8217;s premier show, Comdex, mid-1980s; ran 70% profit margin renting space for 15 cents a square foot and leasing it to exhibitors for up to $40 a square foot. Sold show to Japan&#8217;s Softbank for $862 million in 1995. Then Las Vegas: bought old Sands casino for $128 million, demolished it to build the $1.5 billion all-suites Venetian casino resort and the 1.2-million-square foot Sands Convention Center. Changed the way Vegas does business by enticing conventioneers to Sin City midweek, taking emphasis off gambling. Sold suites for $250 a night, added high-end retailers, celebrity-chef restaurants. Old guard mocked him: &#8220;I loved being the outsider. I didn&#8217;t care what those guys said.&#8221; Took Las Vegas Sands public December 2004. Building $1.8 billion Palazzo resort adjacent to arch-rival Steve Wynn&#39s (see) Wynn Las Vegas. Big bet on Asia: opened $265 million Sands Macau casino May 2004, recouped entire investment in one year. Ramping up construction on Cotai Strip: $6 billion project will place 7 hotel-casinos on Macau&#8217;s 2 islands, Taipa and Coloane. Cornerstone of project will be $1.8 billion Venetian Macau. Last May won coveted Singapore gaming license. Plans to build $3.5 billion Marina Bay Sands on 51-acre site with a view of the city&#8217;s skyline.",6,billionaires,26500.0,,,"{'name': 'Sheldon Adelson', 'uri': 'sheldon-adelson', 'squareImage': '//specials-images.forbesimg.com/imageserve/5d8bd5c218444200084e8854/416x416.jpg?background=000000&cropX1=692&cropX2=4407&cropY1=0&cropY2=3712'}",True,Sheldon Adelson,73.0,United States,Nevada,Las Vegas,,,United States,1309538444281,1309538602199,,,,,0.0,faris/5/2007/5050,6,,,,,,,,,,,,http://onforb.es/1IR6Yer,http://onforb.es/1zwsoYJ,http://onforb.es/1IR71XC,1172725200000,False,False,http://specials-images.forbesimg.com/imageserve/5d8bd5c218444200084e8854/280x425.jpg?fit=scale&background=000000,//specials-images.forbesimg.com/imageserve/5d8bd5c218444200084e8854/416x416.jpg?background=000000&cropX1=692&cropX2=4407&cropY1=0&cropY2=3712,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
6,Billionaires,2007,3,bernard-arnault,"Put up $15 million from his family&#39s midsize construction firm to buy Christian Dior in 1985. Since then has built the world&#39s largest luxury goods empire, LVMH Moet Hennessy Louis Vuitton, whose brands also include Dom P&#233;rignon, Fendi and Tag Heuer Still heads the company, which is expanding rapidly in China, Russia and India. LVMH recently hired Frank Gehry to design a $127 million private museum in Paris. Son Antoine, 27, joined sister Delphine, 31, on LVMH&#39s board last year. Arnault also set up an investment fund with his good friend Albert Frere (see) in 2006; pair own two wineries together. In December opened his four-star hotel Le Cheval Blanc in ski resort Courcheval, France, where he often spends New Year&#39s Eve. Said to be a skilled pianist.",7,billionaires,26000.0,,,"{'name': 'Bernard Arnault', 'uri': 'bernard-arnault', 'squareImage': '//specials-images.forbesimg.com/imageserve/5dc05518ca425400079c659f/416x416.jpg?background=000000&cropX1=0&cropX2=4000&cropY1=1209&cropY2=5212'}",True,Bernard Arnault,58.0,France,,Paris,,,France,1309538229025,1309538263760,,,,,0.0,faris/5/2007/4800,7,,,,,,,,,,,,http://onforb.es/1IR6Yer,http://onforb.es/1zwslMx,http://onforb.es/1IR71XC,1172725200000,False,False,http://specials-images.forbesimg.com/imageserve/5dc05518ca425400079c659f/280x425.jpg?fit=scale&background=000000,//specials-images.forbesimg.com/imageserve/5dc05518ca425400079c659f/416x416.jpg?background=000000&cropX1=0&cropX2=4000&cropY1=1209&cropY2=5212,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
7,Billionaires,2007,3,amancio-ortega,"Son of a railway worker. Ranks among world&#39s 20 richest for first time. With help from then-wife Rosal&#237;a Mera (see), got start making gowns and lingerie in his living room 44 years ago. Business became one of world&#39s most successful apparel manufacturers, $8.7 billion (2005 sales) Inditex. Group also owns 3,000 Zara retail stores in 64 countries. Ortega is chairman. Through his investment vehicles has invested in gas, tourism, banks and real estate; has properties in Madrid, Paris, London, Lisbon, plus luxury hotel and apartment complex in Miami. Reportedly owns a horse-jumping circuit and part of a soccer league. Shuns neckties.",8,billionaires,24000.0,,,"{'name': 'Amancio Ortega', 'uri': 'amancio-ortega', 'squareImage': '//specials-images.forbesimg.com/imageserve/5c76b94131358e35dd27748e/416x416.jpg?background=000000&cropX1=179&cropX2=2232&cropY1=216&cropY2=2269'}",True,Amancio Ortega,71.0,Spain,,La Coruna,,['Apparel'],Spain,1309543002488,1309543020441,,,,,0.0,faris/5/2007/7034,8,,,,,,,,,,,,http://onforb.es/1IR6Yer,http://onforb.es/1zwskbq,http://onforb.es/1IR71XC,1172725200000,False,False,http://specials-images.forbesimg.com/imageserve/5c76b94131358e35dd27748e/280x425.jpg?fit=scale&background=000000,//specials-images.forbesimg.com/imageserve/5c76b94131358e35dd27748e/416x416.jpg?background=000000&cropX1=179&cropX2=2232&cropY1=216&cropY2=2269,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
8,Billionaires,2007,3,li-ka-shing,"Asia&#39s richest resident. His fortune is centered on conglomerates Cheung Kong and Hutchison Whampoa. Through them Li is the world&#39s largest operator of container terminals, a major supplier of electricity to Hong Kong, a cell phone provider, retailer and real estate developer. Also has a nearly $10 billion stake in Canadian oil company Husky Energy. Recently announced plans to donate one-third of wealth over time, calling it &#8220;his third son.&#8221; Eldest son, Victor, helps run massive empire; son Richard (see) struck out on his own in early 1990s. Once a poor immigrant, Li got his start selling plastic flowers in Hong Kong in the 1950s.",9,billionaires,23000.0,,,"{'name': 'Ka-shing Li', 'uri': 'li-ka-shing', 'squareImage': 'https://specials-images.forbesimg.com/imageserve/60351d9a688e1407617b2595/416x416.jpg?background=000000&cropX1=1341&cropX2=2035&cropY1=411&cropY2=1105'}",True,Ka-shing Li,78.0,Hong Kong,,Hong Kong,,,Hong Kong,1309538374345,1309538479812,,,,,0.0,faris/5/2007/4812,9,,,,,,,,,,,,http://onforb.es/1IR6Yer,http://onforb.es/1zwsqzV,http://onforb.es/1IR71XC,1172725200000,False,False,http://specials-images.forbesimg.com/imageserve/60351d9a688e1407617b2595/280x425.jpg?fit=scale&background=000000,https://specials-images.forbesimg.com/imageserve/60351d9a688e1407617b2595/416x416.jpg?background=000000&cropX1=1341&cropX2=2035&cropY1=411&cropY2=1105,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
9,Billionaires,2007,3,david-thomson,"Took control of family fortune after his father, Kenneth Thomson, died last June. Had already succeeded his father as chairman of Thomson Corp., media conglomerate in which the family has a 70% stake, in 2002. Grandfather Roy founded the business in 1934. Company traded away traditional printed titles in order to move into software and electronic media for professionals, like Westlaw, a legal research tool. With his brother Peter also serves as cochair of family&#8217;s investment concern, Woodbridge. Well known art collectors, the family bought $5 million worth of native North American art at auction last year, including a $1.8 million face mask, the highest amount ever spent on a single piece of native North American art. David said the family bought the collection in honor of his late father.",10,billionaires,22000.0,,,"{'name': 'David Thomson & family', 'uri': 'david-thomson', 'squareImage': 'https://specials-images.forbesimg.com/imageserve/5a7ba72aa7ea43169012f1b4/416x416.jpg?background=000000&cropX1=1065&cropX2=3315&cropY1=60&cropY2=2310'}",True,David Thomson & family,49.0,Canada,,Toronto,,['Media'],Canada,1309539538278,1309539557572,,,,,0.0,faris/5/2007/8292,10,,,,,,,,,,,,http://onforb.es/1IR6Yer,http://onforb.es/1zwsks5,http://onforb.es/1IR71XC,1172725200000,False,False,http://specials-images.forbesimg.com/imageserve/5a7ba72aa7ea43169012f1b4/280x425.jpg?fit=scale&background=000000,https://specials-images.forbesimg.com/imageserve/5a7ba72aa7ea43169012f1b4/416x416.jpg?background=000000&cropX1=1065&cropX2=3315&cropY1=60&cropY2=2310,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
