,name,year,month,uri,bio,rank,listUri,finalWorth,otherCompensation,countryRank,person,visible,personName,age,country,city,source,industries,countryOfCitizenship,timestamp,version,moneyRank,tvRadioRank,pressRank,webRank,socialRank,naturalId,position,imageExists,change,changePercent,selfMade,status,gender,birthDate,countryId,lastName,firstName,listDescription,shortUri,galleryShortUri,listShortUri,date,wealthList,familyList,thumbnail,squareImage,bioSuppress,category,state,organization,title,employment,numberOfSiblings,numberOfSiblingsEst,csfDisplayFields,suppressOnProfiles,premiumProfile,embargo,previousRank,portraitImage,landscapeImage,residenceStateRegion,residenceMsa,investments
0,Billionaires,2011,3,carlos-slim-helu,"The world's richest person for a second year in a row, the Mexican telecom mogul is also the year's biggest gainer, having added $20.5 billion to his fortune and widened the gap between him and no. 2, Microsoft co-founder Bill Gates, to $18 billion. A 19% rise in the Mexican stock market, a stronger peso, and successful mining and real estate spinoffs from conglomerate Grupo Carso all contributed to the astonishing increase. He also merged his fixed-line telecom company into America Movil, Latin America's largest wireless carrier; the Slim family stake in that holding accounts for 62% of his net worth. He has other holdings in retailer Saks and the New York Times. Recently opened a new building for his Soumaya Museum, which houses his vast art collection. It is open to the public for free.",1,billionaires,74000.0,0,1.0,"{'name': 'Carlos Slim Helu & family', 'uri': 'carlos-slim-helu', 'imageExists': True, 'squareImage': '//specials-images.forbesimg.com/imageserve/5c76ba144bbe6f24ad99c613/416x416.jpg?background=000000&cropX1=0&cropX2=3005&cropY1=389&cropY2=3395'}",True,Carlos Slim Helu & family,71.0,Mexico,Mexico City,telecom,['Telecom'],Mexico,1320248181890,1320248183996,0.0,0.0,0.0,0.0,0.0,faris/5/2011/4466,1,True,20500.0,38.3177570093458,True,U,M,-944420400000.0,224.0,Slim Helu,Carlos,The World's Billionaires,http://onforb.es/1IR6Yer,http://onforb.es/1zwsjo9,http://onforb.es/1IR71XC,1298955600000,False,False,http://specials-images.forbesimg.com/imageserve/5c76ba144bbe6f24ad99c613/280x425.jpg?fit=scale&background=000000,//specials-images.forbesimg.com/imageserve/5c76ba144bbe6f24ad99c613/416x416.jpg?background=000000&cropX1=0&cropX2=3005&cropY1=389&cropY2=3395,False,,,,,,,,,,,,,,,,,
1,Billionaires,2011,3,bill-gates,"Microsoft mogul, futurist and America's richest person has, with help from billionaire buddy Warren Buffett, convinced nearly 60 of the world's wealthiest to sign his ""Giving Pledge,"" promising to donate the majority of their wealth to charity either during their lifetime or after death. He is no longer the planet's richest person, but that's because he's given away $30 billion to his foundation. The Gates Foundation, the world's most influential charity, tackles tuberculosis and polio and funds famine-resistant crops to fight hunger. He is calling for ""a higher sense of urgency"" in AIDS vaccine development and also pushing for better tools to rate teacher performance. Gates holds 70% of his wealth in investment fund Cascade, dabbling in everything from autos to hedge funds to Mexican Coke bottler Femsa; the rest of his wealth is held in Microsoft stock.",2,billionaires,56000.0,0,1.0,"{'name': 'Bill Gates', 'uri': 'bill-gates', 'imageExists': True, 'squareImage': 'https://specials-images.forbesimg.com/imageserve/62d599ede3ff49f348f9b9b4/416x416.jpg?background=000000&cropX1=155&cropX2=976&cropY1=340&cropY2=1161'}",True,Bill Gates,55.0,United States,Medina,Microsoft,['Technology                    '],United States,1347995472671,1347995546812,0.0,0.0,0.0,0.0,0.0,faris/5/2011/5772,2,True,3000.0,5.660377358490564,True,U,M,-447451200000.0,225.0,Gates,Bill,The World's Billionaires,http://onforb.es/1IR6Yer,http://onforb.es/1zwslMH,http://onforb.es/1IR71XC,1298955600000,False,False,http://specials-images.forbesimg.com/imageserve/62d599ede3ff49f348f9b9b4/280x425.jpg?fit=scale&background=000000,https://specials-images.forbesimg.com/imageserve/62d599ede3ff49f348f9b9b4/416x416.jpg?background=000000&cropX1=155&cropX2=976&cropY1=340&cropY2=1161,False,Technology,Washington,Bill & Melinda Gates Foundation,Co-Chair,"{'name': 'Bill &#38; Melinda Gates Foundation', 'title': 'Co-Chair', 'totalEarningEst': False, 'salaryEst': False, 'government': False}",,,,,,,,,,,,
2,Billionaires,2011,3,warren-buffett,"The venerable investor's Berkshire Hathaway climbed more than 15% over the last year adding $3 billion to his to fortune. The 80-year-old is still hunting big deals: ""Our elephant gun has been reloaded, and my trigger finger is itchy."" Along with bridge partner Bill Gates, the Oracle of Omaha is coaxing America's richest to pledge half their fortunes to charity. ""Too often a vast collection of possessions ends up possessing its owner. The asset I most value, aside from health, is interesting, diverse and long-standing friends."" Buffett faked breathing problems when he was 12 so he could move back to Omaha from Washington, D.C., where his father was a freshman congressman. He had read every book about investing in stocks in the Omaha Public Library by the time he was 12. He met value investor Benjamin Graham at Columbia; bought textile firm Berkshire Hathaway 1965, and transformed it into massive holding company: food, insurance, utilities, industrials. Buffett acquired railroad giant Burlington Northern Santa Fe for $26 billion in 2009.",3,billionaires,50000.0,0,2.0,"{'name': 'Warren Buffett', 'uri': 'warren-buffett', 'imageExists': True, 'squareImage': '//specials-images.forbesimg.com/imageserve/5babb7f1a7ea4342a948b79a/416x416.jpg?background=000000&cropX1=748&cropX2=3075&cropY1=1753&cropY2=4082'}",True,Warren Buffett,80.0,United States,Omaha,Berkshire Hathaway,['Investments                   '],United States,1347995793281,1347995863470,0.0,0.0,0.0,0.0,0.0,faris/5/2011/5381,3,True,3000.0,6.38297872340425,True,U,M,-1241467200000.0,225.0,Buffett,Warren,The World's Billionaires,http://onforb.es/1IR6Yer,http://onforb.es/1zwsorO,http://onforb.es/1IR71XC,1298955600000,False,False,http://specials-images.forbesimg.com/imageserve/5babb7f1a7ea4342a948b79a/280x425.jpg?fit=scale&background=000000,//specials-images.forbesimg.com/imageserve/5babb7f1a7ea4342a948b79a/416x416.jpg?background=000000&cropX1=748&cropX2=3075&cropY1=1753&cropY2=4082,False,Investments,Nebraska,Berkshire Hathaway,Chairman,"{'name': 'Berkshire Hathaway', 'uri': 'companies/berkshire-hathaway', 'title': 'Chairman', 'totalEarningEst': False, 'salaryEst': False, 'government': False}",,,,,,,,,,,,
3,Billionaires,2011,3,bernard-arnault,"The Lord of Luxe easily retains title of richest European. Fortune surged by $13.5 billion as shares of his luxury good outfit, LVMH, rose by more than half over the past year thanks to strong demand for luxuries like Dom Perignon champagne, Cognac Hennessy, Tag Heuer watches and Louis Vuitton accessories, particularly in Asian markets like Shanghai and Ho Chi Minh City. The group acquired 20% of Hermes last year; Arnault insists he is a friendly shareholder but Hermes sees it as hostile. In March the Bulgari family transferred its majority holding in its brand to LVMH in exchange for LVMH shares and board seats. LVMH fired Christian Dior designer John Galliano after he apparently made anti-semitic remarks. Renaissance man also owns yacht builder Royal Van Lent, a hotel in Courchevel; has stakes in French retailer Carrefour and French tour operator Go Voyages.",4,billionaires,41000.0,0,1.0,"{'name': 'Bernard Arnault', 'uri': 'bernard-arnault', 'imageExists': True, 'squareImage': '//specials-images.forbesimg.com/imageserve/5dc05518ca425400079c659f/416x416.jpg?background=000000&cropX1=0&cropX2=4000&cropY1=1209&cropY2=5212'}",True,Bernard Arnault,62.0,France,Paris,LVMH,['Fashion and Retail'],France,1320248263718,1320248255348,0.0,0.0,0.0,0.0,0.0,faris/5/2011/4800,4,True,13500.0,49.09090909090909,False,U,M,-657226800000.0,123.0,Arnault,Bernard,The World's Billionaires,http://onforb.es/1IR6Yer,http://onforb.es/1zwslMx,http://onforb.es/1IR71XC,1298955600000,False,False,http://specials-images.forbesimg.com/imageserve/5dc05518ca425400079c659f/280x425.jpg?fit=scale&background=000000,//specials-images.forbesimg.com/imageserve/5dc05518ca425400079c659f/416x416.jpg?background=000000&cropX1=0&cropX2=4000&cropY1=1209&cropY2=5212,False,,,,,,,,,,,,,,,,,
4,Billionaires,2011,3,larry-ellison,"The Oracle chief sits atop a fortune that is $11.5 billion bigger than last year thanks to a 30% jump in the software company's shares. In November, Oracle won a mud-slinging copyright infringement court battle against German software rival SAP worth $1.3 billion. SAP is contesting the outcome. Oracle has acquired 75 companies over the years worth $40 billion, and figured out a way to turn a profit on its latest big buy, Sun Microsystems, in 2010. One of the highest-paid executives in the U.S., Ellison reaped $960 million in compensation in the past five fiscal years, mostly from exercising stock options; he recently cut his salary to $1. An avid yachtsman, Ellison spent a decade and over $100 million on his quest for the America's Cup, which he finally won in February 2010, beating Swiss rival (and billionaire) Ernesto Bertarelli. He is bringing the America's Cup to San Francisco in 2013. Intends to give 95% of wealth to charity.",5,billionaires,39500.0,0,3.0,"{'name': 'Larry Ellison', 'uri': 'larry-ellison', 'imageExists': True, 'squareImage': '//specials-images.forbesimg.com/imageserve/5e8b62cfc095010007bffea0/416x416.jpg?background=000000&cropX1=0&cropX2=4529&cropY1=652&cropY2=5184'}",True,Larry Ellison,66.0,United States,Woodside,Oracle,['Technology'],United States,1358269228593,1358269228310,0.0,0.0,0.0,0.0,0.0,faris/5/2011/5574,5,True,11500.0,41.071428571428584,True,U,M,-800740800000.0,225.0,Ellison,Larry,The World's Billionaires,http://onforb.es/1IR6Yer,http://onforb.es/1zwskbB,http://onforb.es/1IR71XC,1298955600000,False,False,http://specials-images.forbesimg.com/imageserve/5e8b62cfc095010007bffea0/280x425.jpg?fit=scale&background=000000,//specials-images.forbesimg.com/imageserve/5e8b62cfc095010007bffea0/416x416.jpg?background=000000&cropX1=0&cropX2=4529&cropY1=652&cropY2=5184,False,Technology,California,Oracle,CEO,"{'name': 'Oracle', 'uri': 'companies/oracle', 'title': 'CEO', 'totalEarningEst': False, 'salaryEst': False, 'government': False}",,,,,,,,,,,,
5,Billionaires,2011,3,lakshmi-mittal,"Net profits at his ArcelorMittal, world's largest steel-maker, are up 18-fold to $2.9 billion in 2010 due to recovery in steel demand and higher margins. Group spun off its stainless steel unit into Aperam, a new listed company, and also acquired Canadian miner Baffinland Iron Mines Corporation. It has funded a 377-foot sculpture called ArcelorMittal Orbit in London's Olympic Park for the 2012 Olympics. Europe's richest resident, he bought Alderbrook Park, a 340-acre country estate outside London, where he plans to build an eco-friendly country mansion for a reported $40 million. Daughter Vanisha acquired stake in Roc Capital Management, a New York hedge fund.  Daughter-in-law Megha owns German fashion house Escada.",6,billionaires,31100.0,0,1.0,"{'name': 'Lakshmi Mittal', 'uri': 'lakshmi-mittal', 'imageExists': True, 'squareImage': 'https://specials-images.forbesimg.com/imageserve/6345b68ac253491e1cb3f62c/416x416.jpg?background=000000&cropX1=492&cropX2=1966&cropY1=36&cropY2=1509'}",True,Lakshmi Mittal,60.0,United Kingdom,London,steel,['Metals & Mining'],India,1320248221500,1320248218495,0.0,0.0,0.0,0.0,0.0,faris/5/2011/4861,8,True,2400.0,8.36236933797909,False,U,M,-616881600000.0,66.0,Mittal,Lakshmi,The World's Billionaires,http://onforb.es/1IR6Yer,http://onforb.es/1zwsxeJ,http://onforb.es/1IR71XC,1298955600000,False,False,http://specials-images.forbesimg.com/imageserve/6345b68ac253491e1cb3f62c/280x425.jpg?fit=scale&background=000000,https://specials-images.forbesimg.com/imageserve/6345b68ac253491e1cb3f62c/416x416.jpg?background=000000&cropX1=492&cropX2=1966&cropY1=36&cropY2=1509,False,,,,,,,,,,,,,,,,,
6,Billionaires,2011,3,christy-walton,"The widow of John Walton inherited her wealth after the former Green Beret and Vietnam war medic died in an airplane accident near his home in Wyoming 2005. Now world's richest woman, she got an extra bump in her fortune because of her late husband's early investment in First Solar; shares up nearly 500% since 2006 initial public offering. But bulk still comes from her holdings in Wal-Mart, the retailer founded by her father-in-law Sam Walton and his brother James in 1962. Today Wal-Mart has sales of $405 billion, and employs more than 2.1 million people. The philanthropist supports museums, education and organic gardening.",10,billionaires,26500.0,0,4.0,"{'name': 'Christy Walton & family', 'uri': 'christy-walton', 'imageExists': True, 'squareImage': '//specials-images.forbesimg.com/imageserve/f12075ee278b0ce676c90b51cc5e60d6/416x416.jpg?background=000000&cropX1=13&cropX2=744&cropY1=29&cropY2=761'}",True,Christy Walton & family,56.0,United States,Jackson,Walmart,['Fashion and Retail'],United States,1358269290171,1358269284573,0.0,0.0,0.0,0.0,0.0,faris/5/2011/7747,10,True,4000.0,17.777777777777786,False,U,F,-473367600000.0,225.0,Walton,Christy,The World's Billionaires,http://onforb.es/1IR6Yer,http://onforb.es/1zwskbA,http://onforb.es/1IR71XC,1298955600000,False,False,http://specials-images.forbesimg.com/imageserve/f12075ee278b0ce676c90b51cc5e60d6/280x425.jpg?fit=scale&background=000000,//specials-images.forbesimg.com/imageserve/f12075ee278b0ce676c90b51cc5e60d6/416x416.jpg?background=000000&cropX1=13&cropX2=744&cropY1=29&cropY2=761,False,Fashion and Retail,Wyoming,Children's Scholarship Fund,Co-Chair,"{'name': ""Children's Scholarship Fund"", 'title': 'Co-Chair', 'totalEarningEst': False, 'salaryEst': False, 'government': False}",,,,,,,,,,,,
7,Billionaires,2011,3,amancio-ortega,"Amancio Ortega stepped down as chairman of Inditex, the $15.8 billion (sales) fashion firm in January; he still gets 87% of his fortune from his stake in the publicly traded firm. The company, which operates under several brand names including Zara, Massimo Dutti and Stradivarius, has 5,000 stores in 77 countries. Ortega also owns properties in Florida, Madrid, London and Lisbon, a horse-jumping circuit, a stake in a soccer league; and has interests in gas, tourism and banks. Railway worker's son, he started as a gofer in a shirt store. With then-wife Rosalia Mera, also a billionaire, started making dressing gowns and lingerie in living room. Daughter Marta works for Inditex.",7,billionaires,31000.0,0,1.0,"{'name': 'Amancio Ortega', 'uri': 'amancio-ortega', 'imageExists': True, 'squareImage': '//specials-images.forbesimg.com/imageserve/5c76b94131358e35dd27748e/416x416.jpg?background=000000&cropX1=179&cropX2=2232&cropY1=216&cropY2=2269'}",True,Amancio Ortega,75.0,Spain,La Coruna,Zara,['Fashion and Retail'],Spain,1320239903281,1320239890901,0.0,0.0,0.0,0.0,0.0,faris/5/2011/7034,10,True,6000.0,24.0,True,U,M,-1065466800000.0,200.0,Ortega,Amancio,The World's Billionaires,http://onforb.es/1IR6Yer,http://onforb.es/1zwskbq,http://onforb.es/1IR71XC,1298955600000,False,False,http://specials-images.forbesimg.com/imageserve/5c76b94131358e35dd27748e/280x425.jpg?fit=scale&background=000000,//specials-images.forbesimg.com/imageserve/5c76b94131358e35dd27748e/416x416.jpg?background=000000&cropX1=179&cropX2=2232&cropY1=216&cropY2=2269,False,,,,,,,,,,,,,,,,,
8,Billionaires,2011,3,eike-batista,"Brazil's richest man is gearing up to take over the world. Making a play for foreign investors, Batista announced this year the opening of an office in New York and his intention to list some of his companies on the London Stock Exchange. Through his holding company, EBX, Batista controls businesses spanning mining, shipbuilding, energy, logistics, tourism and entertainment. After months of discussions, he was triumphant in February in taking control of Canadian gold outfit Ventana. Two-thirds of his fortune comes from OGX, the oil-and-gas exploration company he founded in 2007 and took public a year later. He says the company will start producing oil this year. In rare recent setback, his planned IPO for his shipbuilding business (OSX), meant to be the world's largest IPO in 2010, was a disappointment and has had a lukewarm reception in the Brazilian market. The son of Brazil's revered former mining minister who presided over mining giant Companhia Vale do Rio Doce got his start in gold trading and mining. Onetime champion offshore powerboat racer; formerly married to Playboy cover girl. In media interviews he's been warning Carlos Helú Slim that he'll soon take his spot as the world's richest man, but he still has a ways to go.",8,billionaires,30000.0,0,1.0,"{'name': 'Eike Batista', 'uri': 'eike-batista', 'imageExists': True}",True,Eike Batista,54.0,Brazil,Rio de Janeiro,"mining, oil",['Energy'],Brazil,1320239882937,1320239876434,0.0,0.0,0.0,0.0,0.0,faris/5/2011/8850,11,True,3000.0,11.111111111111114,True,U,M,-415306800000.0,140.0,Batista,Eike,The World's Billionaires,http://onforb.es/1IR6Yer,http://onforb.es/xzNwsa,http://onforb.es/1IR71XC,1298955600000,False,False,,,False,,,,,,,,,,,,,,,,,
9,Billionaires,2011,3,li-ka-shing,"Greater China's richest person continues to expand his reach.  In his biggest foreign acquisition yet, one of his firms led $9 billion deal for assets that provide power to parts of the U.K. including London. World's leading operator of ports handling 14% of global container throughput, his Hutchison Whampoa bought several port and property assets from state-owned China Resources in early January. It is now preparing to list its deep-water port holdings in Hong Kong and China in Singapore, in what may be the nation's biggest public offering ever.  He is also apparently planning to list real estate assets this year in what could be the first yuan-denominated public offering in Hong Kong. Evidently bullish, he has been buying up more shares lately in his main holdings, Cheung Kong, Hutchison Whampoa and Canadian oil firm Husky Energy. Calls philanthropy his ""third son""; has granted $1.56 billion, mostly to education, health care.",11,billionaires,26000.0,0,1.0,"{'name': 'Li Ka-shing', 'uri': 'li-ka-shing', 'imageExists': True, 'squareImage': 'https://specials-images.forbesimg.com/imageserve/60351d9a688e1407617b2595/416x416.jpg?background=000000&cropX1=1341&cropX2=2035&cropY1=411&cropY2=1105'}",True,Li Ka-shing,82.0,Hong Kong,Hong Kong,diversified,['Diversified'],Hong Kong,1360785596968,1360785638355,0.0,0.0,0.0,0.0,0.0,faris/5/2011/4812,11,True,5000.0,23.80952380952381,True,U,M,-1311278400000.0,227.0,Li,Ka-shing,The World's Billionaires,http://onforb.es/1IR6Yer,http://onforb.es/1zwsqzV,http://onforb.es/1IR71XC,1298955600000,False,False,http://specials-images.forbesimg.com/imageserve/60351d9a688e1407617b2595/280x425.jpg?fit=scale&background=000000,https://specials-images.forbesimg.com/imageserve/60351d9a688e1407617b2595/416x416.jpg?background=000000&cropX1=1341&cropX2=2035&cropY1=411&cropY2=1105,False,Diversified,,Hutchison Whampoa,Chairman,"{'name': 'Hutchison Whampoa', 'uri': 'companies/hutchison-whampoa', 'title': 'Chairman', 'totalEarningEst': False, 'salaryEst': False, 'government': False, 'revenue': 30090.0, 'revenueYear': 2011}",,,,,,,,,,,,
