,name,year,month,uri,bio,rank,listUri,finalWorth,category,otherCompensation,countryRank,person,visible,personName,age,country,state,city,source,industries,countryOfCitizenship,organization,timestamp,version,moneyRank,tvRadioRank,pressRank,webRank,socialRank,naturalId,position,imageExists,change,changePercent,selfMade,status,gender,birthDate,countryId,lastName,firstName,listDescription,title,employment,shortUri,galleryShortUri,listShortUri,date,wealthList,familyList,thumbnail,squareImage,bioSuppress,previousRank,csfDisplayFields,suppressOnProfiles,numberOfSiblings,numberOfSiblingsEst,residenceStateRegion,residenceMsa,selfMadeRank,investments,premiumProfile,portraitImage,landscapeImage,embargo,notableDeal,parentListUri
0,Billionaires,2014,3,bill-gates,"He's back. Helped by a bounce in Microsoft shares, Bill Gates returns to the top of our annual Billionaires list this year amid a leadership shakeup at the software giant he founded. He's been the richest man in the world for 15 out of the last 20 years. After years focused on his philanthropy, Gates plans to spend more of his time working with product managers at Microsoft as rivals like Google and Apple continue to outshine the company in the market. Gates stepped down as Microsoft chairman in February, when new CEO Satya Nadella took over. Meanwhile, Gates remains focused on his foundation's efforts to eradicate polio (he secured $335 million in pledges to the cause from six billionaire comrades, including $100 million each from Mexico's Carlos Slim and former New York City Mayor Mike Bloomberg) and getting fellow billionaires more involved with philanthropy. He and Warren Buffett have thus far convinced over 100 of the super rich to sign on to the Giving Pledge, a promise to donate at least half one's net worth to charity.",1,billionaires,76000.0,Technology,0,1.0,"{'name': 'Bill Gates', 'uri': 'bill-gates', 'imageExists': True, 'squareImage': 'https://specials-images.forbesimg.com/imageserve/62d599ede3ff49f348f9b9b4/416x416.jpg?background=000000&cropX1=155&cropX2=976&cropY1=340&cropY2=1161'}",True,Bill Gates,58.0,United States,Washington,Medina,Microsoft,['Technology'],United States,Bill & Melinda Gates Foundation,1394742735275,155,0.0,0.0,0.0,0.0,0.0,faris/5/2014/5772,1,True,9000.0,13.43283582089552,True,U,M,-447451200000.0,225.0,Gates,Bill,The World's Billionaires,Co-Chair,"{'name': 'Bill &#38; Melinda Gates Foundation', 'title': 'Co-Chair', 'totalEarningEst': False, 'salaryEst': False, 'government': False}",http://onforb.es/1IR6Yer,http://onforb.es/1zwslMH,http://onforb.es/1IR71XC,1393822800000,False,False,http://specials-images.forbesimg.com/imageserve/62d599ede3ff49f348f9b9b4/280x425.jpg?fit=scale&background=000000,https://specials-images.forbesimg.com/imageserve/62d599ede3ff49f348f9b9b4/416x416.jpg?background=000000&cropX1=155&cropX2=976&cropY1=340&cropY2=1161,False,,,,,,,,,,,,,,,
1,Billionaires,2014,3,carlos-slim-helu,"His four-year run as world's richest person has come to an end, primarily because shares of Minera Frisco, his mining company, have fallen more than 50% in the past year as the price of gold and copper plummeted. That plus a dip in the value of his largest asset, pan-Latin American telecom firm America Movil, combined to knock $1 billion off his net worth, making him the only billionaire among the world's 10 richest to get poorer in the past year. America Movil has come under pressure in Mexico after the passage of a new anti-monopoly telecom and media law. America Movil has 70% or more market share of both the landline and mobile markets in Mexico. Slim also holds a controlling interest in industrial conglomerate Grupo Carso, financial venture Grupo Financiero Inbursa, real estate enterprise Inmuebles Carso and infrastructure development and operating company Impulsora del Desarrollo y el Empleo en América Latina, or Ideal. He continues to hold minority stakes in U.S. companies Saks Fifth Avenue and The New York Times Co. He has also invested in two Spanish companies: Grupo Prisa, a media conglomerate, and CaixaBank, an investment banking firm.",2,billionaires,72000.0,Telecom,0,1.0,"{'name': 'Carlos Slim Helu & family', 'uri': 'carlos-slim-helu', 'imageExists': True, 'squareImage': '//specials-images.forbesimg.com/imageserve/5c76ba144bbe6f24ad99c613/416x416.jpg?background=000000&cropX1=0&cropX2=3005&cropY1=389&cropY2=3395'}",True,Carlos Slim Helu & family,74.0,Mexico,,Mexico City,telecom,['Telecom'],Mexico,Am&#233;rica M&#243;vil,1394742735414,68,0.0,0.0,0.0,0.0,0.0,faris/5/2014/4466,2,True,-1000.0,-1.3698630136986338,True,D,M,-944420400000.0,224.0,Slim Helu,Carlos,The World's Billionaires,Honorary Chairman,"{'name': 'Am&#233;rica M&#243;vil', 'uri': 'companies/america-movil', 'title': 'Honorary Chairman', 'totalEarningEst': False, 'salaryEst': False, 'government': False}",http://onforb.es/1IR6Yer,http://onforb.es/1zwsjo9,http://onforb.es/1IR71XC,1393822800000,False,False,http://specials-images.forbesimg.com/imageserve/5c76ba144bbe6f24ad99c613/280x425.jpg?fit=scale&background=000000,//specials-images.forbesimg.com/imageserve/5c76ba144bbe6f24ad99c613/416x416.jpg?background=000000&cropX1=0&cropX2=3005&cropY1=389&cropY2=3395,False,,,,,,,,,,,,,,,
2,Billionaires,2014,3,amancio-ortega,"World's richest retailer Ortega added $7 billion to his fortune this past year, expanding the gap between him and number four, Warren Buffett. He is up a total of $26.5 billion in the past two years. Though he stepped down as chairman of Inditex (best known for its Zara brand) in 2011, he still owns nearly 60% of its shares. He also has a growing real estate portfolio, estimated to be worth nearly $5 billion, much of it acquired at bargain prices during the financial downturn. He is reportedly planning to list his property holdings in a real estate investment trust. Among his properties: the iconic Torre Picasso, a 43-story skyscraper in Madrid (Google is a tenant). In the past year, he's bought four new buildings in Madrid, New York and London for around $830 million, taking the number of buildings he owns to 26. A railway worker's son, he started as a gofer in a shirt store. With then-wife Rosalia Mera, now deceased, he started making dressing gowns and lingerie in their living room. They had a daughter Sandra, and a son, Marcos. Ortega is now married to Flora Perez Marcote, with whom he had another daughter, Marta.",3,billionaires,64000.0,Fashion & Retail,0,1.0,"{'name': 'Amancio Ortega', 'uri': 'amancio-ortega', 'imageExists': True, 'squareImage': '//specials-images.forbesimg.com/imageserve/5c76b94131358e35dd27748e/416x416.jpg?background=000000&cropX1=179&cropX2=2232&cropY1=216&cropY2=2269'}",True,Amancio Ortega,77.0,Spain,,La Coruna,retail,['Fashion & Retail'],Spain,,1491251130412,49,0.0,,0.0,,0.0,faris/5/2014/7034,3,True,7000.0,12.280701754385959,True,U,M,-1065466800000.0,200.0,Ortega,Amancio,The World's Billionaires,,,http://onforb.es/1IR6Yer,,http://onforb.es/1IR71XC,1393822800000,False,False,http://specials-images.forbesimg.com/imageserve/5c76b94131358e35dd27748e/280x425.jpg?fit=scale&background=000000,//specials-images.forbesimg.com/imageserve/5c76b94131358e35dd27748e/416x416.jpg?background=000000&cropX1=179&cropX2=2232&cropY1=216&cropY2=2269,False,3.0,"['rank', 'finalWorth', 'personName', 'bios', 'bio']",False,,,,,,,,,,,,
3,Billionaires,2014,3,warren-buffett,"Now in his ninth decade, Buffett is still doing huge deals. Last year he teamed up with 3G Capital to pick up iconic ketchup maker H.J. Heinz for $23.2 billion, invested nearly $4 billion in ExxonMobil and a Berkshire Hathaway subsidiary bought Nevada's NV Energy for $5.6 billion. All of this helped boost his fortune by $4.7 billion despite his gift of $2 billion in Berkshire stock to the Gates Foundation in July, bringing his lifetime giving to $20 billion. Secret to his success? In his investment letter in 2014, he told Berkshire Hathaway shareholders his best investment wasn't a stock or business, it was buying Benjamin Graham's book ""The Intelligent Investor"" in 1949. The book's simple, logically sound approach changed his financial life, he said. As for his advice to investors today, the Oracle of Omaha said in February, as the S&P 500 again touched record levels, to steer clear of market euphoria and focus on the potential for profits over time.",4,billionaires,58200.0,Investments,0,2.0,"{'name': 'Warren Buffett', 'uri': 'warren-buffett', 'imageExists': True, 'squareImage': '//specials-images.forbesimg.com/imageserve/5babb7f1a7ea4342a948b79a/416x416.jpg?background=000000&cropX1=748&cropX2=3075&cropY1=1753&cropY2=4082'}",True,Warren Buffett,83.0,United States,Nebraska,Omaha,Berkshire Hathaway,['Investments'],United States,Berkshire Hathaway,1394742738719,61,0.0,0.0,0.0,0.0,0.0,faris/5/2014/5381,4,True,4700.0,8.785046728971963,True,U,M,-1241467200000.0,225.0,Buffett,Warren,The World's Billionaires,CEO,"{'name': 'Berkshire Hathaway', 'uri': 'companies/berkshire-hathaway', 'title': 'CEO', 'totalEarningEst': False, 'salaryEst': False, 'government': False, 'revenue': 162500.0, 'revenueYear': 2012}",http://onforb.es/1IR6Yer,http://onforb.es/1zwsorO,http://onforb.es/1IR71XC,1393822800000,False,False,http://specials-images.forbesimg.com/imageserve/5babb7f1a7ea4342a948b79a/280x425.jpg?fit=scale&background=000000,//specials-images.forbesimg.com/imageserve/5babb7f1a7ea4342a948b79a/416x416.jpg?background=000000&cropX1=748&cropX2=3075&cropY1=1753&cropY2=4082,False,,,,,,,,,,,,,,,
4,Billionaires,2014,3,larry-ellison,"San Francisco lost $11.5 million hosting the America's Cup during the summer of 2013, but that's nothing compared to what Larry Ellison spent bringing the event to town. In September, his Team Oracle pulled off a stunning comeback from a seven-race deficit to win its second consecutive Cup, allowing the Oracle and founder and CEO to choose the setting for the next race. With a loss already on its books San Francisco may not want another event, though little gets in the way of Larry Ellison's ambition--or mouth.  In an Aug. 2013 television interview, the Oracle founder said that Apple's best days are behind it after the passing of close friend Steve Jobs and that Google's alleged infringement on Oracle's patents in its Android software was ""absolutely evil."" Ellison collects houses on Malibu's Carbon Beach and also owns of 98% of Hawaii's Lanai Island. A recently-launched website for the island reveals its owner's larger plans, including a 2015 film festival on the island. His daughter Megan is a growing Hollywood powerhouse and has financed a string of critical successes including American Hustle and Zero Dark Thirty.",5,billionaires,48000.0,Technology,0,3.0,"{'name': 'Larry Ellison', 'uri': 'larry-ellison', 'imageExists': True, 'squareImage': '//specials-images.forbesimg.com/imageserve/5e8b62cfc095010007bffea0/416x416.jpg?background=000000&cropX1=0&cropX2=4529&cropY1=652&cropY2=5184'}",True,Larry Ellison,69.0,United States,California,Woodside,Oracle,['Technology'],United States,Oracle,1394742738721,56,0.0,0.0,0.0,0.0,0.0,faris/5/2014/5574,5,True,5000.0,11.627906976744185,True,U,M,-800740800000.0,225.0,Ellison,Larry,The World's Billionaires,CEO and Founder,"{'name': 'Oracle', 'uri': 'companies/oracle', 'title': 'CEO and Founder', 'totalEarningEst': False, 'salaryEst': False, 'government': False}",http://onforb.es/1IR6Yer,http://onforb.es/1zwskbB,http://onforb.es/1IR71XC,1393822800000,False,False,http://specials-images.forbesimg.com/imageserve/5e8b62cfc095010007bffea0/280x425.jpg?fit=scale&background=000000,//specials-images.forbesimg.com/imageserve/5e8b62cfc095010007bffea0/416x416.jpg?background=000000&cropX1=0&cropX2=4529&cropY1=652&cropY2=5184,False,,,,,,,,,,,,,,,
5,Billionaires,2014,3,charles-koch,"Charles Koch is chairman and CEO of Koch Industries, the country's second largest private company with sales of $115 billion, a post he's held since 1967. He is worth $6 billion more than a year ago as Koch Industries steadily expands, buying electronics-components maker Molex for $7.2 billion and cellulose fibers producer Buckeye Technologies for $1.5 billion. He and his brother David, with whom he owns 84% of Koch, are funneling a chunk of their money to try and win the Senate for Republicans in the 2014 midterm elections, prompting Sen. Harry Reid to accuse them in January of ""actually trying to buy the country."" A Koch spokesman said Reid's comment was ""disrespectful and beneath the office he holds.""",6,billionaires,40000.0,Diversified,0,4.0,"{'name': 'Charles Koch', 'uri': 'charles-koch', 'imageExists': True, 'squareImage': 'https://specials-images.forbesimg.com/imageserve/615c94bd2aac2936a52682d1/416x416.jpg?background=000000&cropX1=286&cropX2=848&cropY1=110&cropY2=672'}",True,Charles Koch,78.0,United States,Kansas,Wichita,diversified,['Diversified'],United States,Koch Industries,1394742735893,37,0.0,0.0,0.0,0.0,0.0,faris/5/2014/5209,6,True,6000.0,17.64705882352942,False,U,M,-1078254000000.0,225.0,Koch,Charles,The World's Billionaires,CEO,"{'name': 'Koch Industries', 'uri': 'companies/koch-industries', 'title': 'CEO', 'totalEarningEst': False, 'salaryEst': False, 'government': False, 'revenue': 115000.0, 'revenueYear': 2011}",http://onforb.es/1IR6Yer,http://onforb.es/1zwsjVd,http://onforb.es/1IR71XC,1393822800000,False,False,http://specials-images.forbesimg.com/imageserve/615c94bd2aac2936a52682d1/280x425.jpg?fit=scale&background=000000,https://specials-images.forbesimg.com/imageserve/615c94bd2aac2936a52682d1/416x416.jpg?background=000000&cropX1=286&cropX2=848&cropY1=110&cropY2=672,False,,,,,,,,,,,,,,,
6,Billionaires,2014,3,david-koch,"New York City's richest resident David Koch is $6 billion richer than a year ago. He and his brother Charles, with whom he shares the fortune, own 84% of $115 billion (sales) Koch Industries, America's second largest private company with interests in oil pipelines, refineries, building materials, paper towels and even Dixie cups. David was a top donor to the Republican Governors Association in 2013, giving $1.25 million to the cause.  Together the brothers, the richest siblings in the world, are funneling a chunk of their money to try and win the Senate for Republicans in the 2014 midterm elections, prompting Sen. Harry Reid to accuse them in January of ""actually trying to buy the country."" A Koch spokesman said Reid's comment was ""disrespectful and beneath the office he holds.""",6,billionaires,40000.0,Diversified,0,4.0,"{'name': 'David Koch', 'uri': 'david-koch', 'imageExists': True, 'squareImage': '//specials-images.forbesimg.com/imageserve/5c7d6341a7ea434b351b9c44/416x416.jpg?background=000000&cropX1=690&cropX2=1812&cropY1=182&cropY2=1305'}",True,David Koch,73.0,United States,New York,New York,diversified,['Diversified'],United States,Koch Industries,1394742736568,74,0.0,0.0,0.0,0.0,0.0,faris/5/2014/5211,7,True,6000.0,17.64705882352942,False,U,M,-936129600000.0,225.0,Koch,David,The World's Billionaires,Executive Vice President,"{'name': 'Koch Industries', 'uri': 'companies/koch-industries', 'title': 'Executive Vice President', 'totalEarningEst': False, 'salaryEst': False, 'government': False, 'revenue': 115000.0, 'revenueYear': 2011}",http://onforb.es/1IR6Yer,http://onforb.es/1zwskbu,http://onforb.es/1IR71XC,1393822800000,False,False,http://specials-images.forbesimg.com/imageserve/5c7d6341a7ea434b351b9c44/280x425.jpg?fit=scale&background=000000,//specials-images.forbesimg.com/imageserve/5c7d6341a7ea434b351b9c44/416x416.jpg?background=000000&cropX1=690&cropX2=1812&cropY1=182&cropY2=1305,False,,,,,,,,,,,,,,,
7,Billionaires,2014,3,sheldon-adelson,"Sheldon Adelson returns to the top 10 richest in the world for the first time since 2007 after making an average of $32 million a day over the last year, third-most of anyone on the planet. Shares of his Las Vegas Sands, worth more than all other U.S. casino companies combined, continued climbing thanks to booming business in Asia, where he plans to continue expanding. After more than a year of talks and negotiations, Adelson dropped plans to develop a $30 billion megaproject in Madrid's suburbs. Investors didn't blink -- the stock rose more than 3% the next month. Adelson, who spent $100 million trying to get a republican in the White House in 2012, is now using his vast fortune to fight internet gambling in America, pitting himself against some of the biggest names in finance, private equity and gambling. He told Forbes he is willing to ""spend whatever it takes"" to win.",8,billionaires,38000.0,Gaming,0,6.0,"{'name': 'Sheldon Adelson', 'uri': 'sheldon-adelson', 'imageExists': True, 'squareImage': '//specials-images.forbesimg.com/imageserve/5d8bd5c218444200084e8854/416x416.jpg?background=000000&cropX1=692&cropX2=4407&cropY1=0&cropY2=3712'}",True,Sheldon Adelson,80.0,United States,Nevada,Las Vegas,casinos,['Gaming'],United States,Las Vegas Sands,1394742737749,51,0.0,0.0,0.0,0.0,0.0,faris/5/2014/5050,8,True,11500.0,43.39622641509433,True,U,M,-1149019200000.0,225.0,Adelson,Sheldon,The World's Billionaires,Chairman and CEO,"{'name': 'Las Vegas Sands', 'uri': 'companies/las-vegas-sands', 'title': 'Chairman and CEO', 'totalEarningEst': False, 'salaryEst': False, 'government': False}",http://onforb.es/1IR6Yer,http://onforb.es/1zwsoYJ,http://onforb.es/1IR71XC,1393822800000,False,False,http://specials-images.forbesimg.com/imageserve/5d8bd5c218444200084e8854/280x425.jpg?fit=scale&background=000000,//specials-images.forbesimg.com/imageserve/5d8bd5c218444200084e8854/416x416.jpg?background=000000&cropX1=692&cropX2=4407&cropY1=0&cropY2=3712,False,,,,,,,,,,,,,,,
8,Billionaires,2014,3,christy-walton,"Walton is the richest woman in the world once again, taking back the title from L'Oreal Heiress Liliane Bettencourt. She has now held that title for 4 out of the last 5 years. She inherited her wealth when husband John Walton, a former Green Beret and Vietnam war medic, died in an airplane crash in 2005. John's side investment in First Solar had boosted Christy's net worth well above the rest of her family, but the stock sank in 2011, narrowing her lead. But First Solar stock has revived, up 47% in past year and boosting her net worth by $466 million. The bulk of her holdings are in Wal-Mart, the massive retailer founded by her father-in-law Sam Walton and his brother James in 1962. Christy received $460 million in Wal-Mart dividends after taxes in 2013. She leads a very private life in Jackson, Wyoming, but in August had a rare bit of publicity when she was given an award by the Imagen Foundation for producing the film ""Bless Me, Ultima,"" based on the book by Rudolfo Anaya, who is considered the father of Chicano literature. Her son battled cancer when he was just three years old and she fought a case of pneumonia that nearly killed her, according to the Imagen Foundation.",9,billionaires,36700.0,Fashion and Retail,0,7.0,"{'name': 'Christy Walton & family', 'uri': 'christy-walton', 'imageExists': True, 'squareImage': '//specials-images.forbesimg.com/imageserve/f12075ee278b0ce676c90b51cc5e60d6/416x416.jpg?background=000000&cropX1=13&cropX2=744&cropY1=29&cropY2=761'}",True,Christy Walton & family,59.0,United States,Wyoming,Jackson,Wal-Mart,['Fashion and Retail'],United States,Children's Scholarship Fund,1394742735619,22,0.0,0.0,0.0,0.0,0.0,faris/5/2014/7747,9,True,8500.0,30.141843971631204,False,U,F,-473367600000.0,225.0,Walton,Christy,The World's Billionaires,Co-Chair,"{'name': ""Children's Scholarship Fund"", 'title': 'Co-Chair', 'totalEarningEst': False, 'salaryEst': False, 'government': False}",http://onforb.es/1IR6Yer,http://onforb.es/1zwskbA,http://onforb.es/1IR71XC,1393822800000,False,False,http://specials-images.forbesimg.com/imageserve/f12075ee278b0ce676c90b51cc5e60d6/280x425.jpg?fit=scale&background=000000,//specials-images.forbesimg.com/imageserve/f12075ee278b0ce676c90b51cc5e60d6/416x416.jpg?background=000000&cropX1=13&cropX2=744&cropY1=29&cropY2=761,False,,,,,,,,,,,,,,,
9,Billionaires,2014,3,jim-walton,"The youngest son of retail visionary Sam Walton saw a nice bump in his wealth last year thanks to a 6% gain in Wal-Mart shares. Mr. Sam's store remains a powerhouse worldwide, with 2013 sales of nearly $470 billion and 2.2 million employees in 11,000 stores. Jim received more than $475 million in dividends after taxes in 2013. He is also the CEO of the Walton family's Arvest Bank, which has branches in Arkansas, Kansas, Oklahoma and Missouri. The bank is worth about $1.8 billion, with net profits of nearly $100 million in 2012.",10,billionaires,34700.0,Fashion and Retail,0,8.0,"{'name': 'Jim Walton', 'uri': 'jim-walton', 'imageExists': True, 'squareImage': '//specials-images.forbesimg.com/imageserve/5c7ef2fea7ea434b351bca5a/416x416.jpg?background=000000&cropX1=49&cropX2=934&cropY1=65&cropY2=951'}",True,Jim Walton,66.0,United States,Arkansas,Bentonville,Wal-Mart,['Fashion and Retail'],United States,"Arvest Bank Group, Inc.",1394742736603,33,0.0,0.0,0.0,0.0,0.0,faris/5/2014/5720,10,True,8000.0,29.962546816479403,False,U,M,-694292400000.0,225.0,Walton,Jim,The World's Billionaires,Chairman and CEO,"{'name': 'Arvest Bank Group, Inc.', 'title': 'Chairman and CEO', 'totalEarningEst': False, 'salaryEst': False, 'government': False}",http://onforb.es/1IR6Yer,http://onforb.es/1zwsnnU,http://onforb.es/1IR71XC,1393822800000,False,False,http://specials-images.forbesimg.com/imageserve/5c7ef2fea7ea434b351bca5a/280x425.jpg?fit=scale&background=000000,//specials-images.forbesimg.com/imageserve/5c7ef2fea7ea434b351bca5a/416x416.jpg?background=000000&cropX1=49&cropX2=934&cropY1=65&cropY2=951,False,,,,,,,,,,,,,,,
