,name,year,month,uri,bio,rank,listUri,finalWorth,category,otherCompensation,countryRank,person,visible,personName,age,country,state,city,source,industries,countryOfCitizenship,organization,timestamp,version,moneyRank,pressRank,socialRank,naturalId,position,imageExists,change,changePercent,selfMade,status,gender,birthDate,countryId,lastName,firstName,listDescription,title,employment,shortUri,listShortUri,date,wealthList,familyList,selfMadeRank,previousRank,thumbnail,residenceStateRegion,residenceMsa,squareImage,bioSuppress,csfDisplayFields,suppressOnProfiles,galleryShortUri,numberOfSiblings,numberOfSiblingsEst,premiumProfile,valueCreated,clients,investments,notableDeal,bios,abouts,parentListUri,portraitImage,landscapeImage
0,Billionaires,2016,3,bill-gates,"Bill Gates has built a reputation as a serious thinker about the world's problems and has steered the Bill & Melinda Gates Foundation to tackle knotty issues like improving health care and the use of vaccines in developing countries. In December 2015, at the United Nations climate talks in Paris, Gates raised his profile on the global stage when he announced the formation of the Breakthrough Energy Coalition, a group of more than 20 billionaires who have agreed to invest in innovative clean energy. ""Our primary goal with the coalition is as much to accelerate progress on clean energy as it is to make a profit,"" Gates said at the time. Gates recruited the likes of Mark Zuckerberg, Chinese e-commerce billionaire Jack Ma, and Aliko Dangote, Africa's richest man, to join the coalition. Gates still owns just under 3% of Microsoft, which accounts for less than 20% of his fortune. Some of his other  investments include stakes in Canadian National Railway, Deere & Co., waste collection outfit Republic Services and hygiene and water technology firm Ecolab. In October 2015, Gates reportedly invested in Impossible Foods, a startup that is creating plant-based foods that taste like meat but use fewer resources to produce.",1,billionaires,75000.0,Technology,0,1.0,"{'name': 'Bill Gates', 'uri': 'bill-gates', 'imageExists': True, 'squareImage': 'https://specials-images.forbesimg.com/imageserve/62d599ede3ff49f348f9b9b4/416x416.jpg?background=000000&cropX1=155&cropX2=976&cropY1=340&cropY2=1161'}",True,Bill Gates,60.0,United States,Washington,Medina,Microsoft,['Technology'],United States,Bill & Melinda Gates Foundation,1475545687293,159,0.0,0.0,0.0,faris/5/2016/5772,1,True,-4200.0,-5.303030303030297,True,D,M,-447451200000.0,225.0,Gates,Bill,The World's Billionaires,Cofounder,"{'name': 'Bill &#38; Melinda Gates Foundation', 'title': 'Cofounder', 'totalEarningEst': False, 'salaryEst': False, 'government': False}",http://onforb.es/1IR6Yer,http://onforb.es/1IR71XC,1456808400000,False,False,8.0,1.0,http://specials-images.forbesimg.com/imageserve/62d599ede3ff49f348f9b9b4/280x425.jpg?fit=scale&background=000000,West,"Seattle, WA",https://specials-images.forbesimg.com/imageserve/62d599ede3ff49f348f9b9b4/416x416.jpg?background=000000&cropX1=155&cropX2=976&cropY1=340&cropY2=1161,False,"['rank', 'finalWorth', 'personName', 'bio']",,,,,,,,,,,,,,
1,Billionaires,2016,3,amancio-ortega,"Zara founder Amancio Ortega is the richest man in Europe and the wealthiest retailer in the world. He started manufacturing textiles through a small family company in 1963 before cofounding Zara with his ex-wife Rosalía Mera (d. 2013) in 1975. By the mid-1980s, Ortega had expanded throughout Spain, and he opened his first store in America in 1989. As he expanded his empire, which today includes Zara, Massimo Dutti and Pull&Bear, he caught the retail establishment by surprise, limiting advertising, expanding aggressively, and controlling much of his own supply chain. Louis Vuitton fashion director Daniel Piette  once called Inditex ""possibly the most innovative and devastating retailer in the world. Ortega powered through his country's financial crisis, personally gaining $45 billion from 2009 to 2014 as  shares of Inditex defied the rest of the Spanish stock market. He stepped down as chairman of Inditex in 2011 but still hauls in more than $400 million in dividends annually. He has been plowing his spare cash into real estate investments all over the world, including Madrid, Barcelona, London, Chicago, Miami and New York, amassing a portfolio worth more than $8 billion.",2,billionaires,67000.0,Fashion & Retail,0,1.0,"{'name': 'Amancio Ortega', 'uri': 'amancio-ortega', 'imageExists': True, 'squareImage': '//specials-images.forbesimg.com/imageserve/5c76b94131358e35dd27748e/416x416.jpg?background=000000&cropX1=179&cropX2=2232&cropY1=216&cropY2=2269'}",True,Amancio Ortega,79.0,Spain,,La Coruna,Zara,['Fashion & Retail'],Spain,,1518124927805,67,0.0,0.0,0.0,faris/5/2016/7034,2,True,2500.0,3.875968992248062,True,U,M,-1065466800000.0,200.0,Ortega,Amancio,The World's Billionaires,,,http://onforb.es/1IR6Yer,http://onforb.es/1IR71XC,1456808400000,False,False,,4.0,http://specials-images.forbesimg.com/imageserve/5c76b94131358e35dd27748e/280x425.jpg?fit=scale&background=000000,,,//specials-images.forbesimg.com/imageserve/5c76b94131358e35dd27748e/416x416.jpg?background=000000&cropX1=179&cropX2=2232&cropY1=216&cropY2=2269,False,"['rank', 'finalWorth', 'personName', 'bios', 'bio']",False,,,,,,,,,,,,,
2,Billionaires,2016,3,warren-buffett,"The Oracle of Omaha, Warren Buffett ranked number two on the Forbes 400 for 15 years straight. That streak ended in September 2016 when he was overtaken (by Jeff Bezos) despite adding $3.5 billion to his fortune in the previous year. The last time he ranked so low, Bill Clinton was in the White House. He spent parts of 2016 stumping for Hillary, and promised to release his tax returns if Donald Trump did the same. Unlike Trump, Buffett does not think America needs to be made great again. ""The babies being born in America today are the luckiest crop in history,"" he wrote in his annual letter to Berkshire Hathaway shareholders. ""For 240 years it's been a terrible mistake to bet against America, and now is no time to start."" Such optimism makes sense coming from one of the most successful investors in history. Shares of Berkshire Hathaway remain near all-time highs. One investment not doing well: Wells Fargo. The company, in which Berkshire has a 10% stake, is mired in scandal for creating 2 million accounts for customers without their permission. Berkshire also has stakes in American Express and Coca-Cola and owns Geico, Dairy Queen and Fruit of the Loom. In July 2016 Buffett gave away nearly $2.9 billion in Berkshire stock to the Bill & Melinda Gates Foundation and his family members' foundations, in what has become his annual summer gift. Known for his relative frugality, Buffett still lives in the Omaha home he purchased for $31,500 in 1958. He says his best investment was buying Benjamin Graham's legendary book, ""The Intelligent Investor,"" in 1949.",3,billionaires,60800.0,Finance and Investments,0,2.0,"{'name': 'Warren Buffett', 'uri': 'warren-buffett', 'imageExists': True, 'squareImage': '//specials-images.forbesimg.com/imageserve/5babb7f1a7ea4342a948b79a/416x416.jpg?background=000000&cropX1=748&cropX2=3075&cropY1=1753&cropY2=4082'}",True,Warren Buffett,85.0,United States,Nebraska,Omaha,Berkshire Hathaway,['Finance and Investments'],United States,Berkshire Hathaway,1491251131761,73,0.0,0.0,0.0,faris/5/2016/5381,3,True,-11900.0,-16.368638239339745,True,D,M,-1241467200000.0,225.0,Buffett,Warren,The World's Billionaires,CEO,"{'name': 'Berkshire Hathaway', 'uri': 'companies/berkshire-hathaway', 'title': 'CEO', 'totalEarningEst': False, 'salaryEst': False, 'government': False, 'revenue': 162500.0, 'revenueYear': 2012}",http://onforb.es/1IR6Yer,http://onforb.es/1IR71XC,1456808400000,False,False,8.0,3.0,http://specials-images.forbesimg.com/imageserve/5babb7f1a7ea4342a948b79a/280x425.jpg?fit=scale&background=000000,Midwest,"Omaha, NE",//specials-images.forbesimg.com/imageserve/5babb7f1a7ea4342a948b79a/416x416.jpg?background=000000&cropX1=748&cropX2=3075&cropY1=1753&cropY2=4082,False,"['rank', 'finalWorth', 'personName', 'bios', 'bio']",False,,,,,,,,,,,,,
3,Billionaires,2016,3,carlos-slim-helu,"Carlos Slim Helu has been hit hard by Donald Trump's election. The world's second richest man in 2015, he hit major headwinds in the past year; his net worth declined by nearly $5 billion in just four days after the U.S. general election. Previously, shares of his pan-Latin American mobile phone operator, America Movil, took a beating in 2015 and early 2016 in the wake of new Mexican telecom regulations, a weaker Mexican peso and economic decline in Brazil. That drove a $27.1 billion drop in Slim's net worth, making him the biggest dollar loser on the 2016 Forbes Billionaires List. Slim is the largest shareholder of The New York Times, with a nearly 17% stake. He also owns a majority stake in industrial conglomerate Grupo Carso, financial venture Grupo Financiero Inbursa and infrastructure development and operating company Ideal.",4,billionaires,50000.0,Telecom,0,1.0,"{'name': 'Carlos Slim Helu & family', 'uri': 'carlos-slim-helu', 'imageExists': True, 'squareImage': '//specials-images.forbesimg.com/imageserve/5c76ba144bbe6f24ad99c613/416x416.jpg?background=000000&cropX1=0&cropX2=3005&cropY1=389&cropY2=3395'}",True,Carlos Slim Helu & family,76.0,Mexico,,Mexico City,telecom,['Telecom'],Mexico,Am&#233;rica M&#243;vil,1491251129123,72,0.0,0.0,0.0,faris/5/2016/4466,4,True,-27100.0,-35.14915693904021,True,D,M,-944420400000.0,224.0,Slim Helu,Carlos,The World's Billionaires,Honorary Chairman,"{'name': 'Am&#233;rica M&#243;vil', 'uri': 'companies/america-movil', 'title': 'Honorary Chairman', 'totalEarningEst': False, 'salaryEst': False, 'government': False}",http://onforb.es/1IR6Yer,http://onforb.es/1IR71XC,1456808400000,False,False,,2.0,http://specials-images.forbesimg.com/imageserve/5c76ba144bbe6f24ad99c613/280x425.jpg?fit=scale&background=000000,,,//specials-images.forbesimg.com/imageserve/5c76ba144bbe6f24ad99c613/416x416.jpg?background=000000&cropX1=0&cropX2=3005&cropY1=389&cropY2=3395,False,"['rank', 'finalWorth', 'personName', 'bios', 'bio']",False,,,,,,,,,,,,,
4,Billionaires,2016,3,jeff-bezos,"Jeff Bezos makes managing three companies look easy. In November, his aerospace company Blue Origin launched a rocket into sub-orbit, which landed back on earth and prompted a Bezos-led champagne celebration and jealous tweets from Elon Musk. In January, he personally flew back reporter Jason Rezaian on his private jet after the Washington Post staffer spent the previous 18 months in an Iranian prison. And that's all while his dominant online retailer Amazon has chugged along, finishing a record 2015 in which it posted more than $100 billion in revenue. Still it hasn't been all good news. After popping to new heights in 2015, Amazon's share price has fallen in the early months of 2016, after the company missed earnings estimates. It's also had to deal with the fallout from a story in The New York Times in August which detailed the high-pressure, long-hour work environment inside the retailer. In a letter to employees in response,  Bezos, who is Amazon's CEO as well as its founder, wrote that he didn't recognize the company described but said that anyone working in a company like that ""would be crazy to stay.""",5,billionaires,45200.0,Technology,0,3.0,"{'name': 'Jeff Bezos', 'uri': 'jeff-bezos', 'imageExists': True, 'squareImage': 'https://specials-images.forbesimg.com/imageserve/5bb22ae84bbe6f67d2e82e05/416x416.jpg?background=000000&cropX1=627&cropX2=1639&cropY1=129&cropY2=1142'}",True,Jeff Bezos,52.0,United States,Washington,Seattle,Amazon.com,['Technology'],United States,Amazon.com,1475545685682,119,0.0,0.0,0.0,faris/5/2016/6713,5,True,10400.0,29.88505747126439,True,U,M,-188420400000.0,225.0,Bezos,Jeff,The World's Billionaires,Entrepreneur,"{'name': 'Amazon.com', 'uri': 'companies/amazon', 'title': 'CEO and Founder', 'totalEarningEst': False, 'salaryEst': False, 'government': False, 'revenue': 61100.0, 'revenueYear': 2012}",http://onforb.es/1IR6Yer,http://onforb.es/1IR71XC,1456808400000,False,False,8.0,15.0,http://specials-images.forbesimg.com/imageserve/5bb22ae84bbe6f67d2e82e05/280x425.jpg?fit=scale&background=000000,West,"Seattle, WA",https://specials-images.forbesimg.com/imageserve/5bb22ae84bbe6f67d2e82e05/416x416.jpg?background=000000&cropX1=627&cropX2=1639&cropY1=129&cropY2=1142,False,"['rank', 'finalWorth', 'personName', 'bio']",,,,,,,,,,,,,,
5,Billionaires,2016,3,mark-zuckerberg,"No one on the planet has had a better year than Mark Zuckerberg. Facebook's soaring stock price makes him the world's biggest gainer, adding $11.2 billion to his fortune in 12 months. Plus, he became a father for the first time in December. To celebrate the milestone, he and his wife Priscilla announced plans to give 99% of their Facebook stock -- nearly all of their wealth -- to charitable causes during their lifetime. Zuckerberg has also taken to posting numerous photos of his family's milestones, such as his daughter Max's first vaccines, her first Chinese New Year, her first time dressed as a Jedi and even Max hanging out with their dog, Beast, on his fifth birthday. At Facebook, a rise in mobile advertising has lifted the social network's revenues. Nearly two years after buying virtual reality startup Oculus, Facebook will start shipping the Rift VR headset in March 2016. Messaging app WhatsApp, which it purchased in 2014, surpassed 1 billion users in February. One recent setback: Zuckerberg's plan to provide free but limited Internet access in India was stopped by Indian regulators in February after activists made the case that the Facebook offering would violate network neutrality and would unfairly provide an advantage to the company over its rivals. Zuckerberg founded the social network in 2004 when he was 19, and he dropped out of Harvard to move the company to Silicon Valley.",6,billionaires,44600.0,Technology,0,4.0,"{'name': 'Mark Zuckerberg', 'uri': 'mark-zuckerberg', 'imageExists': True, 'squareImage': '//specials-images.forbesimg.com/imageserve/5c76b7d331358e35dd2773a9/416x416.jpg?background=000000&cropX1=0&cropX2=4401&cropY1=0&cropY2=4401'}",True,Mark Zuckerberg,31.0,United States,California,Palo Alto,Facebook,['Technology'],United States,Facebook,1460053713686,67,0.0,0.0,0.0,faris/5/2016/8047,6,True,11200.0,33.53293413173651,True,U,M,453355200000.0,225.0,Zuckerberg,Mark,The World's Billionaires,Entrepreneur,"{'name': 'Facebook', 'uri': 'companies/facebook', 'title': 'Cofounder, Chairman and CEO', 'totalEarningEst': False, 'salaryEst': False, 'government': False, 'revenue': 5100.0, 'revenueYear': 2012}",http://onforb.es/1IR6Yer,http://onforb.es/1IR71XC,1456808400000,False,False,8.0,16.0,http://specials-images.forbesimg.com/imageserve/5c76b7d331358e35dd2773a9/280x425.jpg?fit=scale&background=000000,West,"San Jose, CA",//specials-images.forbesimg.com/imageserve/5c76b7d331358e35dd2773a9/416x416.jpg?background=000000&cropX1=0&cropX2=4401&cropY1=0&cropY2=4401,False,,,http://onforb.es/1zwslMO,,,,,,,,,,,,
6,Billionaires,2016,3,larry-ellison,"He gave up the Oracle CEO job in September 2014, but as chairman of the board Larry Ellison still calls some of the shots at the database-software giant. In June 2015 he announced that Oracle was expanding its cloud-computing business, putting it in direct competition with Amazon's Web Services unit. At least one analyst has raised questions about whether the move has been profitable. Ellison started out building databases for the CIA. He founded Oracle in 1977 and tapped into businesses' growing need for customer relationship management databases. Both of his children are looking to leave their mark on Hollywood. Daughter Megan has financed films such as Zero Dark Thirty and American Hustle; son David is a producer of mainstream franchises like The Terminator and Mission: Impossible.",7,billionaires,43600.0,Technology,0,5.0,"{'name': 'Larry Ellison', 'uri': 'larry-ellison', 'imageExists': True, 'squareImage': '//specials-images.forbesimg.com/imageserve/5e8b62cfc095010007bffea0/416x416.jpg?background=000000&cropX1=0&cropX2=4529&cropY1=652&cropY2=5184'}",True,Larry Ellison,71.0,United States,California,Woodside,software,['Technology'],United States,Oracle,1491251131240,69,0.0,0.0,0.0,faris/5/2016/5574,7,True,-10700.0,-19.70534069981585,True,D,M,-800740800000.0,225.0,Ellison,Larry,The World's Billionaires,CEO and Founder,"{'name': 'Oracle', 'uri': 'companies/oracle', 'title': 'CEO and Founder', 'totalEarningEst': False, 'salaryEst': False, 'government': False}",http://onforb.es/1IR6Yer,http://onforb.es/1IR71XC,1456808400000,False,False,9.0,5.0,http://specials-images.forbesimg.com/imageserve/5e8b62cfc095010007bffea0/280x425.jpg?fit=scale&background=000000,West,"San Francisco-Oakland-Fremont, CA",//specials-images.forbesimg.com/imageserve/5e8b62cfc095010007bffea0/416x416.jpg?background=000000&cropX1=0&cropX2=4529&cropY1=652&cropY2=5184,False,"['rank', 'finalWorth', 'personName', 'bios', 'bio']",False,,,,,,,,,,,,,
7,Billionaires,2016,3,michael-bloomberg,"In July, former New York City mayor Michael Bloomberg gave a speech at the Democratic National Convention endorsing Hillary Clinton: ""Let's elect a sane, competent person,"" he said. Despite his support, his favored candidate ultimately lost the election in November. Bloomberg, a Democrat who switched to the GOP and later became an independent, previously considered making his own presidential bid when Clinton struggled early on against challenger Bernie Sanders, but eventually decided not to run. Since returning to Bloomberg LP from City Hall in early 2015, he has shaken up the company by refocusing its media division on its core coverage area: business and financial news. Sales are up an estimated 3%, helping boost his fortune by $6.4 billion. Bloomberg has donated more than $4 billion to gun control, climate change and other causes. He recently became a global ambassador for the World Health Organization. He owns 88% of the firm he founded, which in 2014 had $9 billion in revenues. Bloomberg got his start on Wall Street in 1966 in an entry level job at investment bank Salomon Brothers and rose to become head of equity trading and then head of information services before being let go in 1981 when the firm was acquired. That year, along with Tom Secunda, Chuck Zegar, and Duncan MacMillan, he founded Bloomberg LP, which sold its first financial information systems to Merrill Lynch.",8,billionaires,40000.0,Media & Entertainment,0,6.0,"{'name': 'Michael Bloomberg', 'uri': 'michael-bloomberg', 'imageExists': True, 'squareImage': '//specials-images.forbesimg.com/imageserve/5c76b4104bbe6f24ad99c35d/416x416.jpg?background=000000&cropX1=165&cropX2=5613&cropY1=321&cropY2=5769'}",True,Michael Bloomberg,74.0,United States,New York,New York,Bloomberg LP,['Media & Entertainment'],United States,Bloomberg,1491251147922,88,0.0,0.0,0.0,faris/5/2016/5640,8,True,4500.0,12.676056338028175,True,U,M,-879796800000.0,225.0,Bloomberg,Michael,The World's Billionaires,CEO,"{'name': 'Bloomberg', 'uri': 'companies/bloomberg', 'title': 'CEO', 'totalEarningEst': False, 'salaryEst': False, 'government': False}",http://onforb.es/1IR6Yer,http://onforb.es/1IR71XC,1456808400000,False,False,8.0,14.0,http://specials-images.forbesimg.com/imageserve/5c76b4104bbe6f24ad99c35d/280x425.jpg?fit=scale&background=000000,Northeast,"New York, NY",//specials-images.forbesimg.com/imageserve/5c76b4104bbe6f24ad99c35d/416x416.jpg?background=000000&cropX1=165&cropX2=5613&cropY1=321&cropY2=5769,False,"['rank', 'finalWorth', 'personName', 'bios', 'bio']",False,,,,,,,,,,,,,
8,Billionaires,2016,3,charles-koch,"Charles Koch's dad, Fred, started the family business in 1940 and improved a method of refining heavy oil into gasoline. Charles took over as chairman and CEO of the oil and gas business after his father's death in 1967 and expanded the firm into Koch Industries, a $100 billion (sales) conglomerate that includes chemicals manufacturing, pipelines and commodities trading. A subsidiary, Georgia Pacific (maker of Brawny paper towels and Dixie cups), launched its first line of carpet cleaners under the Stainmaster brand in August 2016; refining and chemicals unit Flint Hills Resources started up a new biodiesel plant a month later. Koch Industries has also implemented the ""Ban the Box"" policy: removing the question that asks for a job candidate's criminal history on the initial application. A longtime Republican megadonor ,Charles Koch publicly compared the 2016 presidential race between Trump and Clinton as being forced to choose between ""cancer"" and a ""heart attack.""",9,billionaires,39600.0,Diversified,0,7.0,"{'name': 'Charles Koch', 'uri': 'charles-koch', 'imageExists': True, 'squareImage': 'https://specials-images.forbesimg.com/imageserve/615c94bd2aac2936a52682d1/416x416.jpg?background=000000&cropX1=286&cropX2=848&cropY1=110&cropY2=672'}",True,Charles Koch,80.0,United States,Kansas,Wichita,diversified,['Diversified'],United States,Koch Industries,1491251130730,45,0.0,0.0,0.0,faris/5/2016/5209,9,True,-3300.0,-7.692307692307693,False,D,M,-1078254000000.0,225.0,Koch,Charles,The World's Billionaires,CEO,"{'name': 'Koch Industries', 'uri': 'companies/koch-industries', 'title': 'CEO', 'totalEarningEst': False, 'salaryEst': False, 'government': False, 'revenue': 115000.0, 'revenueYear': 2011}",http://onforb.es/1IR6Yer,http://onforb.es/1IR71XC,1456808400000,False,False,5.0,6.0,http://specials-images.forbesimg.com/imageserve/615c94bd2aac2936a52682d1/280x425.jpg?fit=scale&background=000000,Midwest,"Wichita, KS",https://specials-images.forbesimg.com/imageserve/615c94bd2aac2936a52682d1/416x416.jpg?background=000000&cropX1=286&cropX2=848&cropY1=110&cropY2=672,False,"['rank', 'finalWorth', 'personName', 'bios', 'bio']",False,,,,,,,,,,,,,
9,Billionaires,2016,3,david-koch,"David Koch shares control of $115 billion (sales) Koch Industries with his older brother Charles. Koch Industries has interests in oil pipelines, refineries, building materials, paper towels and Dixie cups, and is growing with acquisitions fueled by the company's prodigious cash flow. He's also joined his brother's campaign to raise and spend almost $900 million on political activity, education and issues like criminal-justice reform in the run-up to this year's presidential election. Already David has pumped more than $130,000 into Republican causes and PACs, although he and brother Charles have yet to endorse a candidate. They are also active philanthropists. The Metropolitan Museum of Art in New York has the David H. Koch Plaza, part of a $65 million renovation he funded, and the David Koch Charitable Foundation has made more than $1.2 billion in contributions over his lifetime.",9,billionaires,39600.0,Diversified,0,7.0,"{'name': 'David Koch', 'uri': 'david-koch', 'imageExists': True, 'squareImage': '//specials-images.forbesimg.com/imageserve/5c7d6341a7ea434b351b9c44/416x416.jpg?background=000000&cropX1=690&cropX2=1812&cropY1=182&cropY2=1305'}",True,David Koch,75.0,United States,New York,New York,diversified,['Diversified'],United States,Koch Industries,1491251138184,81,0.0,0.0,0.0,faris/5/2016/5211,10,True,-3300.0,-7.692307692307693,False,D,M,-936129600000.0,225.0,Koch,David,The World's Billionaires,Executive Vice President,"{'name': 'Koch Industries', 'uri': 'companies/koch-industries', 'title': 'Executive Vice President', 'totalEarningEst': False, 'salaryEst': False, 'government': False, 'revenue': 115000.0, 'revenueYear': 2011}",http://onforb.es/1IR6Yer,http://onforb.es/1IR71XC,1456808400000,False,False,5.0,6.0,http://specials-images.forbesimg.com/imageserve/5c7d6341a7ea434b351b9c44/280x425.jpg?fit=scale&background=000000,Northeast,"New York, NY",//specials-images.forbesimg.com/imageserve/5c7d6341a7ea434b351b9c44/416x416.jpg?background=000000&cropX1=690&cropX2=1812&cropY1=182&cropY2=1305,False,"['rank', 'finalWorth', 'personName', 'bios', 'bio']",False,,,,,,,,,,,,,
