,name,year,month,uri,bio,rank,listUri,finalWorth,category,otherCompensation,countryRank,person,visible,personName,age,country,state,city,source,industries,countryOfCitizenship,organization,timestamp,version,moneyRank,pressRank,socialRank,naturalId,position,imageExists,change,changePercent,selfMade,status,gender,birthDate,countryId,lastName,firstName,listDescription,title,employment,date,wealthList,familyList,selfMadeRank,previousRank,thumbnail,residenceStateRegion,residenceMsa,squareImage,bioSuppress,csfDisplayFields,suppressOnProfiles,bios,abouts,premiumProfile,totalCharitableDonation,charitableDonationPercentage,philanthropyScore,impactInvestor,numberOfSiblings,numberOfSiblingsEst,portraitImage,landscapeImage,investments,notableDeal,valueCreated,qas,embargo,parentListUri
0,Billionaires,2018,3,jeff-bezos,,1,billionaires,112000.0,Technology,0,1.0,"{'name': 'Jeff Bezos', 'uri': 'jeff-bezos', 'imageExists': True, 'squareImage': 'https://specials-images.forbesimg.com/imageserve/5bb22ae84bbe6f67d2e82e05/416x416.jpg?background=000000&cropX1=627&cropX2=1639&cropY1=129&cropY2=1142'}",True,Jeff Bezos,54.0,United States,Washington,Seattle,Amazon,['Technology'],United States,Amazon.com,1521465773451,69,0.0,0.0,0.0,faris/5/2018/6713,1,True,39200.0,53.84615384615387,True,U,M,-188420400000.0,225.0,Bezos,Jeff,The World's Billionaires,Entrepreneur,"{'name': 'Amazon.com', 'uri': 'companies/amazon', 'title': 'CEO and Founder', 'totalEarningEst': False, 'salaryEst': False, 'government': False, 'revenue': 61100.0, 'revenueYear': 2012}",1520312400000,False,False,8.0,3.0,http://specials-images.forbesimg.com/imageserve/5bb22ae84bbe6f67d2e82e05/280x425.jpg?fit=scale&background=000000,West,"Seattle-Tacoma-Bellevue, WA",https://specials-images.forbesimg.com/imageserve/5bb22ae84bbe6f67d2e82e05/416x416.jpg?background=000000&cropX1=627&cropX2=1639&cropY1=129&cropY2=1142,False,"['rank', 'finalWorth', 'personName', 'bios', 'bio']",False,"[""Amazon's chief Jeff Bezos is the first person to top $100 billion as number one on the Forbes list of the World's Billionaires."", 'He owns 16% of e-commerce colossus Amazon, which he founded in a garage in Seattle in 1994.', 'Bezos attended Princeton and worked at a hedge fund before quitting to sell books online.', 'His other passion is space travel: His aerospace company, Blue Origin, is developing a reusable rocket that Bezos says will carry passengers.', 'Bezos purchased The Washington Post in 2013 for $250 million. ']","['Growing up, Jeff Bezos worked summers on a ranch repairing Caterpillar tractors.', ""One year after Amazon's IPO, Bezos still lived in a rented apartment and used a desk he made from an old door.""]",,,,,,,,,,,,,,,
1,Billionaires,2018,3,bill-gates,,2,billionaires,90000.0,Technology,0,2.0,"{'name': 'Bill Gates', 'uri': 'bill-gates', 'imageExists': True, 'squareImage': 'https://specials-images.forbesimg.com/imageserve/62d599ede3ff49f348f9b9b4/416x416.jpg?background=000000&cropX1=155&cropX2=976&cropY1=340&cropY2=1161'}",True,Bill Gates,62.0,United States,Washington,Medina,Microsoft,['Technology'],United States,Bill & Melinda Gates Foundation,1570041186924,78,0.0,0.0,0.0,faris/5/2018/5772,2,True,4000.0,4.651162790697683,True,U,M,-447451200000.0,225.0,Gates,Bill,The World's Billionaires,Cofounder,"{'name': 'Bill & Melinda Gates Foundation', 'title': 'Cofounder', 'government': False}",1520312400000,False,False,8.0,1.0,http://specials-images.forbesimg.com/imageserve/62d599ede3ff49f348f9b9b4/280x425.jpg?fit=scale&background=000000,West,"Seattle-Tacoma-Bellevue, WA",https://specials-images.forbesimg.com/imageserve/62d599ede3ff49f348f9b9b4/416x416.jpg?background=000000&cropX1=155&cropX2=976&cropY1=340&cropY2=1161,False,"['rank', 'finalWorth', 'personName', 'bios', 'bio']",False,"[""With his wife Melinda, Bill Gates chairs the Bill & Melinda Gates Foundation, the world's largest private charitable foundation."", 'The foundation works to save lives and improve global health, and is working with Rotary International to eliminate polio.', 'Gates has sold or given away much of his stake in Microsoft -- he owns just over 1% of shares --\r\nand invested in a mix of stocks and other assets.', 'He remains a board member of Microsoft, the software firm he founded with Paul Allen in 1975. ', 'In late 2016, Gates announced the launch of a $1 billion Breakthrough Energy investment fund with about 20 other people. ', 'To date, Gates has donated $35.8 billion worth of Microsoft stock to the Gates Foundation.']","['When Gates was a kid, he spent so much time reading that his parents finally forbade him from bringing books to the dinner table.', 'Gates took a break from classes his senior year in high school to do programming with his friend Paul Allen at a power plant in North Bonneville, Washington.']",False,35800.0,25.0,5.0,True,,,,,,,,,,
2,Billionaires,2018,3,warren-buffett,,3,billionaires,84000.0,Finance and Investments,0,3.0,"{'name': 'Warren Buffett', 'uri': 'warren-buffett', 'imageExists': True, 'squareImage': '//specials-images.forbesimg.com/imageserve/5babb7f1a7ea4342a948b79a/416x416.jpg?background=000000&cropX1=748&cropX2=3075&cropY1=1753&cropY2=4082'}",True,Warren Buffett,87.0,United States,Nebraska,Omaha,Berkshire Hathaway,['Finance and Investments'],United States,Berkshire Hathaway,1521465773187,39,0.0,0.0,0.0,faris/5/2018/5381,3,True,8400.0,11.111111111111114,True,U,M,-1241467200000.0,225.0,Buffett,Warren,The World's Billionaires,CEO,"{'name': 'Berkshire Hathaway', 'uri': 'companies/berkshire-hathaway', 'title': 'CEO', 'totalEarningEst': False, 'salaryEst': False, 'government': False, 'revenue': 162500.0, 'revenueYear': 2012}",1520312400000,False,False,8.0,2.0,http://specials-images.forbesimg.com/imageserve/5babb7f1a7ea4342a948b79a/280x425.jpg?fit=scale&background=000000,Midwest,"Omaha, NE",//specials-images.forbesimg.com/imageserve/5babb7f1a7ea4342a948b79a/416x416.jpg?background=000000&cropX1=748&cropX2=3075&cropY1=1753&cropY2=4082,False,"['rank', 'finalWorth', 'personName', 'bios', 'bio']",False,"['Known as the ""Oracle of Omaha,"" Warren Buffett is one of the most successful investors of all time.', 'He runs Berkshire Hathaway, which owns more than 60 companies, including insurer Geico, battery maker Duracell and restaurant chain Dairy Queen.', 'The son of a U.S. congressman, he first bought stock at age 11 and first filed taxes at age 13.', 'He has committed to giving more than 99% of his fortune to charity. So far he has given nearly $32 billion.', 'With friend Bill Gates he launched The Giving Pledge in 2010, asking billionaires to donate half their wealth to charitable causes.']","['Buffett still lives in the same Omaha, Nebraska home he purchased in 1958 for $31,500.', ""Buffett was rejected for admission to Harvard Business School. He got a master's in economics from Columbia University instead.""]",,,,,,,,,,,,,,,
3,Billionaires,2018,3,bernard-arnault,,4,billionaires,72000.0,Fashion & Retail,0,1.0,"{'name': 'Bernard Arnault & family', 'uri': 'bernard-arnault', 'imageExists': True, 'squareImage': '//specials-images.forbesimg.com/imageserve/5dc05518ca425400079c659f/416x416.jpg?background=000000&cropX1=0&cropX2=4000&cropY1=1209&cropY2=5212'}",True,Bernard Arnault & family,69.0,France,,Paris,LVMH,['Fashion & Retail'],France,LVMH Moet Hennessy Louis Vuitton,1554476356855,47,0.0,0.0,0.0,faris/5/2018/4800,4,True,30500.0,73.49397590361446,False,U,M,-657226800000.0,123.0,Arnault,Bernard,The World's Billionaires,Chairman and CEO,"{'name': 'LVMH Moet Hennessy Louis Vuitton', 'uri': 'companies/lvmh-moet-hennessy-louis-vuitton', 'title': 'Chairman and CEO', 'government': False, 'revenue': 38200.0, 'revenueYear': 2012}",1520312400000,False,False,,11.0,http://specials-images.forbesimg.com/imageserve/5dc05518ca425400079c659f/280x425.jpg?fit=scale&background=000000,,,//specials-images.forbesimg.com/imageserve/5dc05518ca425400079c659f/416x416.jpg?background=000000&cropX1=0&cropX2=4000&cropY1=1209&cropY2=5212,False,"['rank', 'finalWorth', 'personName', 'bios', 'bio']",False,"[""One of the world's ultimate taste-makers, Bernard Arnault oversees an empire of 70 brands including Louis Vuitton and Sephora.  "", ""Record results at LVMH and a megadeal to buy out nearly all of Christian Dior helped boost Arnault's fortune by $30.5 billion in one year."", ""Arts patron is the visionary behind the $135 million Frank Gehry-designed Foundation Louis Vuitton museum in Paris' Bois de Boulogne, opened in 2014.""]","['His father made a small fortune in construction; Arnault put up $15 million from that business to buy Christian Dior in 1985.', 'Arnault apparently wooed his wife, Helene Mercier, a concert pianist, by playing Chopin and other classical composers']",False,,,,,,,,,,,,,,
4,Billionaires,2018,3,mark-zuckerberg,,5,billionaires,71000.0,Technology,0,4.0,"{'name': 'Mark Zuckerberg', 'uri': 'mark-zuckerberg', 'imageExists': True, 'squareImage': '//specials-images.forbesimg.com/imageserve/5c76b7d331358e35dd2773a9/416x416.jpg?background=000000&cropX1=0&cropX2=4401&cropY1=0&cropY2=4401'}",True,Mark Zuckerberg,33.0,United States,California,Palo Alto,Facebook,['Technology'],United States,Facebook,1521465773187,55,0.0,0.0,0.0,faris/5/2018/8047,5,True,15000.0,26.785714285714278,True,U,M,453355200000.0,225.0,Zuckerberg,Mark,The World's Billionaires,Entrepreneur,"{'name': 'Facebook', 'uri': 'companies/facebook', 'title': 'Cofounder, Chairman and CEO', 'totalEarningEst': False, 'salaryEst': False, 'government': False, 'revenue': 5100.0, 'revenueYear': 2012}",1520312400000,False,False,8.0,5.0,http://specials-images.forbesimg.com/imageserve/5c76b7d331358e35dd2773a9/280x425.jpg?fit=scale&background=000000,West,"San Jose, CA",//specials-images.forbesimg.com/imageserve/5c76b7d331358e35dd2773a9/416x416.jpg?background=000000&cropX1=0&cropX2=4401&cropY1=0&cropY2=4401,False,"['rank', 'finalWorth', 'personName', 'bios', 'bio']",False,"[""Mark Zuckerberg, Facebook's CEO, has seen his net worth soar as the social network's stock price has skyrocketed."", 'A Harvard dropout, he founded Facebook in 2004 at the age of 19.', 'Zuckerberg started Facebook at Harvard for students to match names with faces in class.', 'He took Facebook public in May 2012 and still owns nearly 17% of the stock.', 'Zuckerberg and his wife, Priscilla Chan, have pledged to give away 99% of their Facebook stake over their lifetimes.']","['Zuckerberg and his wife are spending $3 billion in an attempt to end, cure or manage all disease by the year 2100. ', ""Zuckerberg is planning to visit all 50 states in 2017, prompting some to speculate that he's planning to run for political office, which he has denied. ""]",,,,,,,,,,,,,,,
5,Billionaires,2018,3,amancio-ortega,,6,billionaires,70000.0,Fashion & Retail,0,1.0,"{'name': 'Amancio Ortega', 'uri': 'amancio-ortega', 'imageExists': True, 'squareImage': '//specials-images.forbesimg.com/imageserve/5c76b94131358e35dd27748e/416x416.jpg?background=000000&cropX1=179&cropX2=2232&cropY1=216&cropY2=2269'}",True,Amancio Ortega,81.0,Spain,,La Coruna,Zara,['Fashion & Retail'],Spain,,1556308286088,47,0.0,0.0,0.0,faris/5/2018/7034,6,True,-1300.0,-1.8232819074333833,True,D,M,-1065484800000.0,200.0,Ortega,Amancio,The World's Billionaires,,,1520294400000,False,False,,4.0,http://specials-images.forbesimg.com/imageserve/5c76b94131358e35dd27748e/280x425.jpg?fit=scale&background=000000,,,//specials-images.forbesimg.com/imageserve/5c76b94131358e35dd27748e/416x416.jpg?background=000000&cropX1=179&cropX2=2232&cropY1=216&cropY2=2269,False,"['rank', 'finalWorth', 'personName', 'bios', 'bio']",False,"['Amancio Ortega is one of the richest men in Europe and the wealthiest retailer in the world.', 'A pioneer in fast fashion, he cofounded Inditex, known for its Zara fashion chain, with his ex-wife Rosalia Mera (d. 2013) in 1975.', 'He owns about 60% of Madrid-listed Inditex, which has 8 brands, including Massimo Dutti and Pull & Bear, and 7,500 stores around the world. ', 'Ortega typically earns more than $400 million in dividends a year.', 'He has invested his dividends primarily into real estate in Madrid, Barcelona, London, Chicago, Miami and New York. ']","['Ortega first began his career manufacturing textiles through a small family company in 1963. ', 'He is the owner of Spanish soccer team Deportivo La Coruna.']",False,,,,,,,,,,,,,,
6,Billionaires,2018,3,carlos-slim-helu,,7,billionaires,67100.0,Telecom,0,1.0,"{'name': 'Carlos Slim Helu & family', 'uri': 'carlos-slim-helu', 'imageExists': True, 'squareImage': '//specials-images.forbesimg.com/imageserve/5c76ba144bbe6f24ad99c613/416x416.jpg?background=000000&cropX1=0&cropX2=3005&cropY1=389&cropY2=3395'}",True,Carlos Slim Helu & family,78.0,Mexico,,Mexico City,telecom,['Telecom'],Mexico,América Móvil,1554476356817,53,0.0,0.0,0.0,faris/5/2018/4466,7,True,12600.0,23.119266055045856,True,U,M,-944420400000.0,224.0,Slim Helu,Carlos,The World's Billionaires,Honorary Chairman,"{'name': 'América Móvil', 'title': 'Honorary Chairman', 'government': False}",1520312400000,False,False,,6.0,http://specials-images.forbesimg.com/imageserve/5c76ba144bbe6f24ad99c613/280x425.jpg?fit=scale&background=000000,,,//specials-images.forbesimg.com/imageserve/5c76ba144bbe6f24ad99c613/416x416.jpg?background=000000&cropX1=0&cropX2=3005&cropY1=389&cropY2=3395,False,"['rank', 'finalWorth', 'personName', 'bios', 'bio']",False,"[""Mexico's richest man, Carlos Slim Helu and his family control America Movil, Latin America's biggest mobile telecom firm."", ""With foreign telecom partners, Slim bought a stake in Telmex, Mexico's only phone company, in 1990. Telmex is now part of America Movil."", 'He also owns stakes in Mexican construction, consumer goods, mining and real estate companies and 17% of The New York Times.', ""His son-in-law Fernando Romero designed the Soumaya Museum in Mexico City, home to Slim's extensive, eclectic art collection.""]","['Every Sunday his father would give Carlos a 5-peso allowance, requiring him to record his purchases in a ledger.', 'Before going into business, Slim taught algebra at UNAM, a university in Mexico City.']",False,,,,,,,,,,,,,,
7,Billionaires,2018,3,charles-koch,,8,billionaires,60000.0,Diversified,0,5.0,"{'name': 'Charles Koch', 'uri': 'charles-koch', 'imageExists': True, 'squareImage': 'https://specials-images.forbesimg.com/imageserve/615c94bd2aac2936a52682d1/416x416.jpg?background=000000&cropX1=286&cropX2=848&cropY1=110&cropY2=672'}",True,Charles Koch,82.0,United States,Kansas,Wichita,Koch Industries,['Diversified'],United States,Koch Industries,1521465773186,41,0.0,0.0,0.0,faris/5/2018/5209,8,True,11700.0,24.22360248447204,False,U,M,-1078254000000.0,225.0,Koch,Charles,The World's Billionaires,CEO,"{'name': 'Koch Industries', 'uri': 'companies/koch-industries', 'title': 'CEO', 'totalEarningEst': False, 'salaryEst': False, 'government': False, 'revenue': 115000.0, 'revenueYear': 2011}",1520312400000,False,False,5.0,8.0,http://specials-images.forbesimg.com/imageserve/615c94bd2aac2936a52682d1/280x425.jpg?fit=scale&background=000000,Midwest,"Wichita, KS",https://specials-images.forbesimg.com/imageserve/615c94bd2aac2936a52682d1/416x416.jpg?background=000000&cropX1=286&cropX2=848&cropY1=110&cropY2=672,False,"['rank', 'finalWorth', 'personName', 'bios', 'bio']",False,"[""Charles Koch has been chairman and CEO of Koch Industries, America's second largest private company, since 1967."", 'The conglomerate has $100 billion in revenues from businesses including pipelines, chemicals, Dixie cups, Brawny paper towels and Stainmaster carpets. ', 'His father, Fred Koch, started the business in 1940 and improved a method of refining heavy oil into gasoline.', ""The Kansas native owns a 42% stake in the firm, as does his brother, David; they bought their two other brothers' shares in 1983. "", 'Koch has funded a number of think tanks, including the libertarian Cato Institute, the Heritage Foundation and the American Enterprise Institute.']","['Three Koch brothers (Charles, David and Bill) went to MIT; the trio were in the Beta Theta Pi fraternity and David and Charles played on the same club rugby team.  \r\n', ""An advocate of criminal justice reform, Charles' Koch Industries doesn't ask for a criminal history on initial job applications.\r\n""]",,,,,,,,,,,,,,,
8,Billionaires,2018,3,david-koch,,8,billionaires,60000.0,Diversified,0,5.0,"{'name': 'David Koch', 'uri': 'david-koch', 'imageExists': True, 'squareImage': '//specials-images.forbesimg.com/imageserve/5c7d6341a7ea434b351b9c44/416x416.jpg?background=000000&cropX1=690&cropX2=1812&cropY1=182&cropY2=1305'}",True,David Koch,77.0,United States,New York,New York,Koch Industries,['Diversified'],United States,Koch Industries,1521465783728,47,0.0,0.0,0.0,faris/5/2018/5211,9,True,11700.0,24.22360248447204,False,U,M,-936129600000.0,225.0,Koch,David,The World's Billionaires,Executive Vice President,"{'name': 'Koch Industries', 'uri': 'companies/koch-industries', 'title': 'Executive Vice President', 'totalEarningEst': False, 'salaryEst': False, 'government': False, 'revenue': 115000.0, 'revenueYear': 2011}",1520312400000,False,False,5.0,8.0,http://specials-images.forbesimg.com/imageserve/5c7d6341a7ea434b351b9c44/280x425.jpg?fit=scale&background=000000,Northeast,"New York, NY",//specials-images.forbesimg.com/imageserve/5c7d6341a7ea434b351b9c44/416x416.jpg?background=000000&cropX1=690&cropX2=1812&cropY1=182&cropY2=1305,False,"['rank', 'finalWorth', 'personName', 'bios', 'bio']",False,"[""David Koch shares majority control of Koch Industries, U.S's second largest private firm, with his brother Charles."", ""The Kansas native lives in New York City, and oversees Koch's chemical technology group."", 'Koch Industries, which has revenues of $100 billion, operates pipelines, produces fertilizer and makes Dixie cups and Quilted Northern toilet paper.', ""A well-known philanthropist, David is a donor to New York's Lincoln Center and Memorial-Sloan Kettering Cancer Center."", ""David Koch ran as the Libertarian Party's vice presidential candidate in 1980 on a ticket with Ed Clark; they won 1% of the vote. ""]","[""A college basketball star, Koch held MIT's record for most points scored in a game for 46 years."", 'Koch survived a runway plane collision in 1991; he felt his way down the aisle and pried open a door to escape.']",,,,,,,,,,,,,,,
9,Billionaires,2018,3,larry-ellison,,10,billionaires,58500.0,Technology,0,7.0,"{'name': 'Larry Ellison', 'uri': 'larry-ellison', 'imageExists': True, 'squareImage': '//specials-images.forbesimg.com/imageserve/5e8b62cfc095010007bffea0/416x416.jpg?background=000000&cropX1=0&cropX2=4529&cropY1=652&cropY2=5184'}",True,Larry Ellison,73.0,United States,California,Woodside,software,['Technology'],United States,Oracle,1554476357428,53,0.0,0.0,0.0,faris/5/2018/5574,10,True,6300.0,12.068965517241367,True,U,M,-800740800000.0,225.0,Ellison,Larry,The World's Billionaires,CTO and Founder,"{'name': 'Oracle', 'uri': 'companies/oracle', 'title': 'CTO and Founder', 'government': False}",1520312400000,False,False,9.0,7.0,http://specials-images.forbesimg.com/imageserve/5e8b62cfc095010007bffea0/280x425.jpg?fit=scale&background=000000,West,"San Francisco-Oakland-Fremont, CA",//specials-images.forbesimg.com/imageserve/5e8b62cfc095010007bffea0/416x416.jpg?background=000000&cropX1=0&cropX2=4529&cropY1=652&cropY2=5184,False,"['rank', 'finalWorth', 'personName', 'bios', 'bio']",False,"['Larry Ellison cofounded software firm Oracle in 1977 to tap into the growing need for customer relationship management databases.', 'He gave up the Oracle CEO role in 2014 but still serves as chairman of the board and chief technology officer.', ""As part of Oracle's push into cloud computing, it acquired cloud-software firm Netsuite for $9.3 billion in 2016."", 'In May 2016, Ellison pledged $200 million to the University of Southern California for a cancer treatment center.', 'In March 2018, Ellison launched a wellness startup called Sensei, whose first project is hydroponic farming on the Hawaiian island Lanai.']","['Ellison never finished college. He started out building databases for the CIA.', 'Daughter Megan has financed films such as Zero Dark Thirty and American Hustle; son David produced mainstream movies like The Terminator and Mission: Impossible.']",False,,,4.0,,,,,,,,,,,
