,name,year,month,uri,bio,rank,listUri,finalWorth,category,otherCompensation,countryRank,person,visible,personName,age,country,state,city,source,industries,countryOfCitizenship,organization,timestamp,version,moneyRank,pressRank,socialRank,naturalId,position,imageExists,change,changePercent,selfMade,status,gender,birthDate,countryId,lastName,firstName,listDescription,title,employment,date,wealthList,familyList,selfMadeRank,previousRank,thumbnail,residenceStateRegion,residenceMsa,squareImage,bioSuppress,csfDisplayFields,suppressOnProfiles,bios,abouts,premiumProfile,philanthropyScore,totalCharitableDonation,charitableDonationPercentage,impactInvestor,numberOfSiblings,numberOfSiblingsEst,qas,portraitImage,landscapeImage,investments,notableDeal,valueCreated,parentListUri,embargo
0,Billionaires,2019,3,jeff-bezos,,1,billionaires,131000.0,Technology,0,1.0,"{'name': 'Jeff Bezos', 'uri': 'jeff-bezos', 'imageExists': True, 'squareImage': 'https://specials-images.forbesimg.com/imageserve/5bb22ae84bbe6f67d2e82e05/416x416.jpg?background=000000&cropX1=627&cropX2=1639&cropY1=129&cropY2=1142'}",True,Jeff Bezos,55.0,United States,Washington,Seattle,Amazon,['Technology'],United States,Amazon.com,1565135157107,65,0.0,0.0,0.0,faris/5/2019/6713,1,True,19000.0,16.964285714285722,True,U,M,-188438400000.0,225.0,Bezos,Jeff,The World's Billionaires,Entrepreneur,"{'name': 'Amazon.com', 'uri': 'companies/amazon', 'title': 'CEO and Founder', 'government': False, 'revenue': 61100.0, 'revenueYear': 2012}",1551744000000,False,False,8.0,1.0,http://specials-images.forbesimg.com/imageserve/5bb22ae84bbe6f67d2e82e05/280x425.jpg?fit=scale&background=000000,West,"Seattle-Tacoma-Bellevue, WA",https://specials-images.forbesimg.com/imageserve/5bb22ae84bbe6f67d2e82e05/416x416.jpg?background=000000&cropX1=627&cropX2=1639&cropY1=129&cropY2=1142,False,"['rank', 'finalWorth', 'personName', 'bios', 'bio']",False,"['Jeff Bezos founded e-commerce colossus Amazon in 1994 out of his garage in Seattle. He remains CEO and owns a 16% stake.', 'He and his wife, MacKenzie, who are divorcing after 25 years of marriage, announced in April that he will transfer 4% of Amazon to her.', ""When the divorce goes through, likely in July, MacKenzie will get tens of billions worth of Amazon stock, making her one of the world's richest women. "", 'In 2018, Amazon pulled in $230 billion in revenues and a record $10 billion in net profit, up from $3 billion the prior year. ', 'In February, Amazon announced it was canceling plans for a second headquarters in Long Island City, New York after local lawmakers opposed the plan.', 'Bezos owns The Washington Post and Blue Origin, an aerospace company that is developing a rocket for commercial use.']","[""Growing up, Jeff Bezos worked summers on his grandfather's ranch repairing Caterpillar tractors."", ""Bezos met Google founders Larry Page and Sergey Brin in 1998 and managed to become one of the company's first angel investors, putting in $250,000.""]",False,2.0,,,,,,,,,,,,,
1,Billionaires,2019,3,bill-gates,,2,billionaires,96500.0,Technology,0,2.0,"{'name': 'Bill Gates', 'uri': 'bill-gates', 'imageExists': True, 'squareImage': 'https://specials-images.forbesimg.com/imageserve/62d599ede3ff49f348f9b9b4/416x416.jpg?background=000000&cropX1=155&cropX2=976&cropY1=340&cropY2=1161'}",True,Bill Gates,63.0,United States,Washington,Medina,Microsoft,['Technology'],United States,Bill & Melinda Gates Foundation,1570803191703,74,0.0,0.0,0.0,faris/5/2019/5772,2,True,6500.0,7.222222222222214,True,U,M,-447465600000.0,225.0,Gates,Bill,The World's Billionaires,Cofounder,"{'name': 'Bill & Melinda Gates Foundation', 'title': 'Cofounder', 'government': False}",1551826800000,False,False,8.0,2.0,http://specials-images.forbesimg.com/imageserve/62d599ede3ff49f348f9b9b4/280x425.jpg?fit=scale&background=000000,West,"Seattle-Tacoma-Bellevue, WA",https://specials-images.forbesimg.com/imageserve/62d599ede3ff49f348f9b9b4/416x416.jpg?background=000000&cropX1=155&cropX2=976&cropY1=340&cropY2=1161,False,"['rank', 'finalWorth', 'personName', 'bios', 'bio']",False,"[""With his wife Melinda, Bill Gates chairs the Bill & Melinda Gates Foundation, the world's largest private charitable foundation."", 'The foundation works to save lives and improve global health, and is working with Rotary International to eliminate polio.', 'Gates has sold or given away much of his stake in Microsoft -- he owns just over 1% of shares --and invested in a mix of stocks and other assets.', 'He remains a board member of Microsoft, the software firm he founded with Paul Allen in 1975. ', 'In late 2016, Gates announced the launch of a $1 billion Breakthrough Energy investment fund with about 20 other people. ', 'To date, Gates has donated $35.8 billion worth of Microsoft stock to the Gates Foundation.']","['When Gates was a kid, he spent so much time reading that his parents finally forbade him from bringing books to the dinner table.', 'Gates took a break from classes his senior year in high school to do programming with his friend Paul Allen at a power plant in North Bonneville, Washington.']",False,5.0,35800.0,25.0,True,,,,,,,,,,
2,Billionaires,2019,3,warren-buffett,,3,billionaires,82500.0,Finance and Investments,0,3.0,"{'name': 'Warren Buffett', 'uri': 'warren-buffett', 'imageExists': True, 'squareImage': '//specials-images.forbesimg.com/imageserve/5babb7f1a7ea4342a948b79a/416x416.jpg?background=000000&cropX1=748&cropX2=3075&cropY1=1753&cropY2=4082'}",True,Warren Buffett,88.0,United States,Nebraska,Omaha,Berkshire Hathaway,['Finance and Investments'],United States,Berkshire Hathaway,1562173187592,29,0.0,0.0,0.0,faris/5/2019/5381,3,True,-1500.0,-1.7857142857142918,True,D,M,-1241481600000.0,225.0,Buffett,Warren,The World's Billionaires,CEO,"{'name': 'Berkshire Hathaway', 'uri': 'companies/berkshire-hathaway', 'title': 'CEO', 'government': False, 'revenue': 162500.0, 'revenueYear': 2012}",1551744000000,False,False,8.0,3.0,http://specials-images.forbesimg.com/imageserve/5babb7f1a7ea4342a948b79a/280x425.jpg?fit=scale&background=000000,Midwest,"Omaha, NE",//specials-images.forbesimg.com/imageserve/5babb7f1a7ea4342a948b79a/416x416.jpg?background=000000&cropX1=748&cropX2=3075&cropY1=1753&cropY2=4082,False,"['rank', 'finalWorth', 'personName', 'bios', 'bio']",False,"['Known as the ""Oracle of Omaha,"" Warren Buffett is one of the most successful investors of all time.', 'Buffett runs Berkshire Hathaway, which owns more than 60 companies, including insurer Geico, battery maker Duracell and restaurant chain Dairy Queen.', 'The son of a U.S. congressman, he first bought stock at age 11 and first filed taxes at age 13.', ""He's promised to give away over 99% of his fortune. In 2018 he donated $3.4 billion, much of it to the foundation of friends Bill and Melinda Gates."", 'In 2010, he and Gates launched the Giving Pledge, asking billionaires to commit to donating half their wealth to charitable causes.']","['Buffett still lives in the same Omaha, Nebraska home he purchased in 1958 for $31,500', ""Buffett was rejected from Harvard Business School; he got a master's in economics from Columbia University instead.""]",False,5.0,35100.0,28.0,,,,,,,,,,,
3,Billionaires,2019,3,bernard-arnault,,4,billionaires,76000.0,Fashion & Retail,0,,"{'name': 'Bernard Arnault & family', 'uri': 'bernard-arnault', 'imageExists': True, 'squareImage': '//specials-images.forbesimg.com/imageserve/5dc05518ca425400079c659f/416x416.jpg?background=000000&cropX1=0&cropX2=4000&cropY1=1209&cropY2=5212'}",True,Bernard Arnault & family,70.0,France,,Paris,LVMH,['Fashion & Retail'],France,LVMH Moet Hennessy Louis Vuitton,1587679229546,76,,,,faris/5/2019/4800,4,True,,,False,U,M,-657244800000.0,,Arnault,Bernard,The World's Billionaires,Chairman and CEO,"{'name': 'LVMH Moet Hennessy Louis Vuitton', 'uri': 'companies/lvmh-moet-hennessy-louis-vuitton', 'title': 'Chairman and CEO', 'government': False, 'revenue': 38200.0, 'revenueYear': 2012}",1551826800000,False,False,,,http://specials-images.forbesimg.com/imageserve/5dc05518ca425400079c659f/280x425.jpg?fit=scale&background=000000,,,//specials-images.forbesimg.com/imageserve/5dc05518ca425400079c659f/416x416.jpg?background=000000&cropX1=0&cropX2=4000&cropY1=1209&cropY2=5212,False,"['rank', 'finalWorth', 'personName', 'bios', 'bio']",False,"[""One of the world's ultimate taste-makers, Bernard Arnault oversees an empire of 70 brands including Louis Vuitton and Sephora.  "", 'His luxury goods group, LVMH, posted record sales and profits in 2018, thanks in part to increased spending by Chinese customers.', 'The arts patron is the visionary behind the $135 million Frank Gehry-designed Foundation Louis Vuitton museum near Paris, opened in 2014.\r\n', 'Arnault and LVMH pledged over $220 million to help repair the Notre Dame cathedral in Paris following a devastating fire in mid April 2019.', ""His daughter Delphine is executive vice president of Louis Vuitton, and a member of LVMH's executive committee."", 'His father made a small fortune in construction; Arnault put up $15 million from that business to buy Christian Dior in 1985.']","['Arnault apparently wooed his wife, Helene Mercier, a concert pianist, by playing Chopin and other classical composers', 'LVMH is spending $3.2 billion for luxury hospitality group, Belmond, which owns or manages 46 hotels, trains and river cruises including Cipriani in Venice.']",False,,,,,,,,,,,,,,
4,Billionaires,2019,3,carlos-slim-helu,,5,billionaires,64000.0,Telecom,0,,"{'name': 'Carlos Slim Helu & family', 'uri': 'carlos-slim-helu', 'imageExists': True, 'squareImage': '//specials-images.forbesimg.com/imageserve/5c76ba144bbe6f24ad99c613/416x416.jpg?background=000000&cropX1=0&cropX2=3005&cropY1=389&cropY2=3395'}",True,Carlos Slim Helu & family,79.0,Mexico,,Mexico City,telecom,['Telecom'],Mexico,América Móvil,1587679229711,78,,,,faris/5/2019/4466,5,True,,,True,D,M,-944438400000.0,,Slim Helu,Carlos,The World's Billionaires,Honorary Chairman,"{'name': 'América Móvil', 'uri': 'companies/america-movil', 'title': 'Honorary Chairman', 'government': False}",1551826800000,False,False,,,http://specials-images.forbesimg.com/imageserve/5c76ba144bbe6f24ad99c613/280x425.jpg?fit=scale&background=000000,,,//specials-images.forbesimg.com/imageserve/5c76ba144bbe6f24ad99c613/416x416.jpg?background=000000&cropX1=0&cropX2=3005&cropY1=389&cropY2=3395,False,"['rank', 'finalWorth', 'personName', 'bios', 'bio']",False,"[""Mexico's richest man, Carlos Slim Helu and his family control America Movil, Latin America's biggest mobile telecom firm."", ""With foreign telecom partners, Slim bought a stake in Telmex, Mexico's only phone company, in 1990. Telmex is now part of America Movil."", 'He also owns stakes in Mexican construction, consumer goods, mining and real estate companies and 17% of The New York Times.', ""His son-in-law Fernando Romero designed the Soumaya Museum in Mexico City, home to Slim's extensive, eclectic art collection.""]","['Every Sunday his father would give Carlos a 5-peso allowance, requiring him to record his purchases in a ledger.', 'Before going into business, Slim taught algebra at UNAM, a university in Mexico City.']",False,,,,,,,,,,,,,,
5,Billionaires,2019,3,amancio-ortega,,6,billionaires,62700.0,Fashion & Retail,0,,"{'name': 'Amancio Ortega', 'uri': 'amancio-ortega', 'imageExists': True, 'squareImage': '//specials-images.forbesimg.com/imageserve/5c76b94131358e35dd27748e/416x416.jpg?background=000000&cropX1=179&cropX2=2232&cropY1=216&cropY2=2269'}",True,Amancio Ortega,82.0,Spain,,La Coruna,Zara,['Fashion & Retail'],Spain,,1614491014273,72,,,,faris/5/2019/7034,6,True,,,True,D,M,-1065484800000.0,,Ortega,Amancio,The World's Billionaires,,,1551826800000,False,False,,,http://specials-images.forbesimg.com/imageserve/5c76b94131358e35dd27748e/280x425.jpg?fit=scale&background=000000,,,//specials-images.forbesimg.com/imageserve/5c76b94131358e35dd27748e/416x416.jpg?background=000000&cropX1=179&cropX2=2232&cropY1=216&cropY2=2269,False,"['rank', 'finalWorth', 'personName', 'bios', 'bio']",False,"['Amancio Ortega is one of the richest men in Europe and the wealthiest retailer in the world.', 'A pioneer in fast fashion, he cofounded Inditex, known for its Zara fashion chain, with his ex-wife Rosalia Mera (d. 2013) in 1975.', 'He owns about 60% of Madrid-listed Inditex, which has 8 brands, including Massimo Dutti and Pull & Bear, and 7,500 stores around the world. ', 'Ortega typically earns more than $400 million in dividends a year.', 'He has invested his dividends primarily into real estate in Madrid, Barcelona, London, Chicago, Miami and New York. ']",['Ortega first began his career manufacturing textiles through a small family company in 1963. '],False,,,,,,,,,,,,,,
6,Billionaires,2019,3,larry-ellison,,7,billionaires,62500.0,Technology,0,4.0,"{'name': 'Larry Ellison', 'uri': 'larry-ellison', 'imageExists': True, 'squareImage': '//specials-images.forbesimg.com/imageserve/5e8b62cfc095010007bffea0/416x416.jpg?background=000000&cropX1=0&cropX2=4529&cropY1=652&cropY2=5184'}",True,Larry Ellison,74.0,United States,California,Woodside,software,['Technology'],United States,Oracle,1561400522013,32,0.0,0.0,0.0,faris/5/2019/5574,7,True,4000.0,6.837606837606842,True,U,M,-800755200000.0,225.0,Ellison,Larry,The World's Billionaires,CTO and Founder,"{'name': 'Oracle', 'uri': 'companies/oracle', 'title': 'CTO and Founder', 'government': False}",1551744000000,False,False,9.0,10.0,http://specials-images.forbesimg.com/imageserve/5e8b62cfc095010007bffea0/280x425.jpg?fit=scale&background=000000,West,"San Francisco-Oakland-Fremont, CA",//specials-images.forbesimg.com/imageserve/5e8b62cfc095010007bffea0/416x416.jpg?background=000000&cropX1=0&cropX2=4529&cropY1=652&cropY2=5184,False,"['rank', 'finalWorth', 'personName', 'bios', 'bio']",False,"['Larry Ellison cofounded software firm Oracle in 1977 to tap into the growing need for customer relationship management databases.', 'He gave up the Oracle CEO role in 2014 but still serves as chairman of the board and chief technology officer.', ""As part of Oracle's push into cloud computing, it acquired cloud-software firm Netsuite for $9.3 billion in 2016."", 'In May 2016, Ellison pledged $200 million to the University of Southern California for a cancer treatment center.', 'In March 2018, Ellison launched a wellness startup called Sensei, whose first project is hydroponic farming on the Hawaiian island Lanai.', ""Ellison joined Tesla's board in December 2018, after purchasing 3 million Tesla shares earlier that year.""]","['Ellison never finished college. He started out building databases for the CIA.', 'Daughter Megan has financed films such as Zero Dark Thirty and American Hustle; son David produced mainstream movies like The Terminator and Mission: Impossible.']",False,4.0,,,,,,,,,,,,,
7,Billionaires,2019,3,mark-zuckerberg,,8,billionaires,62300.0,Technology,0,5.0,"{'name': 'Mark Zuckerberg', 'uri': 'mark-zuckerberg', 'imageExists': True, 'squareImage': '//specials-images.forbesimg.com/imageserve/5c76b7d331358e35dd2773a9/416x416.jpg?background=000000&cropX1=0&cropX2=4401&cropY1=0&cropY2=4401'}",True,Mark Zuckerberg,34.0,United States,California,Palo Alto,Facebook,['Technology'],United States,Facebook,1570041158095,45,0.0,0.0,0.0,faris/5/2019/8047,8,True,-8700.0,-12.25352112676056,True,D,M,453355200000.0,225.0,Zuckerberg,Mark,The World's Billionaires,Entrepreneur,"{'name': 'Facebook', 'uri': 'companies/facebook', 'title': 'Cofounder, Chairman and CEO', 'government': False, 'revenue': 5100.0, 'revenueYear': 2012}",1551762000000,False,False,8.0,5.0,http://specials-images.forbesimg.com/imageserve/5c76b7d331358e35dd2773a9/280x425.jpg?fit=scale&background=000000,West,"San Jose, CA",//specials-images.forbesimg.com/imageserve/5c76b7d331358e35dd2773a9/416x416.jpg?background=000000&cropX1=0&cropX2=4401&cropY1=0&cropY2=4401,False,"['rank', 'finalWorth', 'personName', 'bios', 'bio']",False,"['After facing another year of criticism for fake news and abuse on Facebook, CEO Mark Zuckerberg said his priority in 2019 is tackling social issues.', ""In April 2018, he testified before Congress after it was revealed that Facebook shared users' data with political consulting firm Cambridge Analytica."", 'Zuckerberg started Facebook at Harvard in 2004 at the age of 19 for students to match names with faces in class.', 'He took Facebook public in May 2012 and still owns about 15% of the stock.', 'In December 2015, Zuckerberg and his wife, Priscilla Chan, pledged to give away 99% of their Facebook stake over their lifetimes.']","['Zuckerberg and his wife are spending $3 billion in an attempt to end, cure or manage all disease by the year 2100. ', 'His goal for 2018 is to make sure Facebook is good ""for people\'s well-being and for society,"" amid recent backlash on social media\'s harmful effects.']",False,5.0,,,True,,,,,,,,,,
8,Billionaires,2019,3,michael-bloomberg,,9,billionaires,55500.0,Media & Entertainment,0,6.0,"{'name': 'Michael Bloomberg', 'uri': 'michael-bloomberg', 'imageExists': True, 'squareImage': '//specials-images.forbesimg.com/imageserve/5c76b4104bbe6f24ad99c35d/416x416.jpg?background=000000&cropX1=165&cropX2=5613&cropY1=321&cropY2=5769'}",True,Michael Bloomberg,77.0,United States,New York,New York,Bloomberg LP,['Media & Entertainment'],United States,Bloomberg,1561542434107,69,0.0,0.0,0.0,faris/5/2019/5640,9,True,5500.0,11.000000000000014,True,U,M,-879811200000.0,225.0,Bloomberg,Michael,The World's Billionaires,CEO,"{'name': 'Bloomberg', 'uri': 'companies/bloomberg', 'title': 'CEO', 'government': False}",1551744000000,False,False,8.0,11.0,http://specials-images.forbesimg.com/imageserve/5c76b4104bbe6f24ad99c35d/280x425.jpg?fit=scale&background=000000,Northeast,"New York, NY",//specials-images.forbesimg.com/imageserve/5c76b4104bbe6f24ad99c35d/416x416.jpg?background=000000&cropX1=165&cropX2=5613&cropY1=321&cropY2=5769,False,"['rank', 'finalWorth', 'personName', 'bios', 'bio']",False,"['Michael Bloomberg cofounded financial information and media company Bloomberg LP in 1981.', 'He put in the seed funding for the company and now owns 88% of the business, which has revenues north of $9 billion. ', 'Bloomberg got his start on Wall Street in 1966 with an entry level job at investment bank Salomon Brothers. He was fired 15 years later.', 'An active philanthropist, he has donated more than $5 billion to gun control, climate change and other causes.', 'He plans to spend at least $500 million to defeat Donald Trump in 2020. ']","['In November 2018 he pledged $1.8 billion to Johns Hopkins University, his undergraduate alma mater, adding to $1.5 billion he had already given the school.', 'The Mayor of New York City for 12 years, Bloomberg is one of just four individuals to have served that long.']",False,5.0,6000.0,10.0,,,,,,,,,,,
9,Billionaires,2019,3,larry-page,,10,billionaires,50800.0,Technology,0,7.0,"{'name': 'Larry Page', 'uri': 'larry-page', 'imageExists': True, 'squareImage': '//specials-images.forbesimg.com/imageserve/5c76bcaaa7ea43100043c836/416x416.jpg?background=000000&cropX1=227&cropX2=2022&cropY1=22&cropY2=1817'}",True,Larry Page,45.0,United States,California,Palo Alto,Google,['Technology'],United States,Google,1575418493691,52,0.0,0.0,0.0,faris/5/2019/7441,10,True,2000.0,4.098360655737693,True,U,M,101952000000.0,225.0,Page,Larry,The World's Billionaires,Entrepreneur,"{'name': 'Google', 'uri': 'companies/google', 'title': 'CEO', 'government': False, 'revenue': 50200.0, 'revenueYear': 2012}",1551826800000,False,False,8.0,12.0,http://specials-images.forbesimg.com/imageserve/5c76bcaaa7ea43100043c836/280x425.jpg?fit=scale&background=000000,West,"San Jose, CA",//specials-images.forbesimg.com/imageserve/5c76bcaaa7ea43100043c836/416x416.jpg?background=000000&cropX1=227&cropX2=2022&cropY1=22&cropY2=1817,False,"['rank', 'finalWorth', 'personName', 'bios', 'bio']",False,"['Larry Page sits at the helm of Alphabet, the parent company of Google, healthcare division Calico, smart home appliance division Nest and more.', 'He cofounded Google in 1998 with fellow Stanford Ph.D. student Sergey Brin.', ""With Brin, Page invented Google's PageRank algorithm, which powers the search engine.\r\n \r\n"", ""Page was Google's first CEO until 2001. After serving as president of products, he took the CEO job again in 2011. ""]","['Page is reportedly personally funding two secretive flying car startups: Zee.Aero and Kitty Hawk.', 'Page is a clean energy advocate, and his Palo Alto houses use fuel cells and geothermal energy.']",False,4.0,,,,,,,,,,,,,
