,name,year,month,uri,rank,listUri,finalWorth,category,otherCompensation,person,visible,personName,age,country,state,city,source,industries,countryOfCitizenship,organization,timestamp,version,naturalId,position,imageExists,selfMade,status,gender,birthDate,lastName,firstName,listDescription,title,employment,date,wealthList,familyList,selfMadeRank,thumbnail,residenceStateRegion,residenceMsa,squareImage,bioSuppress,csfDisplayFields,suppressOnProfiles,qas,bios,abouts,premiumProfile,philanthropyScore,impactInvestor,parentListUri,embargo,totalCharitableDonation,charitableDonationPercentage,numberOfSiblings,numberOfSiblingsEst,portraitImage,landscapeImage,bio,notableDeal,valueCreated,clients
0,Billionaires,2020,4,jeff-bezos,1,billionaires,113000.0,Technology,0,"{'name': 'Jeff Bezos', 'uri': 'jeff-bezos', 'imageExists': True, 'squareImage': 'https://specials-images.forbesimg.com/imageserve/5bb22ae84bbe6f67d2e82e05/416x416.jpg?background=000000&cropX1=627&cropX2=1639&cropY1=129&cropY2=1142'}",True,Jeff Bezos,56.0,United States,Washington,Seattle,Amazon,['Technology'],United States,Amazon,1617122251021,64,faris/5/2020/6713,1,True,True,D,M,-188420400000.0,Bezos,Jeff,The World's Billionaires,Entrepreneur,"{'name': 'Amazon', 'uri': 'companies/amazon', 'title': 'CEO and Founder', 'government': False, 'revenue': 61100.0, 'revenueYear': 2012, 'featuredExecutive': False}",1586314800000,False,False,8.0,http://specials-images.forbesimg.com/imageserve/5bb22ae84bbe6f67d2e82e05/280x425.jpg?fit=scale&background=000000,West,"Seattle-Tacoma-Bellevue, WA",https://specials-images.forbesimg.com/imageserve/5bb22ae84bbe6f67d2e82e05/416x416.jpg?background=000000&cropX1=627&cropX2=1639&cropY1=129&cropY2=1142,False,"['rank', 'finalWorth', 'personName', 'bios', 'bio']",False,"[{'question': 'Innovative Leaders: 12-month Sales Growth, %', 'answer': '21.11', 'hidden': False}, {'question': 'Innovative Leaders: Company Innovation Premium', 'answer': '71.49', 'hidden': False}]","['Jeff Bezos founded e-commerce colossus Amazon in 1994 out of his garage in Seattle. He runs it as CEO and owns an 10.6% stake.', 'Between March and April 2020, amid the pandemic, Amazon said it hired 175,000 additional workers. ', 'In April 2020, Bezos said he would give $100 million to Feed America, a nonprofit that operates food banks and food pantries across the country.', 'Amazon has faced criticism from U.S. senators and the general public for its treatment of warehouse workers during the coronavirus pandemic.', 'He divorced his wife MacKenzie in 2019 after 25 years of marriage and transferred a quarter of his Amazon stake to her.', 'In 2019, Amazon notched $280.5 billion in revenues and a record $11.5 billion in net profit.', 'Bezos owns The Washington Post and Blue Origin, an aerospace company that is developing rockets for commercial use.']","[""Growing up, Jeff Bezos worked summers on his grandfather's ranch repairing Caterpillar tractors."", ""Bezos met Google founders Larry Page and Sergey Brin in 1998 and managed to become one of the company's first angel investors, putting in $250,000.""]",False,2.0,,,,,,,,,,,,,
1,Billionaires,2020,4,bill-gates,2,billionaires,98000.0,Technology,0,"{'name': 'Bill Gates', 'uri': 'bill-gates', 'imageExists': True, 'squareImage': 'https://specials-images.forbesimg.com/imageserve/62d599ede3ff49f348f9b9b4/416x416.jpg?background=000000&cropX1=155&cropX2=976&cropY1=340&cropY2=1161'}",True,Bill Gates,64.0,United States,Washington,Medina,Microsoft,['Technology'],United States,Bill & Melinda Gates Foundation,1617122251349,47,faris/5/2020/5772,2,True,True,U,M,-447451200000.0,Gates,Bill,The World's Billionaires,Cofounder,"{'name': 'Bill & Melinda Gates Foundation', 'title': 'Cofounder', 'government': False, 'featuredExecutive': False}",1586314800000,False,False,8.0,http://specials-images.forbesimg.com/imageserve/62d599ede3ff49f348f9b9b4/280x425.jpg?fit=scale&background=000000,West,"Seattle-Tacoma-Bellevue, WA",https://specials-images.forbesimg.com/imageserve/62d599ede3ff49f348f9b9b4/416x416.jpg?background=000000&cropX1=155&cropX2=976&cropY1=340&cropY2=1161,False,"['rank', 'finalWorth', 'personName', 'bios', 'bio']",False,,"[""With his wife Melinda, Bill Gates chairs the Bill & Melinda Gates Foundation, the world's largest private charitable foundation."", 'In May 2020, the Gates Foundation said it would spend $300 million to fight the coronavirus pandemic, funding treatment, detection and vaccines.', 'Gates has sold or given away much of his stake in Microsoft -- he owns just over 1% of shares -- and invested in a mix of stocks and other assets.', 'In mid-March 2020, Gates stepped down as a board member of Microsoft, the software firm he founded with Paul Allen (d. 2018) in 1975.', 'The foundation works to improve global health and to create equal opportunity for people around the globe.', 'To date, Gates has donated $35.8 billion worth of Microsoft stock to the Gates Foundation.']","['When Gates was a kid, he spent so much time reading that his parents finally forbade him from bringing books to the dinner table.', 'Gates took a break from classes his senior year in high school to do programming with his friend Paul Allen at a power plant in North Bonneville, Washington.']",False,5.0,True,,,,,,,,,,,,
2,Billionaires,2020,4,bernard-arnault,3,billionaires,76000.0,Fashion & Retail,0,"{'name': 'Bernard Arnault & family', 'uri': 'bernard-arnault', 'imageExists': True, 'squareImage': '//specials-images.forbesimg.com/imageserve/5dc05518ca425400079c659f/416x416.jpg?background=000000&cropX1=0&cropX2=4000&cropY1=1209&cropY2=5212'}",True,Bernard Arnault & family,71.0,France,,Paris,LVMH,['Fashion & Retail'],France,LVMH Moet Hennessy Louis Vuitton,1617669417983,34,faris/5/2020/4800,3,True,False,E,M,-657244800000.0,Arnault,Bernard,The World's Billionaires,Chairman and CEO,"{'name': 'LVMH Moet Hennessy Louis Vuitton', 'uri': 'companies/lvmh-moet-hennessy-louis-vuitton', 'title': 'Chairman and CEO', 'government': False, 'revenue': 38200.0, 'revenueYear': 2012}",1586300400000,False,False,,http://specials-images.forbesimg.com/imageserve/5dc05518ca425400079c659f/280x425.jpg?fit=scale&background=000000,,,//specials-images.forbesimg.com/imageserve/5dc05518ca425400079c659f/416x416.jpg?background=000000&cropX1=0&cropX2=4000&cropY1=1209&cropY2=5212,False,"['rank', 'finalWorth', 'personName', 'bios', 'bio']",False,,"[""One of the world's ultimate taste-makers, Bernard Arnault oversees an empire of 70 brands including Louis Vuitton and Sephora."", 'In November 2019, LVMH struck a deal to buy American jeweler Tiffany & Co for $16.2 billion, believed to be the biggest luxury brand acquisition ever.', 'LVMH spent $3.2 billion in 2019 for luxury hospitality group, Belmond, which owns or manages 46 hotels, trains and river cruises.', 'His father made a small fortune in construction; Arnault got his start by putting up $15 million from that business to buy Christian Dior in 1985.', ""Four of Arnault's five children work in corners of the LVMH empire: Frédéric, Delphine, Antoine and Alexandre.""]","['Arnault apparently wooed his wife, Helene Mercier, a concert pianist, by playing Chopin and other classical composers on the piano.', 'Every Saturday, Arnault visits as many as 25 stores -- including both his and those of his competitors.']",False,,,,,,,,,,,,,,
3,Billionaires,2020,4,warren-buffett,4,billionaires,67500.0,Finance & Investments,0,"{'name': 'Warren Buffett', 'uri': 'warren-buffett', 'imageExists': True, 'squareImage': '//specials-images.forbesimg.com/imageserve/5babb7f1a7ea4342a948b79a/416x416.jpg?background=000000&cropX1=748&cropX2=3075&cropY1=1753&cropY2=4082'}",True,Warren Buffett,89.0,United States,Nebraska,Omaha,Berkshire Hathaway,['Finance & Investments'],United States,Berkshire Hathaway,1617122251128,38,faris/5/2020/5381,4,True,True,D,M,-1241467200000.0,Buffett,Warren,The World's Billionaires,CEO,"{'name': 'Berkshire Hathaway', 'uri': 'companies/berkshire-hathaway', 'title': 'CEO', 'government': False, 'revenue': 162500.0, 'revenueYear': 2012, 'featuredExecutive': False}",1586314800000,False,False,8.0,http://specials-images.forbesimg.com/imageserve/5babb7f1a7ea4342a948b79a/280x425.jpg?fit=scale&background=000000,Midwest,"Omaha, NE",//specials-images.forbesimg.com/imageserve/5babb7f1a7ea4342a948b79a/416x416.jpg?background=000000&cropX1=748&cropX2=3075&cropY1=1753&cropY2=4082,False,"['rank', 'finalWorth', 'personName', 'bios', 'bio']",False,,"['Known as the ""Oracle of Omaha,"" Warren Buffett is one of the most successful investors of all time.', 'Buffett runs Berkshire Hathaway, which owns more than 60 companies, including insurer Geico, battery maker Duracell and restaurant chain Dairy Queen.', 'The son of a U.S. congressman, he first bought stock at age 11 and first filed taxes at age 13.', ""He has promised to donate over 99% of his wealth. So far he has given more than $41 billion, mostly to the Gates Foundation and his kids' foundations."", 'In 2010, he and Bill Gates launched the Giving Pledge, asking billionaires to commit to donating at least half of their wealth to charitable causes.']","['Buffett still lives in the same Omaha, Nebraska home he purchased in 1958 for $31,500.', ""Buffett was rejected from Harvard Business School; he got a master's in economics from Columbia University instead.""]",False,5.0,,,,,,,,,,,,,
4,Billionaires,2020,4,larry-ellison,5,billionaires,59000.0,Technology,0,"{'name': 'Larry Ellison', 'uri': 'larry-ellison', 'imageExists': True, 'squareImage': '//specials-images.forbesimg.com/imageserve/5e8b62cfc095010007bffea0/416x416.jpg?background=000000&cropX1=0&cropX2=4529&cropY1=652&cropY2=5184'}",True,Larry Ellison,75.0,United States,California,Woodside,software,['Technology'],United States,Oracle,1617122251417,43,faris/5/2020/5574,5,True,True,D,M,-800740800000.0,Ellison,Larry,The World's Billionaires,CTO and Founder,"{'name': 'Oracle', 'uri': 'companies/oracle', 'title': 'CTO and Founder', 'government': False, 'featuredExecutive': False}",1586314800000,False,False,9.0,http://specials-images.forbesimg.com/imageserve/5e8b62cfc095010007bffea0/280x425.jpg?fit=scale&background=000000,West,,//specials-images.forbesimg.com/imageserve/5e8b62cfc095010007bffea0/416x416.jpg?background=000000&cropX1=0&cropX2=4529&cropY1=652&cropY2=5184,False,"['rank', 'finalWorth', 'personName', 'bios', 'bio']",False,,"['Larry Ellison is chairman, chief technology officer and cofounder of software giant Oracle, of which he owns about 35.4%.', 'He gave up the Oracle CEO role in 2014 after 37 years at the helm.', 'Oracle has grown in part through steady acquisitions of software companies, the biggest of which was $9.3 billion for Netsuite in 2016.', 'In May 2016, Ellison pledged $200 million to the University of Southern California for a cancer treatment center.', 'In 2012, Ellison spent $300 million to buy nearly all of Hawaiian island Lanai; so far, he has built a hydroponic farm and a luxury spa there.', ""Ellison joined Tesla's board in December 2018, after purchasing 3 million Tesla shares earlier that year.""]","['Ellison never finished college. He started out building databases for the CIA.', 'Daughter Megan has financed films such as Zero Dark Thirty and American Hustle; son David produced mainstream movies like The Terminator and Mission: Impossible.']",False,4.0,,,,,,,,,,,,,
5,Billionaires,2020,4,amancio-ortega,6,billionaires,55100.0,Fashion & Retail,0,"{'name': 'Amancio Ortega', 'uri': 'amancio-ortega', 'imageExists': True, 'squareImage': '//specials-images.forbesimg.com/imageserve/5c76b94131358e35dd27748e/416x416.jpg?background=000000&cropX1=179&cropX2=2232&cropY1=216&cropY2=2269'}",True,Amancio Ortega,84.0,Spain,,La Coruna,Zara,['Fashion & Retail'],Spain,,1638311879942,36,faris/5/2020/7034,6,True,True,D,M,-1065484800000.0,Ortega,Amancio,The World's Billionaires,,,1586217600000,False,False,,http://specials-images.forbesimg.com/imageserve/5c76b94131358e35dd27748e/280x425.jpg?fit=scale&background=000000,,,//specials-images.forbesimg.com/imageserve/5c76b94131358e35dd27748e/416x416.jpg?background=000000&cropX1=179&cropX2=2232&cropY1=216&cropY2=2269,False,"['rank', 'finalWorth', 'personName', 'bios', 'bio']",False,,"['Amancio Ortega of Spain is one of the wealthiest clothing retailers in the world.', 'A pioneer in fast fashion, he cofounded Inditex, known for its Zara fashion chain, with his ex-wife Rosalia Mera (d. 2013) in 1975.', 'He owns about 60% of Madrid-listed Inditex, which has 8 brands, including Massimo Dutti and Pull & Bear, and 7,500 stores around the world. ', 'Ortega typically earns more than $400 million in dividends a year.', 'He has invested his dividends primarily into real estate in Madrid, Barcelona, London, Chicago, Miami and New York. ']",['Ortega first began his career manufacturing textiles through a small family company in 1963. '],False,,,billionaires,False,,,,,,,,,,
6,Billionaires,2020,4,mark-zuckerberg,7,billionaires,54700.0,Technology,0,"{'name': 'Mark Zuckerberg', 'uri': 'mark-zuckerberg', 'imageExists': True, 'squareImage': '//specials-images.forbesimg.com/imageserve/5c76b7d331358e35dd2773a9/416x416.jpg?background=000000&cropX1=0&cropX2=4401&cropY1=0&cropY2=4401'}",True,Mark Zuckerberg,35.0,United States,California,Palo Alto,Facebook,['Technology'],United States,Facebook,1617122251131,34,faris/5/2020/8047,7,True,True,D,M,453355200000.0,Zuckerberg,Mark,The World's Billionaires,Entrepreneur,"{'name': 'Facebook', 'uri': 'companies/facebook', 'title': 'CEO', 'government': False, 'featuredExecutive': False}",1586314800000,False,False,8.0,http://specials-images.forbesimg.com/imageserve/5c76b7d331358e35dd2773a9/280x425.jpg?fit=scale&background=000000,West,"San Jose, CA",//specials-images.forbesimg.com/imageserve/5c76b7d331358e35dd2773a9/416x416.jpg?background=000000&cropX1=0&cropX2=4401&cropY1=0&cropY2=4401,False,"['rank', 'finalWorth', 'personName', 'bios', 'bio']",False,"[{'question': 'Innovative Leaders: 12-month Sales Growth, %', 'answer': '29.09', 'hidden': False}, {'question': 'Innovative Leaders: Company Innovation Premium', 'answer': '61.84', 'hidden': False}]","['Facebook, the social network Zuckerberg runs, has become a go-to communications tool during the coronavirus pandemic lockdown.', ""More than 1,000 advertisers joined boycott in June to protest Facebook's lax policing of hate speech and misleading posts from politicians. "", 'Zuckerberg started Facebook at Harvard in 2004 at the age of 19 for students to match names with photos of classmates.', 'He took Facebook public in May 2012 and still owns about 15% of the stock.', 'In December 2015, Zuckerberg and his wife, Priscilla Chan, pledged to give away 99% of their Facebook stake over their lifetimes.']","['Zuckerberg and his wife, Priscilla Chan, are spending $3 billion in an attempt to end, cure or manage all disease by the year 2100. ', 'In January 2019, Mark Zuckerberg purchased $59 million worth of waterfront property on Lake Tahoe in California.']",False,5.0,True,,,,,,,,,,,,
7,Billionaires,2020,4,jim-walton,8,billionaires,54600.0,Fashion & Retail,0,"{'name': 'Jim Walton', 'uri': 'jim-walton', 'imageExists': True, 'squareImage': '//specials-images.forbesimg.com/imageserve/5c7ef2fea7ea434b351bca5a/416x416.jpg?background=000000&cropX1=49&cropX2=934&cropY1=65&cropY2=951'}",True,Jim Walton,71.0,United States,Arkansas,Bentonville,Walmart,['Fashion & Retail'],United States,"Arvest Bank Group, Inc.",1617122262745,36,faris/5/2020/5720,8,True,False,U,M,-680644800000.0,Walton,Jim,The World's Billionaires,Chairman and CEO,"{'name': 'Arvest Bank Group, Inc.', 'title': 'Chairman and CEO', 'government': False, 'featuredExecutive': False}",1586314800000,False,False,2.0,http://specials-images.forbesimg.com/imageserve/5c7ef2fea7ea434b351bca5a/280x425.jpg?fit=scale&background=000000,South,"Fayetteville, AR",//specials-images.forbesimg.com/imageserve/5c7ef2fea7ea434b351bca5a/416x416.jpg?background=000000&cropX1=49&cropX2=934&cropY1=65&cropY2=951,False,"['rank', 'finalWorth', 'personName', 'bios', 'bio']",False,,"['Jim Walton is the youngest son of Walmart founder Sam Walton.', ""He is chairman of the family's Arvest Bank, which today boasts assets of more than $20 billion."", ""Jim sat on Walmart's board for more than a decade before yielding the seat to his son, Steuart, in June 2016."", ""Collectively, he and other heirs of Sam Walton own about half of Walmart's stock.\r\n"", 'Jim and sister Alice are spearheading a program that will issue $300 million in bonds to help charter schools invest in facilities. \r\n']","['Jim Walton donated $1.2 billion in stock to the family foundation in June 2019.', 'Jim majored in business administration at the University of Arkansas.']",False,4.0,True,,,,,,,,,,,,
8,Billionaires,2020,4,alice-walton,9,billionaires,54400.0,Fashion & Retail,0,"{'name': 'Alice Walton', 'uri': 'alice-walton', 'imageExists': True, 'squareImage': '//specials-images.forbesimg.com/imageserve/5c7ef270a7ea434b351bca52/416x416.jpg?background=000000&cropX1=232&cropX2=998&cropY1=222&cropY2=988'}",True,Alice Walton,70.0,United States,Texas,Fort Worth,Walmart,['Fashion & Retail'],United States,Crystal Bridges Museum of American Art,1617122262640,36,faris/5/2020/5722,9,True,False,U,F,-638564400000.0,Walton,Alice,The World's Billionaires,Philanthropist,"{'name': 'Crystal Bridges Museum of American Art', 'title': 'Chairman', 'government': False, 'featuredExecutive': False}",1586314800000,False,False,1.0,http://specials-images.forbesimg.com/imageserve/5c7ef270a7ea434b351bca52/280x425.jpg?fit=scale&background=000000,South,"Dallas-Fort Worth-Arlington, TX",//specials-images.forbesimg.com/imageserve/5c7ef270a7ea434b351bca52/416x416.jpg?background=000000&cropX1=232&cropX2=998&cropY1=222&cropY2=988,False,"['rank', 'finalWorth', 'personName', 'bios', 'bio']",False,,"['Alice Walton is the only daughter of Walmart founder Sam Walton.\r\n', 'She has focused on curating art, rather than working for Walmart like her siblings, Rob and Jim.', 'In 2011, she opened the Crystal Bridges Museum of American Art in her hometown of Bentonville, Arkansas.', 'Crystal Bridges features works from the likes of Andy Warhol, Norman Rockwell and Mark Rothko.', 'In January 2020, she took aim at America\'s ""broken"" healthcare system and unveiled plans to open a holistic health institute in Bentonville.']","[""After graduating from Trinity College in 1971, Walton briefly worked for Walmart as a buyer of children's clothes."", 'Her art collecting career began when she was 11 and bought a 25-cent print of Picasso\'s ""Blue Nude.""']",False,3.0,True,,,,,,,,,,,,
9,Billionaires,2020,4,rob-walton,10,billionaires,54100.0,Fashion & Retail,0,"{'name': 'Rob Walton', 'uri': 'rob-walton', 'imageExists': True, 'squareImage': '//specials-images.forbesimg.com/imageserve/59d50a9e4bbe6f37dd9ff712/416x416.jpg?background=000000&cropX1=244&cropX2=1841&cropY1=60&cropY2=1658'}",True,Rob Walton,75.0,United States,Arkansas,Bentonville,Walmart,['Fashion & Retail'],United States,Walmart,1617122262614,36,faris/5/2020/5716,10,True,False,U,M,-794606400000.0,Walton,Rob,The World's Billionaires,Director,"{'name': 'Walmart', 'uri': 'companies/walmart', 'title': 'Director', 'government': False, 'featuredExecutive': False}",1586314800000,False,False,4.0,http://specials-images.forbesimg.com/imageserve/59d50a9e4bbe6f37dd9ff712/280x425.jpg?fit=scale&background=000000,South,"Fayetteville, AR",//specials-images.forbesimg.com/imageserve/59d50a9e4bbe6f37dd9ff712/416x416.jpg?background=000000&cropX1=244&cropX2=1841&cropY1=60&cropY2=1658,False,"['rank', 'finalWorth', 'personName', 'bios', 'bio']",False,,"['Rob Walton is the eldest son of Walmart founder Sam Walton.', ""Walton took over as chairman upon his father's death in 1992."", ""He retired as chairman in June 2015 and was replaced by his son-in-law, Greg Penner. He still sits on Walmart's board."", ""He and other heirs of Sam Walton collectively own about half of Walmart's stock."", 'To keep up with demand during the Covid-19 pandemic, Walmart hired an additional 400,000 mostly temporary workers.']","['Rob Walton, who has a law degree from Columbia University, helped Walmart prepare for its IPO in 1970. ', ""He sits on the board of the Walton Family Foundation, which was set up by his parents, Sam and Helen Walton, on Walmart's 25th anniversary in 1987.""]",False,1.0,,,,,,,,,,,,,
