,0
0,United States of America
1,China
2,India
3,Germany
4,United Kingdom
5,Switzerland
6,China
7,Russia
8,Brazil
9,Italy
10,Canada
11,South Korea
12,Taiwan
13,Australia
14,Japan
15,France
16,Malaysia
17,Sweden
18,Thailand
19,Indonesia
20,Spain
21,Israel
22,Turkey
23,Philippines
24,Malaysia
25,Mexico
26,France
27,Austria
28,United Arab Emirates
29,Netherlands
30,Denmark
31,Norway
32,Czech Republic
33,Kazakhstan
34,Finland
35,Vietnam
36,Argentina
37,Ukraine
38,Chile
39,South Africa
40,Poland
41,Egypt
42,Bahamas
43,Ireland
44,Cyprus
45,Cayman Islands
46,Romania
47,Belgium
48,Uruguay
49,Nigeria
50,New Zealand
51,Peru
52,Slovakia
53,Lebanon
54,Bermuda
55,Morocco
56,Qatar
57,Hungary
58,Nepal
59,Bahrain
60,Greece
61,Tanzania
62,Portugal
63,Turks and Caicos Islands
64,Liechtenstein
65,Guernsey
66,Oman
67,Cambodia
68,British Virgin Islands
69,Georgia
70,Algeria
71,Eswatini (Swaziland)
72,Colombia
73,Andorra
74,United States of America
75,China
76,India
77,Germany
78,Russia
79,United Kingdom
80,China
81,Switzerland
82,Brazil
83,Japan
84,Italy
85,Canada
86,South Korea
87,Taiwan
88,Australia
89,France
90,Malaysia
91,Spain
92,Thailand
93,Sweden
94,Turkey
95,Israel
96,Indonesia
97,Philippines
98,Malaysia
99,France
100,Mexico
101,Austria
102,United Arab Emirates
103,Denmark
104,Netherlands
105,Czech Republic
106,Norway
107,Chile
108,Kazakhstan
109,Ukraine
110,Finland
111,Poland
112,Peru
113,Vietnam
114,Egypt
115,Argentina
116,South Africa
117,Ireland
118,Belgium
119,Nigeria
120,Hungary
121,Slovakia
122,Bermuda
123,Lebanon
124,Qatar
125,New Zealand
126,Bahamas
127,Cayman Islands
128,Colombia
129,Morocco
130,Tanzania
131,Nepal
132,Bahrain
133,Greece
134,Romania
135,Turks and Caicos Islands
136,British Virgin Islands
137,Oman
138,Guernsey
139,Uruguay
140,Cambodia
141,Eswatini (Swaziland)
142,Portugal
143,Algeria
144,Georgia
145,Liechtenstein
146,Armenia
147,United States of America
148,China
149,India
150,Russia
151,Germany
152,United Kingdom
153,China
154,Switzerland
155,Brazil
156,Canada
157,France
158,Taiwan
159,Malaysia
160,Italy
161,South Korea
162,Australia
163,Japan
164,Spain
165,Turkey
166,Sweden
167,Thailand
168,Philippines
169,Israel
170,United Arab Emirates
171,Indonesia
172,Austria
173,Mexico
174,Malaysia
175,Netherlands
176,France
177,Norway
178,Denmark
179,Poland
180,Chile
181,Czech Republic
